CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PFD,PRI_PVEM,CAND_IND9,CAND_IND10,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5207,1,138,112,25,16,23,12,11,39,23,19,2,0,0,0,2,420,26,448,750
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5208,1,43,51,18,3,4,6,3,13,5,7,0,2,0,0,1,155,10,166,258
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5209,1,51,53,7,4,8,2,8,23,4,9,2,0,0,0,0,171,8,179,320
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5210,1,82,74,16,6,16,11,5,13,8,10,4,2,0,0,1,247,15,263,485
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5211,1,84,86,6,12,22,16,9,20,5,14,2,0,0,0,1,276,19,296,514
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5212,1,67,54,8,0,8,15,9,13,12,5,2,0,0,0,0,193,15,208,337
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5213,2,168,146,21,19,16,24,15,45,16,13,4,2,0,0,0,489,32,521,900
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5214,2,235,229,52,20,32,13,30,37,28,41,6,3,0,0,16,726,15,757,1281
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5215,2,174,144,17,5,14,15,11,21,23,16,1,2,0,0,0,443,15,458,807
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5216,2,194,133,17,19,27,10,12,34,12,16,1,0,0,0,2,475,34,511,802
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5217,2,208,180,31,24,21,18,15,57,17,21,0,5,0,0,1,597,34,632,1056
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5218,2,327,211,42,16,21,21,23,49,19,25,11,1,0,0,1,766,55,822,1280
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5219,2,256,325,60,39,28,22,27,67,35,46,12,0,0,0,0,917,59,976,1466
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5220,2,200,226,43,17,27,27,20,28,18,39,2,3,0,0,1,650,50,701,1091
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5221,2,142,211,36,18,27,19,17,20,11,28,4,4,0,0,0,537,18,555,835
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5222,2,151,199,40,16,40,24,19,39,15,23,4,0,0,0,0,570,40,610,1001
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5223,2,151,211,34,18,23,15,18,54,24,33,7,0,0,0,4,588,25,617,1135
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5224,2,190,138,27,15,17,19,17,49,28,30,5,1,0,0,4,536,26,566,985
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5225,2,185,153,25,14,28,20,22,47,12,34,6,1,0,0,0,547,36,583,957
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5226,2,223,189,35,17,20,23,17,42,28,33,12,4,0,0,3,643,43,689,1155
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5227,2,205,209,27,40,30,40,19,58,43,56,3,2,0,0,1,732,46,779,1309
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5228,2,175,191,27,18,15,21,20,38,28,38,2,3,0,0,0,576,30,606,1000
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5229,2,131,195,31,29,17,25,17,53,19,49,3,4,0,0,1,573,36,610,989
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5230,2,159,146,14,12,14,16,21,21,20,24,2,5,0,0,3,454,28,485,766
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5231,2,259,223,37,22,35,23,21,62,27,51,10,5,0,0,1,775,46,822,1491
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5232,3,307,255,40,34,31,27,33,67,35,52,6,3,0,0,0,890,50,940,1743
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5233,2,224,182,18,12,19,14,15,26,9,12,4,2,0,0,0,537,43,580,936
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5234,2,219,199,26,14,16,22,14,38,15,34,5,3,0,0,0,605,28,633,975
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5235,2,186,178,41,22,30,30,21,56,26,44,6,1,0,0,1,641,37,679,1073
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5236,3,367,315,65,23,29,41,31,53,17,44,10,2,0,0,1,997,56,1054,1586
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5237,3,277,258,51,29,31,15,45,66,22,49,5,7,0,0,0,855,39,894,1549
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5238,2,218,193,29,12,23,22,19,38,27,31,4,1,0,0,2,617,35,654,979
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5239,2,159,164,37,17,32,21,27,33,23,28,5,6,0,0,1,552,27,580,942
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5240,2,263,270,50,33,41,29,25,78,38,48,3,0,0,0,5,878,50,933,1460
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5241,2,205,217,43,20,21,19,18,60,16,33,9,4,0,0,0,665,45,710,1221
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5242,3,287,210,28,24,19,26,25,71,18,47,5,0,0,0,0,760,42,802,1527
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5243,2,220,175,34,18,24,17,29,43,24,25,6,1,0,0,3,616,43,662,1205
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5244,2,187,221,52,43,33,31,19,58,24,58,6,3,0,0,3,735,36,774,1481
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5245,3,288,273,59,26,32,27,36,53,33,72,5,3,0,0,2,907,41,950,1690
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5246,2,74,157,22,15,21,22,20,35,22,17,2,0,0,0,1,407,26,434,953
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5247,3,146,130,21,18,20,21,16,36,12,21,5,1,0,0,1,447,13,461,875
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5248,3,426,315,53,26,40,35,40,88,37,59,4,2,0,0,4,1125,60,1189,2040
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5249,2,197,170,38,18,23,28,40,87,26,33,6,0,0,0,0,666,33,699,1214
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5250,2,116,195,40,23,34,21,28,58,21,38,4,3,0,0,2,581,21,604,1177
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5251,3,159,278,52,16,34,33,28,56,14,52,7,3,0,0,0,732,40,772,1547
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5252,2,166,271,59,31,47,36,34,47,29,60,10,0,0,0,0,790,39,829,1478
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5253,2,146,173,30,28,23,21,26,41,23,25,5,4,0,0,1,545,24,570,1299
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5254,2,235,202,28,30,26,29,21,61,34,49,2,3,0,0,0,720,35,755,1395
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5255,3,193,340,101,30,38,37,28,67,37,51,9,7,0,0,0,938,40,978,1819
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5256,3,173,270,63,36,36,25,39,66,36,38,4,1,0,0,3,787,26,816,1648
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5257,3,117,319,48,41,28,21,37,69,21,40,5,4,0,0,0,750,35,785,1590
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5258,3,204,280,61,38,22,21,32,72,43,39,6,2,0,0,3,820,39,862,1705
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5259,3,153,292,66,8,33,19,23,63,25,39,8,0,0,0,2,729,38,769,1580
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5260,2,170,235,36,9,22,16,18,53,21,30,6,0,0,0,1,616,45,662,1227
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5261,4,236,460,58,48,54,40,58,121,58,73,3,6,0,0,3,1215,71,1289,2780
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5262,3,162,316,49,23,33,26,27,54,28,43,8,1,0,0,0,770,38,808,1680
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5263,3,316,368,52,44,31,32,41,87,45,62,10,1,0,0,1,1089,38,1128,2239
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5264,3,256,238,62,28,33,38,42,95,44,71,10,0,0,0,0,917,65,982,1787
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5265,3,237,246,95,25,40,39,46,93,35,54,7,3,0,0,2,920,56,978,1779
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5307,2,196,188,37,22,19,17,20,49,28,48,5,2,0,0,0,631,30,661,1120
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5308,3,173,199,37,22,38,20,15,50,23,28,4,1,0,0,0,610,35,645,1090
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5309,5,394,632,106,74,72,87,81,114,70,113,10,10,0,0,3,1763,77,1843,3516
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5310,3,250,383,53,25,65,47,41,105,33,47,5,3,0,0,2,1057,31,1090,2025
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5311,3,220,472,42,25,38,33,35,76,42,57,4,4,0,0,0,1048,32,1080,2010
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5312,2,188,167,23,23,30,40,23,72,25,32,10,0,0,0,0,633,35,668,1080
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5313,2,223,216,56,21,25,39,36,60,29,58,6,4,0,0,5,773,47,825,1441
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5314,3,262,238,41,27,32,22,29,85,42,35,2,1,0,0,2,816,55,873,1567
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5315,1,142,131,25,13,17,12,17,36,14,23,4,0,0,0,0,434,42,476,734
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5316,3,304,322,78,38,84,33,40,72,50,49,9,17,0,0,1,1096,73,1170,2184
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5317,6,491,670,168,57,89,67,88,165,68,119,11,17,0,0,0,2010,99,2109,4445
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5318,5,331,689,118,58,98,42,82,156,65,88,17,15,0,0,0,1759,70,1829,3747
