CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,PPG,COALICION_PRI_PVEM,COMUN_PRD_PT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1204,10,85,875,582,67,83,231,263,154,88,34,59,35,31,3,2587,196,2786,6858
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1205,3,19,311,200,17,23,113,16,35,19,16,15,13,6,0,803,58,861,1995
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1206,2,11,243,145,31,26,60,20,42,29,11,17,7,10,0,652,46,698,1457
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1209,2,4,211,108,21,7,24,15,21,71,10,16,7,8,0,523,28,551,1182
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1210,4,27,369,227,30,27,47,18,49,63,16,28,11,15,1,927,73,1001,2451
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1211,3,25,347,218,29,21,92,42,62,46,8,33,14,19,2,956,72,1030,2175
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1212,4,25,435,312,18,42,87,47,94,46,28,39,12,19,0,1204,93,1297,2848
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1213,14,77,1388,1058,82,101,292,113,247,196,55,76,49,55,2,3789,278,4069,10027
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1214,3,25,338,152,27,20,65,29,54,25,16,25,10,6,0,792,64,856,1816
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1215,3,17,147,86,3,4,26,26,61,28,12,19,135,88,0,652,60,712,1125
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1216,4,51,506,295,35,45,85,39,133,43,30,50,14,21,2,1347,83,1432,1898
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1217,3,16,371,178,19,32,45,27,80,42,21,20,6,12,0,869,70,939,2069
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1219,2,11,235,170,9,5,36,15,44,46,18,19,2,1,0,611,58,669,1393
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1220,3,30,272,177,15,15,45,19,58,21,16,30,3,2,4,703,60,767,1503
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1221,4,23,434,226,21,28,38,25,33,64,7,20,6,11,0,936,52,988,2457
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1222,4,55,343,250,18,29,33,30,32,55,7,24,15,17,0,908,69,977,2388
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1223,2,24,197,121,17,21,45,41,50,30,11,16,7,8,0,588,55,643,1299
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1224,2,10,181,86,8,15,34,7,29,10,6,16,1,2,0,405,27,432,884
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1225,3,12,189,116,4,17,29,43,31,15,3,7,6,4,0,476,41,517,984
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1226,3,16,234,182,13,21,49,23,81,33,17,21,8,7,1,705,53,759,1567
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1231,2,19,227,92,9,11,26,7,49,15,9,11,1,1,1,477,53,531,871
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1232,3,15,326,221,15,28,46,22,60,69,11,20,5,11,2,849,67,918,2115
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1233,2,8,109,87,13,15,8,2,12,34,7,12,9,5,0,321,21,342,778
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1234,3,9,303,150,20,17,26,22,23,43,9,20,6,6,0,654,40,694,1774
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1235,2,15,271,126,12,23,29,16,26,34,12,36,7,6,1,613,46,660,1378
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1236,2,10,204,103,13,15,27,21,33,15,12,23,6,3,0,485,46,531,1267
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1237,4,25,380,183,20,27,39,29,63,21,19,22,7,7,1,842,60,903,1745
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1238,3,22,287,145,8,28,46,32,55,42,23,22,5,4,1,719,40,760,1647
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1252,3,17,347,214,15,22,33,19,33,51,9,17,15,16,1,808,55,864,2079
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1259,6,33,648,397,22,31,68,35,65,84,21,42,24,15,0,1485,89,1574,3853
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1260,3,23,307,179,13,18,30,51,79,29,21,24,5,7,0,786,45,831,1993
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1264,3,9,340,199,8,32,34,68,47,24,11,27,21,10,1,830,53,884,2142
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1265,5,12,458,324,34,57,108,57,74,66,20,51,22,19,0,1302,123,1425,3504
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1266,4,32,355,273,13,32,59,29,92,47,30,38,12,17,0,1029,84,1113,2765
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1273,2,9,213,84,8,9,10,6,4,11,5,11,5,8,0,383,17,400,886
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1274,1,0,149,47,0,0,17,3,0,11,0,1,0,0,0,228,6,234,325
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1275,1,0,54,16,1,1,0,1,0,0,0,0,0,0,0,73,7,80,208
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1276,2,9,256,46,7,17,2,3,5,3,2,0,1,2,0,353,46,399,1068
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1277,1,0,39,14,8,4,1,0,0,16,0,0,2,2,0,86,6,92,197
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1282,2,3,333,72,4,10,11,3,6,13,0,8,6,2,0,471,40,511,880
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1283,2,5,274,88,10,4,19,1,4,3,2,2,5,8,1,425,25,451,823
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1284,1,3,110,82,10,3,2,2,2,1,0,0,4,2,0,221,19,240,376
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1292,1,5,141,114,4,10,10,4,4,3,0,0,2,4,0,301,10,311,698
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1293,1,0,120,18,6,4,0,8,2,39,0,0,0,0,0,197,18,215,412
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1294,2,13,284,96,5,8,4,9,0,23,0,2,0,0,0,444,19,463,759
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1298,1,0,45,86,0,0,0,12,0,4,0,0,0,0,0,147,4,151,209
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1207,3,21,394,208,23,30,19,22,34,0,14,26,16,18,0,825,33,858,1979
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1208,4,40,440,281,33,33,58,43,76,0,29,39,130,87,2,1289,66,1357,2960
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1218,3,21,229,240,32,19,37,19,26,0,6,23,14,10,5,676,58,739,1723
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1227,3,27,373,241,22,26,39,27,70,0,37,23,13,10,1,908,87,996,2069
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1228,3,17,348,167,14,23,28,30,41,0,7,21,27,8,4,731,55,790,1838
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1229,3,16,315,153,13,42,42,39,37,0,21,25,9,10,1,722,57,780,1638
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1230,2,24,266,134,10,16,26,14,51,0,24,23,6,2,2,596,55,653,1206
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1239,2,17,144,123,14,12,33,14,53,0,21,7,1,5,0,444,54,498,975
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1240,2,33,223,207,11,15,32,22,48,0,14,24,9,12,2,650,53,705,1385
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1241,2,18,246,146,19,17,26,10,48,0,20,11,6,3,1,570,51,622,1225
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1242,3,24,285,198,23,37,46,15,103,0,20,26,11,12,2,800,68,870,1761
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1243,4,18,371,230,24,36,31,3,64,0,25,36,17,10,6,865,49,920,2261
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1244,3,8,311,203,17,27,35,22,57,0,23,29,17,12,1,761,61,823,1857
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1245,3,12,239,138,18,14,49,21,57,0,13,28,133,92,1,814,63,878,2036
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1246,2,14,134,130,3,7,19,10,45,0,13,13,5,7,2,400,39,441,925
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1247,2,17,217,155,13,23,31,15,63,0,25,29,2,4,1,594,63,658,1320
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1248,2,18,255,159,4,7,45,20,39,0,19,28,2,4,3,600,60,663,1329
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1249,2,24,161,116,15,32,33,29,42,0,17,18,1,4,0,492,56,548,1129
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1250,2,15,174,165,23,11,36,18,47,0,12,32,4,7,1,544,55,600,1259
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1251,3,27,267,156,17,21,53,17,60,0,28,25,2,3,1,676,75,752,1526
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1254,3,27,307,150,20,22,37,18,67,0,30,28,4,10,0,720,65,785,1520
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1255,2,9,201,139,9,21,26,19,68,0,23,21,6,7,0,549,60,609,1185
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1256,2,10,173,123,15,27,30,17,53,0,21,19,7,6,1,501,30,532,1047
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1257,5,50,587,404,33,63,103,52,179,0,67,68,13,12,2,1631,162,1795,3635
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1258,3,15,274,249,12,21,44,27,124,0,41,41,6,11,18,865,59,942,1827
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1261,3,24,343,225,21,27,35,23,93,0,29,21,10,14,0,865,78,943,1782
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1262,2,15,154,121,5,28,22,17,92,0,32,19,5,5,1,515,44,560,1048
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1263,4,32,451,300,36,40,39,37,108,0,37,34,7,8,1,1129,93,1223,2406
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1267,10,71,1072,673,68,97,123,82,226,0,102,70,16,18,1,2618,183,2802,6558
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1268,2,19,328,137,11,15,29,14,48,0,23,25,6,1,0,656,53,709,1246
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1269,3,42,335,181,4,47,50,31,94,0,31,29,4,6,0,854,77,931,1601
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1270,3,29,409,246,21,36,54,36,116,0,22,21,8,14,2,1012,98,1112,2243
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1271,4,58,344,192,26,26,70,24,150,0,36,30,165,87,0,1208,128,1336,2964
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1278,2,2,158,118,13,6,14,21,31,0,3,4,7,2,0,379,35,414,987
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1279,4,34,478,263,26,41,49,22,141,0,16,40,16,15,4,1141,100,1245,2832
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1280,2,8,256,140,10,16,44,16,64,0,11,15,8,7,0,595,67,662,1441
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1281,4,35,469,286,16,24,57,28,108,0,19,29,12,13,1,1096,85,1182,2432
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1285,1,1,118,83,3,8,24,0,1,0,0,0,6,2,0,246,11,257,506
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1286,3,3,239,250,6,15,19,14,20,0,10,11,1,6,0,594,50,644,1572
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1287,2,5,164,109,8,17,22,7,16,0,3,7,7,24,0,389,7,396,1290
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1288,3,6,295,211,19,26,10,12,25,0,3,26,11,10,0,654,44,698,1602
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1289,3,6,518,212,16,68,46,15,34,0,15,52,9,3,0,994,35,1029,2044
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1290,1,0,68,15,0,0,0,1,0,0,0,0,0,0,0,84,1,85,186
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1291,1,0,87,71,0,8,10,1,0,0,1,0,2,0,0,180,2,182,358
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1295,2,10,395,105,6,11,4,2,4,0,0,0,7,2,0,546,23,569,1220
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1296,2,5,289,127,5,32,55,4,12,0,7,16,13,4,0,569,22,591,1001
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1297,1,2,120,112,1,1,4,0,4,0,0,3,9,7,0,263,10,273,492
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1299,1,2,83,129,13,1,16,3,2,0,0,5,3,5,0,262,20,282,537
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1300,2,0,236,114,24,9,19,5,5,0,0,3,8,7,5,430,17,452,934
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1301,3,7,251,167,16,26,71,1,19,0,1,3,10,9,0,581,37,618,1586
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1302,4,16,257,119,10,26,60,9,23,0,4,16,7,1,0,548,39,587,1891
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1303,3,8,232,154,13,22,47,7,12,0,1,14,8,4,0,522,24,546,1699
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1304,3,10,244,86,12,18,27,2,16,0,1,23,9,3,1,451,48,500,1530
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1305,2,4,182,125,6,11,14,29,15,0,0,5,6,7,1,404,14,419,1322
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1306,2,0,115,115,2,1,12,0,0,0,0,0,0,0,0,245,6,251,417
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1307,3,16,397,267,19,26,168,17,22,0,5,38,5,7,0,987,80,1067,1856
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1308,2,5,158,126,7,7,23,3,2,0,0,1,2,1,0,335,16,351,681
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,40,2,70,137,109,11,8,53,18,38,10,12,4,2,1,3,473,37,513,1026
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,56,2,51,143,94,8,31,60,16,47,9,9,16,3,7,0,494,54,548,1481
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,57,2,55,156,78,10,28,72,18,48,8,27,12,5,3,0,520,32,552,1144
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,58,1,16,73,53,0,20,35,9,44,2,6,3,0,3,0,264,10,274,492
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,59,2,31,110,69,2,22,63,16,24,5,9,8,7,3,1,369,35,405,803
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,60,2,46,115,122,4,46,56,15,34,2,18,9,9,7,0,483,36,519,1033
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,61,2,45,117,116,5,25,63,16,36,7,14,9,3,3,0,459,43,502,1130
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,62,1,28,84,48,3,17,27,11,24,3,10,4,1,2,1,262,16,279,558
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,63,1,15,68,40,3,29,22,9,21,8,9,7,2,5,0,238,23,261,685
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,76,2,28,133,30,10,23,36,8,21,6,8,9,1,3,0,316,17,333,695
