ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,PPG,COALICION_PRI_PVEM,COMUN_PRD_PT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,46,140,859,14206,8345,762,1008,2131,1320,2128,1671,565,939,531,497,24,34962,2575,37561,83128,0.4518
12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,57,155,997,16179,10194,880,1338,2195,1026,3055,0,982,1223,848,658,74,39575,3081,42730,91879,0.465
12,GUERRERO,3,ACAPULCO DE JUAREZ,69,175,4911,11749,8988,832,3085,4453,1396,2681,490,1145,859,787,647,87,42023,3063,45173,96657,0.4673
12,GUERRERO,4,ACAPULCO DE JUAREZ,79,172,4084,12168,10122,841,1840,3634,1349,2333,724,1819,708,827,688,49,41137,2854,44040,95120,0.4629
12,GUERRERO,5,ACAPULCO DE JUAREZ,58,154,2371,10473,11065,1213,1351,3411,641,1686,303,519,513,435,810,40,34791,2247,37078,92768,0.3996
12,GUERRERO,6,ACAPULCO DE JUAREZ,53,140,2489,13240,9020,766,1754,2811,977,1909,338,555,692,809,747,41,36107,2359,38507,86249,0.4464
12,GUERRERO,7,ACAPULCO DE JUAREZ,39,147,2656,16558,0,7263,2449,2835,912,1493,504,1336,689,976,0,42,37671,2381,40094,91593,0.4377
12,GUERRERO,8,ACAPULCO DE JUAREZ,80,154,1877,15067,6664,628,6529,6070,707,1264,2963,279,425,259,132,22,42864,2374,45260,81115,0.5579
12,GUERRERO,9,ACAPULCO DE JUAREZ,62,146,1960,12072,11946,1612,2143,2959,1437,1697,541,638,551,506,441,22,38503,3074,41599,83615,0.4975
12,GUERRERO,10,TECPAN DE GALEANA,119,183,335,19439,16538,351,1109,3777,1207,2789,357,0,707,434,0,20,47043,2247,49310,85282,0.5781
12,GUERRERO,11,ZIHUATANEJO DE AZUETA,108,180,819,14463,18694,932,1011,2500,839,1915,681,517,322,278,0,44,42971,1923,44938,85811,0.5236
12,GUERRERO,12,ZIHUATANEJO DE AZUETA,101,179,674,12409,18967,598,3822,3082,1619,1863,864,662,369,104,0,17,45033,1709,46759,84840,0.5511
12,GUERRERO,13,SAN MARCOS,110,171,6148,10806,9291,3127,14534,2772,1248,1763,1313,157,520,574,319,31,52572,4052,56655,81432,0.6957
12,GUERRERO,14,AYUTLA DE LOS LIBRES,100,156,310,5251,21265,1019,11566,2317,791,652,679,0,2122,2227,0,53,48199,2668,50920,74737,0.6813
12,GUERRERO,15,SAN LUIS ACATLAN,105,166,2433,12724,14804,1612,3764,8791,1158,1685,975,374,635,484,0,20,49439,3027,52486,75802,0.6924
12,GUERRERO,16,OMETEPEC,67,138,8652,14580,12120,3008,762,3526,562,1455,800,644,264,628,1082,28,48083,2318,50429,70916,0.7111
12,GUERRERO,17,COYUCA DE CATALAN,160,208,658,24163,23086,756,1318,4479,245,1114,157,77,57,379,0,5,56489,1725,58219,89337,0.6516
12,GUERRERO,18,PUNGARABATO,150,222,549,25040,28289,402,301,517,685,3168,110,0,154,284,0,6,59499,1582,61087,97275,0.6279
12,GUERRERO,19,EDUARDO NERI,96,149,2587,17952,16678,540,321,1798,458,986,471,0,487,599,0,10,42877,2010,44897,70045,0.6409
12,GUERRERO,20,TELOLOAPAN,184,222,501,11093,13968,1847,810,13045,3483,1385,212,443,200,84,351,76,47422,2312,49810,79678,0.6251
12,GUERRERO,21,TAXCO DE ALARCON,126,203,15103,17901,4047,2504,2952,1436,2204,1245,1078,0,5752,571,115,36,54908,2767,57711,96929,0.5953
12,GUERRERO,22,IGUALA DE LA INDEPENDENCIA,71,164,954,14112,7624,1804,1995,5694,1113,2303,480,2093,457,420,0,37,39049,2427,41513,93531,0.4438
12,GUERRERO,23,IGUALA DE LA INDEPENDENCIA,112,182,4829,15841,7915,7436,1739,7082,1047,1819,1237,470,335,722,0,21,50472,2546,53039,90270,0.5875
12,GUERRERO,24,TIXTLA DE GUERRERO,118,178,867,11305,15045,565,2726,8348,1339,935,435,214,1493,186,0,12,43458,3456,46926,84857,0.553
12,GUERRERO,25,CHILAPA DE ALVAREZ,84,163,719,18645,15350,1070,1001,1703,1571,1306,654,0,466,396,446,36,43327,3051,46414,79940,0.5806
12,GUERRERO,26,ATLIXTAC,117,188,8672,17062,19370,1627,548,4619,2321,1863,1549,199,180,82,0,19,58092,3098,61209,81986,0.7465
12,GUERRERO,27,TLAPA DE COMONFORT,94,188,0,19122,16634,7709,598,1313,1449,2281,602,418,1226,715,0,17,52067,2817,54901,97902,0.5607
12,GUERRERO,28,TLAPA DE COMONFORT,102,177,256,13300,14929,10320,1203,6493,289,978,137,321,366,0,0,8,48592,3309,51909,78808,0.6586
