Distrito,Municipio,Numero,Sección,Casilla,PAN,PRI,PRD,PFCRN,PT,NoReg,Nulos
1,MORELIA,54,941,B,,,,,, , 
1,MORELIA,54,941,C,99,57,51,5,12,0,2
1,MORELIA,54,942,B,123,112,79,5,9,0,8
1,MORELIA,54,943,B,389,302,275,59,49,0,7
1,MORELIA,54,944,B,77,78,64,2,13,0,0
1,MORELIA,54,944,C,79,69,62,2,5,0,5
1,MORELIA,54,945,B,107,70,85,3,7,0,10
1,MORELIA,54,945,C,99,69,84,3,6,0,5
1,MORELIA,54,946,B,100,91,111,4,23,0,9
1,MORELIA,54,947,B,72,52,35,6,15,0,4
1,MORELIA,54,947,C,71,60,53,14,9,0,6
1,MORELIA,54,948,B,72,82,42,12,13,0,0
1,MORELIA,54,948,C,68,66,53,6,16,0,5
1,MORELIA,54,949,B,103,105,71,4,13,0,10
1,MORELIA,54,949,C,79,96,72,5,11,0,5
1,MORELIA,54,950,B,,,,,,,
1,MORELIA,54,950,C,57,69,74,5,12,0,8
1,MORELIA,54,951,B,89,88,53,2,13,0,7
1,MORELIA,54,951,C,70,57,62,,11,0,5
1,MORELIA,54,952,B,81,93,49,3,13,0,9
1,MORELIA,54,952,C,64,95,56,3,12,0,8
1,MORELIA,54,953,B,154,103,75,4,15,1,2
1,MORELIA,54,954,B,149,78,53,2,5,0,10
1,MORELIA,54,955,B,109,70,69,1,11,0,3
1,MORELIA,54,955,C,99,57,65,3,10,0,0
1,MORELIA,54,956,B,102,87,59,2,9,0,12
1,MORELIA,54,956,C,91,70,54,2,7,0,9
1,MORELIA,54,957,B,113,112,77,2,14,0,7
1,MORELIA,54,958,B,10,99,74,4,22,0,3
1,MORELIA,54,958,C,106,118,77,7,23,0,11
1,MORELIA,54,959,B,95,58,41,5,7,0,0
1,MORELIA,54,959,C,77,80,50,2,9,0,3
1,MORELIA,54,960,B,147,90,85,3,5,0,5
1,MORELIA,54,960,C,143,87,88,3,14,0,5
1,MORELIA,54,961,B,133,92,74,6,10,0,1
1,MORELIA,54,962,B,102,58,60,3,6,0,0
1,MORELIA,54,962,C,116,63,53,2,10,0,4
1,MORELIA,54,963,B,94,110,105,1,15,0,3
1,MORELIA,54,963,C,131,81,73,2,14,0,6
1,MORELIA,54,964,B,119,60,51,1,6,0,9
1,MORELIA,54,964,C,110,79,67,2,11,0,4
1,MORELIA,54,965,B,118,111,65,1,13,0,6
1,MORELIA,54,965,C,128,100,64,3,16,0,2
1,MORELIA,54,966,B,138,83,76,3,10,0,3
1,MORELIA,54,966,C,134,76,83,3,8,0,3
1,MORELIA,54,967,B,118,60,70,4,4,0,7
1,MORELIA,54,967,C,124,80,55,3,13,0,6
1,MORELIA,54,968,B,117,60,64,15,8,0,4
1,MORELIA,54,968,C,109,81,58,6,12,0,3
1,MORELIA,54,969,B,131,99,74,5,14,0,10
1,MORELIA,54,969,C,106,97,85,7,18,0,11
1,MORELIA,54,970,B,123,102,53,4,18,0,9
1,MORELIA,54,970,C,113,98,63,12,9,0,2
1,MORELIA,54,971,B,79,86,62,5,16,0,9
1,MORELIA,54,972,B,113,82,74,5,7,0,7
1,MORELIA,54,972,C,122,64,77,3,15,0,8
1,MORELIA,54,973,B,108,92,113,4,15,0,8
1,MORELIA,54,974,B,130,52,41,1,4,0,3
1,MORELIA,54,975,B,72,65,30,1,,0,0
1,MORELIA,54,976,B,112,75,72,,5,0,5
1,MORELIA,54,977,B,131,102,55,1,1,0,191
1,MORELIA,54,978,B,122,59,62,5,9,0,4
1,MORELIA,54,978,C,125,63,51,2,5,0,3
1,MORELIA,54,979,B,99,84,57,5,9,0,6
1,MORELIA,54,980,B,49,62,43,4,9,0,6
1,MORELIA,54,981,B,92,80,92,2,13,0,12
1,MORELIA,54,982,B,89,68,61,6,7,0,2
