CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PVEM,NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,PRI_PVEM_NVA_ALIANZA,PRD,PT,MC,PSD,MORENA,ES,PH,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
,17,MORELOS,1,CUERNAVACA NORTE,9,HUITZILAC,0417,B,49,80,111,92,,,,,66,39,7,13,51,11,6,0,525,28,553,716,ACTA CASILLA,,,
,17,MORELOS,1,CUERNAVACA NORTE,9,HUITZILAC,0417,C01,53,91,113,74,,,,,61,43,7,16,64,17,9,0,548,20,568,716,ACTA CASILLA,,,
,17,MORELOS,1,CUERNAVACA NORTE,9,HUITZILAC,0417,C02,50,102,73,76,,,,,73,36,4,15,66,13,7,0,515,27,542,716,ACTA CASILLA,,,
,17,MORELOS,1,CUERNAVACA NORTE,9,HUITZILAC,0418,B,21,33,59,59,,,,,36,24,3,7,49,15,8,0,314,16,330,503,ACTA CASILLA,,,
,17,MORELOS,1,CUERNAVACA NORTE,9,HUITZILAC,0418,C01,26,39,41,69,,,,,38,43,2,5,40,10,8,0,321,12,333,502,ACTA CASILLA,,,
,17,MORELOS,1,CUERNAVACA NORTE,9,HUITZILAC,0418,C02,27,41,54,51,,,,,46,27,8,11,46,15,3,0,329,20,349,502,ACTA CASILLA,,,
,17,MORELOS,1,CUERNAVACA NORTE,9,HUITZILAC,0419,B,41,112,54,37,,,,,117,28,7,23,42,11,18,0,490,39,529,726,ACTA CASILLA,,,
,17,MORELOS,1,CUERNAVACA NORTE,9,HUITZILAC,0419,C01,59,96,51,50,,,,,92,25,8,20,60,15,19,0,495,45,540,725,ACTA CASILLA,,,
,17,MORELOS,1,CUERNAVACA NORTE,9,HUITZILAC,0420,B,39,22,14,31,,,,,40,19,3,7,55,5,3,0,238,17,255,414,ACTA CASILLA,,,
,17,MORELOS,1,CUERNAVACA NORTE,9,HUITZILAC,0420,C01,50,17,26,29,,,,,19,24,2,10,46,8,4,0,235,19,254,413,ACTA CASILLA,,,
,17,MORELOS,1,CUERNAVACA NORTE,9,HUITZILAC,0421,B,56,24,28,52,,,,,39,13,6,13,47,6,6,1,290,21,312,539,ACTA CASILLA,,,
,17,MORELOS,1,CUERNAVACA NORTE,9,HUITZILAC,0422,B,44,49,35,40,,,,,36,51,7,30,67,10,6,0,375,35,410,693,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0194,B,46,62,9,5,,,,,60,2,20,36,23,16,13,1,292,24,317,684,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0194,C01,54,53,26,5,,,,,58,5,12,41,19,16,10,2,299,22,323,684,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0194,C02,65,51,19,5,,,,,73,6,21,40,29,16,14,2,339,19,360,683,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0194,C03,56,57,18,4,,,,,74,5,14,45,28,10,16,0,327,24,351,683,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0194,C04,55,60,18,9,,,,,56,7,20,26,35,15,13,0,314,16,330,683,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0195,B,57,63,22,1,,,,,78,0,8,24,17,8,10,2,288,22,312,598,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0195,C01,52,55,12,6,,,,,41,4,8,29,28,9,15,0,259,12,271,598,ACTA CASILLA,,,
