CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN_PRS,PRI,PRI_PVEM,PRD_PT_MC,PVEM,NVA_ALIANZA,MORENA,PH,ES,BS,FACA,JLCM,JRM,ISRM,MARM,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,121,B,116,65,,21,9,3,20,6,14,8,,,,,,4,0,1,0,2,269,8,277,505,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,121,C01,122,61,,14,7,2,23,4,17,7,,,,,,0,3,0,0,0,260,12,272,504,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,122,B,148,89,,42,17,5,22,4,31,2,,,,,,5,13,0,0,0,378,22,400,723,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,123,B,122,62,,26,8,4,17,6,6,5,,,,,,3,4,0,0,3,266,14,280,425,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,123,C01,112,55,,22,4,5,19,3,14,4,,,,,,0,5,0,0,0,243,16,259,425,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,124,B,121,68,,29,16,2,13,9,15,8,,,,,,1,4,0,0,0,286,10,296,499,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,124,C01,126,82,,20,5,0,27,8,25,8,,,,,,4,5,0,0,0,310,6,316,499,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,125,B,127,87,,30,2,4,19,11,33,5,,,,,,4,4,0,0,0,326,21,347,567,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,126,B,170,85,,47,14,10,27,11,22,9,,,,,,2,3,0,0,0,400,22,422,717,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,127,B,148,73,,55,15,4,19,10,18,13,,,,,,0,0,0,0,0,355,15,370,736,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,128,B,103,71,,59,18,7,16,10,15,0,,,,,,3,10,0,0,12,324,11,335,601,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,129,B,116,32,,44,9,2,17,5,8,7,,,,,,6,0,0,0,0,246,18,264,479,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,129,C01,112,31,,30,13,4,10,4,9,5,,,,,,5,2,0,0,0,225,10,235,479,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,130,B,70,37,,12,5,3,11,5,13,3,,,,,,0,3,0,0,0,162,5,167,375,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,131,B,68,48,,32,15,5,27,5,19,2,,,,,,7,5,0,0,3,236,9,245,514,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,132,B,59,38,,19,13,2,20,8,13,5,,,,,,5,4,0,0,0,186,8,194,422,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,133,B,54,43,,13,8,3,12,4,9,2,,,,,,2,3,0,0,1,154,8,162,362,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,134,B,59,29,,27,3,1,10,4,3,3,,,,,,1,0,0,0,0,140,5,145,306,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,135,B,107,48,,49,17,4,17,8,11,4,,,,,,4,6,0,0,0,275,11,286,516,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,135,C01,96,39,,52,16,0,14,5,11,4,,,,,,1,8,1,0,1,248,11,259,516,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,136,B,102,47,,29,6,2,9,7,10,10,,,,,,2,0,0,0,1,225,12,237,396,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,136,C01,119,31,,31,4,2,20,4,15,6,,,,,,4,1,0,0,1,238,5,243,396,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,137,B,74,68,,30,4,4,13,5,19,5,,,,,,4,5,0,0,0,231,11,242,409,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,137,C01,90,52,,40,5,3,10,10,17,8,,,,,,6,4,0,0,0,245,15,260,408,Acta casilla,,,
