Resultados para Ayuntamientos
Día y hora de captura,Distrito,Municipio,Demarcacion,Número de Casilla,Tipo de Casilla,PAN,PBN,PRD,PT,PRS,PMC,CI,NOREG,NULOS,Incidencia
2014-07-06 19:02:50,18,Huajicori,2,212,B,,62,17,1,0,,,0,1,,
2014-07-06 19:02:52,16,Rosamorada,1,277,E1,44,37,,8,1,1,13,0,3,,
2014-07-06 19:13:15,18,Huajicori,2,213,E1,,73,62,2,0,,,0,3,,
2014-07-06 19:18:02,18,Huajicori,2,214,E1,,38,33,0,1,,,0,4,,
2014-07-06 19:20:24,9,San Blas,3,363,B,10,31,,0,1,0,32,1,1,,
2014-07-06 19:23:00,18,Huajicori,5,207,E1,,38,17,3,0,,,0,1,,
2014-07-06 19:23:56,18,Acaponeta,5,35,B,,38,34,1,0,0,,0,2,,
2014-07-06 19:24:57,10,Santiago Ixcuintla,6,489,E1,,46,56,3,0,0,,0,2,,
2014-07-06 19:28:49,13,Amatlán de Cañas,2,84,B,16,79,,0,,,,0,1,,
2014-07-06 19:33:07,17,Tecuala,4,567,E1,,64,12,5,0,0,,0,4,,
2014-07-06 19:35:53,3,Santa María del Oro,6,422,E1,,26,4,42,0,,,0,3,,
2014-07-06 19:36:20,17,Tecuala,6,590,B,,47,24,0,0,0,,0,1,,
2014-07-06 19:40:15,12,Santiago Ixcuintla,7,480,E2,,27,26,0,0,0,,0,0,,
2014-07-06 19:40:19,18,Acaponeta,6,42,B,,19,37,0,2,1,,0,2,,
2014-07-06 19:40:37,13,Amatlán de Cañas,2,87,B,43,26,,0,,,,0,0,,
2014-07-06 19:40:44,11,Santiago Ixcuintla,2,449,B,,72,89,5,3,1,,1,2,,
2014-07-06 19:41:40,14,Bahía de Banderas,8,107,C01,,174,97,1,4,123,,0,23,,
2014-07-06 19:43:13,17,Tecuala,4,566,B,,68,40,0,0,0,,0,2,,
2014-07-06 19:44:13,4,Tepic,11,775,E1,23,40,,0,0,0,,0,0,,
2014-07-06 19:47:01,18,Acaponeta,5,34,E1,,22,21,1,1,0,,0,0,,
2014-07-06 19:47:13,12,Santiago Ixcuintla,8,546,E1,,91,78,1,1,0,,0,0,,
2014-07-06 19:48:28,8,Compostela,3,156,B,69,166,,4,1,0,,0,10,,
2014-07-06 19:48:34,18,Huajicori,5,209,E1,,56,35,0,0,,,0,0,,
2014-07-06 19:50:08,15,Tuxpan,6,837,E1,37,40,,2,,0,,0,0,,
2014-07-06 19:50:27,18,Huajicori,2,213,B,,42,17,1,0,,,0,0,,
2014-07-06 19:51:23,13,Amatlán de Cañas,1,70,B,38,113,,3,,,,0,4,,
2014-07-06 19:51:43,4,Tepic,11,776,B,24,50,,0,0,0,,0,2,,
2014-07-06 19:52:10,18,Huajicori,5,207,E2,,35,44,3,0,,,0,5,,
2014-07-06 19:52:29,8,Compostela,3,155,B,138,139,,4,0,1,,0,0,,
2014-07-06 19:53:46,18,Acaponeta,5,20,E1,,41,33,2,0,0,,0,0,,
2014-07-06 19:53:48,18,Huajicori,2,214,B,,84,72,0,1,,,0,8,,
2014-07-06 19:55:50,17,Tecuala,3,557,B,,107,80,7,1,0,,0,0,,
2014-07-06 19:55:51,13,Amatlán de Cañas,5,76,B,36,53,,2,,,,0,1,,
2014-07-06 19:56:45,12,Santiago Ixcuintla,8,509,B,,168,81,3,0,3,,0,4,,
2014-07-06 19:57:43,18,Acaponeta,2,24,E1,,60,56,1,0,1,,0,5,,
2014-07-06 19:58:33,9,San Blas,5,374,B,15,38,,0,0,0,31,0,3,,
2014-07-06 19:58:38,1,Tepic,4,683,B,82,33,,3,0,2,,0,1,,
2014-07-06 19:59:59,18,Huajicori,5,207,B,,62,38,1,0,,,0,0,,
