ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,MAS,PAN_PRD,PRI_PVEM_NA,PT_MORENA_ES,C_COMUN_PAN_PRD,C_COMUN_PRI_PVEM_NA,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
26,Sonora,52,PITIQUITO,6,13,,,,,,482,,,,,675,1277,1206,,,,,,,,,,,,,,,,3640,1,87,3728,6220,
26,Sonora,53,PUERTO PEÑASCO,18,71,,,,,,590,,,,664,8403,5524,3433,,,,,,,,,,,,,,451,,19065,12,565,19642,45479,
26,Sonora,67,QUIRIEGO,3,6,,,,,,42,,,,75,195,1000,1217,,,,,,,,,,,,,,,,2529,0,56,2585,3457,
26,Sonora,54,RAYON,2,3,,,,,,,,,,,15,892,29,,,,,,,,476,,,,,,,,1412,0,55,1467,2077,
26,Sonora,68,ROSARIO,5,9,,,,,,,,,,,48,1626,1540,,,,,,,,,,,,,,,,3214,0,41,3255,4740,
26,Sonora,32,SAHUARIPA,10,13,,,,,,,,,,,680,1576,622,,,,,,,,,,,,,,,,2878,0,88,2966,4619,
26,Sonora,33,SAN FELIPE DE JESUS,1,1,,165,,,,,,,,,205,,85,,,,,,,,,,,,,,,,455,0,4,459,531,
26,Sonora,72,SAN IGNACIO RIO MUERTO,8,21,,,,,,1123,,,,136,660,,2329,,1565,,,,,,,,,,,,,,5813,0,206,6019,10526,
26,Sonora,34,SAN JAVIER,1,1,,,,,,,,,,20,184,220,149,,,,,,,,,,,,,,,,573,0,9,582,700,
26,Sonora,55,SAN LUIS RIO COLORADO,91,260,,,,,,1397,,,,629,13152,14935,27836,,,,,,,,,,2784,,,,,,60733,21,1714,62468,150586,
26,Sonora,56,SAN MIGUEL DE HORCASITAS,4,9,,,,,,219,,,,300,393,1346,753,,,,,,,,,,,,,,,,3011,0,123,3134,5540,
26,Sonora,35,SAN PEDRO DE LA CUEVA,3,5,,,,,,8,,,,,653,877,13,,,,,,,,,,,,,,,,1551,0,40,1591,2052,
26,Sonora,36,SANTA ANA,12,23,,,,,,115,,,,,2366,4291,473,,,,,,,,,,,,,,,,7245,3,211,7459,12646,
26,Sonora,37,SANTA CRUZ,1,3,321,,206,,,17,,,,4,,,23,,411,,,,,,,,,,,,,,982,0,31,1013,1440,
26,Sonora,38,SARIC,2,4,,,,,,,,,,,,,723,,829,,,,,,,,,,,,,,1552,0,20,1572,2022,
26,Sonora,39,SOYOPA,5,5,,,,,,,,,,,703,173,806,,,,,,,,,,,,,,,,1682,0,20,1702,1994,
26,Sonora,40,SUAQUI GRANDE,1,2,,,,,,,,,,,,308,312,545,,,,,,,,,,,,,,,1165,0,25,1190,1402,
26,Sonora,41,TEPACHE,2,2,,,,,,,,,,,513,376,0,,,,,,,,,,,,,,,,889,0,23,912,1392,
26,Sonora,42,TRINCHERAS,2,3,,,,,,46,,,,,181,698,66,,,,,,,,,,,,,,,,991,0,35,1026,1565,
26,Sonora,43,TUBUTAMA,4,5,,,,,,278,,,,4,195,,135,,414,,,,,,,,,,,,,,1026,0,31,1057,1454,
26,Sonora,57,URES,13,19,,,,,,228,,,,133,2324,,1045,,1868,,,,,,,,,,,,,,5598,1,214,5813,9740,
26,Sonora,44,VILLA HIDALGO,3,4,,,,,,,,,,410,176,390,339,,,,,,,,,,,,,,,,1315,0,27,1342,1730,
26,Sonora,45,VILLA PESQUEIRA,3,4,,,,,,,,,,523,4,550,15,,,,,,,,,,,487,,,,,1579,0,49,1628,1800,
26,Sonora,69,YECORA,7,11,,,,,,,,,,,107,1454,1442,,,,,,,,,,,,,,,,3003,0,76,3079,4417,
