ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PFD,PRI_PVEM_NVA_ALIANZA,PAN_PT,PRD_PT,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
15,MEXICO,104,TLALMANALCO,21,57,730,,322,,1476,3792,,895,248,4256,331,6035,0,0,0,0,0,0,0,0,0,0,14,18085,670,18769,34530,0.5436
15,MEXICO,105,TLALNEPANTLA DE BAZ,380,921,,,27169,,,6422,,25829,7202,13061,1559,82733,67094,0,0,0,0,0,0,0,0,0,434,231069,13362,244865,545744,0.4487
15,MEXICO,106,TLATLAYA,32,56,115,,12034,,0,0,,26,0,0,0,7642,0,0,0,0,0,0,0,0,0,0,0,19817,208,20025,25861,0.7743
15,MEXICO,107,TOLUCA,303,931,80765,,19921,,12331,8873,,17379,7782,13230,1673,121546,0,0,0,0,0,0,0,0,0,0,380,283500,12244,296124,588778,0.5029
15,MEXICO,108,TONATICO,9,19,456,,1971,,90,0,,215,832,0,7,3596,0,0,0,0,0,0,0,0,0,0,0,7167,139,7306,9828,0.7434
15,MEXICO,109,TULTEPEC,30,154,5186,,18386,,607,1066,,4037,766,1593,158,16593,0,0,0,0,0,0,0,0,0,0,45,48392,1452,49889,103995,0.4797
15,MEXICO,110,TULTITLAN,183,547,12833,,27600,,5245,8348,,17937,4922,8810,0,55616,0,0,0,0,0,0,0,0,0,0,218,141311,6722,148251,339630,0.4365
15,MEXICO,111,VALLE DE BRAVO,28,82,5743,,1931,,3383,4113,,1614,335,243,0,12493,0,0,0,0,0,0,0,0,0,0,16,29855,793,30664,47568,0.6446
15,MEXICO,112,VILLA DE ALLENDE,22,55,1733,,10476,,205,0,,133,266,66,0,7960,0,0,0,0,0,0,0,0,0,0,6,20839,813,21658,30416,0.7121
15,MEXICO,113,VILLA DEL CARBON,19,53,5932,7040,116,122,367,2458,627,187,0,0,0,0,0,0,0,0,0,0,0,0,2879,0,1,19728,580,20309,29360,0.6917
