MUNICIPIO,Dtto,SECCION,PAN,PRI,PRD,PT,PVEM,PUDC,PCC,CCM1,CCM2,VALIDOS,NULOS,TOTAL
Abasolo,16,1,223,285,0,0,0,3,0,0,0,511,3,514
Abasolo,16,2,188,94,0,0,0,0,0,0,0,282,2,284
Acuña,19,3,103,560,19,11,13,508,26,16,0,1256,15,1271
Acuña,19,4,197,732,29,18,14,1162,3,30,0,2185,21,2206
Acuña,19,5,64,217,6,4,10,343,2,6,0,652,8,660
Acuña,19,6,74,218,11,4,4,213,3,11,0,538,6,544
Acuña,19,7,78,285,17,4,12,260,1,11,0,668,10,678
Acuña,19,8,69,238,19,3,14,318,3,5,0,669,30,699
Acuña,19,9,163,733,30,8,6,1018,7,28,0,1993,48,2041
Acuña,19,10,265,1292,36,14,18,1539,10,234,0,3408,41,3449
Acuña,19,11,133,473,24,12,9,596,7,28,0,1282,25,1307
Acuña,19,12,133,559,8,10,19,740,8,29,0,1506,28,1534
Acuña,19,13,39,113,6,0,3,112,2,9,0,284,4,288
Acuña,19,14,50,197,6,5,4,197,2,11,0,472,9,481
Acuña,19,15,44,258,8,7,1,207,0,4,0,529,3,532
Acuña,19,16,66,287,7,10,11,183,1,15,0,580,8,588
Acuña,19,17,49,263,8,5,12,207,2,12,0,558,11,569
Acuña,19,18,87,398,8,15,8,404,10,14,0,944,13,957
Acuña,19,19,258,1086,49,32,26,1562,17,42,0,3072,28,3100
Acuña,19,20,98,273,6,7,9,241,1,21,0,656,5,661
Acuña,19,21,84,222,7,4,2,279,4,11,0,613,17,630
Acuña,19,22,61,221,9,8,0,216,0,3,0,518,7,525
Acuña,19,23,45,188,11,5,2,156,2,12,0,421,8,429
Acuña,19,24,118,193,5,2,4,76,1,0,0,399,4,403
Acuña,19,25,80,302,12,2,6,251,4,15,0,672,7,679
Acuña,19,26,52,149,4,3,3,205,4,4,0,424,2,426
Acuña,19,27,54,227,9,9,4,97,6,146,0,552,14,566
Acuña,19,28,70,297,6,10,3,361,3,16,0,766,13,779
Acuña,19,29,90,323,9,4,4,346,12,11,0,799,17,816
Acuña,19,30,86,368,13,8,12,277,1,6,0,771,3,774
Acuña,19,31,177,793,32,31,29,920,14,18,0,2014,24,2038
Acuña,19,32,42,266,7,4,6,118,3,9,0,455,14,469
Acuña,19,33,88,422,11,16,14,720,1,18,0,1290,17,1307
Acuña,19,34,147,858,29,13,17,689,21,15,0,1789,33,1822
Acuña,19,35,112,614,8,17,10,575,7,34,0,1377,30,1407
Acuña,19,36,81,306,4,6,18,253,2,121,0,791,17,808
Acuña,19,37,58,256,9,3,13,193,5,0,0,537,6,543
Acuña,0,38,0,0,0,0,0,0,0,0,0,0,0,0
Acuña,0,39,0,0,0,0,0,0,0,0,0,0,0,0
Acuña,19,40,2,10,0,0,1,4,0,0,0,17,0,17
Acuña,19,41,37,330,9,6,3,161,2,17,0,565,15,580
Allende,17,42,248,344,0,0,0,0,0,0,0,592,8,600
Allende,17,43,300,328,0,0,0,0,0,0,0,628,11,639
Allende,17,44,250,281,0,0,0,0,0,0,0,531,8,539
Allende,17,45,218,254,0,0,0,0,0,0,0,472,4,476
Allende,17,46,182,346,0,0,0,0,0,0,0,528,6,534
Allende,17,47,322,348,0,0,0,0,0,0,0,670,5,675
Allende,17,48,182,205,0,0,0,0,0,0,0,387,6,393
Allende,17,49,255,359,0,0,0,0,0,0,0,614,6,620
Allende,17,50,335,326,0,0,0,0,0,0,0,661,5,666
Allende,17,51,263,309,0,0,0,0,0,0,0,572,9,581
Allende,17,52,194,200,0,0,0,0,0,0,0,394,4,398
Allende,17,53,205,228,0,0,0,0,0,0,0,433,4,437
Allende,17,54,311,417,0,0,0,0,0,0,0,728,9,737
Allende,17,55,234,419,0,0,0,0,0,0,0,653,11,664
Allende,17,56,20,43,0,0,0,0,0,0,0,63,3,66
Arteaga,6,57,362,640,126,22,0,0,0,0,0,1150,25,1175
Arteaga,6,58,126,133,29,3,0,0,0,0,0,291,3,294
