ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,PUP,NVA_ALIANZA,PSD,MORENA,ES,PRS,PAN_PRD,PRI_PVEM,C_COMUN_NVA_ALIANZA_PSD,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND31,CAND_IND32,CAND_IND33,CAND_IND34,CAND_IND35,CAND_IND36,CAND_IND37,CAND_IND38,CAND_IND39,CAND_IND40,CAND_IND41,CAND_IND42,CAND_IND43,CAND_IND44,CAND_IND45,CAND_IND46,CAND_IND47,PLANILLA_UNICA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
20,OAXACA,568,ZAPOTITLAN LAGUNAS,3,4,124,435,19,11,667,51,,,,51,,,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1372,54,1426,2309,0.6176
20,OAXACA,71,PUTLA VILLA DE GUERRERO,18,43,43,742,584,87,1346,1983,193,54,272,2324,,1207,6,32,,,,,,,,,,,,,,,3379,1132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13384,662,14047,22965,0.6117
20,OAXACA,85,SAN ANDRES CABECERA NUEVA,3,4,5,559,25,31,664,,,,,80,,,1,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1409,47,1456,1987,0.7328
20,OAXACA,298,SAN PEDRO AMUZGOS,3,7,2,1537,1310,6,11,,14,,69,281,,,11,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3248,61,3309,4511,0.7335
20,OAXACA,378,SANTA CRUZ ITUNDUJIA,8,16,82,2889,2171,153,28,,,,,201,,,12,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5578,119,5697,7529,0.7567
20,OAXACA,416,SANTA MARIA IPALAPA,3,8,315,77,787,16,17,,1161,,3,53,,,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2466,127,2593,3575,0.7253
20,OAXACA,448,SANTA MARIA ZACATEPEC,10,21,31,2967,2198,445,86,,300,,,1167,,,20,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7326,248,7579,11642,0.6510
20,OAXACA,470,SANTIAGO JUXTLAHUACA,18,43,242,5204,499,185,275,94,,,355,6376,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13291,534,13825,21915,0.6308
20,OAXACA,16,CHALCATONGO DE HIDALGO,7,14,31,578,980,513,405,32,108,693,112,381,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3848,294,4142,6349,0.6524
20,OAXACA,78,SAN AGUSTIN ATENANGO,2,3,3,419,229,10,5,,,,,200,,,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,869,41,910,1578,0.5767
20,OAXACA,549,"HEROICA VILLA TEZOATLAN DE SEGURA Y LUNA, CUNA DE LA INDEPENDENCIA DE OAXACA",13,19,511,1286,1106,40,1135,,,,,343,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4436,218,4656,9283,0.5016
20,OAXACA,553,HEROICA CIUDAD DE TLAXIACO,20,51,178,2305,2004,189,1566,521,4970,871,676,2501,,,72,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15925,461,16387,28358,0.5779
20,OAXACA,183,SAN JUAN BAUTISTA VALLE NACIONAL,15,30,1169,1246,355,136,568,522,2492,300,1978,1591,,588,117,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,11117,451,11574,16954,0.6827
20,OAXACA,560,VILLA DE ETLA,4,15,134,905,954,45,131,1397,,153,241,476,,,40,20,,,,,,,,,,,,,,,,,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4654,149,4808,7733,0.6218
20,OAXACA,12,EL BARRIO DE LA SOLEDAD,10,19,1316,2636,134,70,30,858,,26,108,475,,380,41,59,,,,,,,,,,,,,,,,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6317,180,6497,10045,0.6468
20,OAXACA,15,CHAHUITES,7,14,82,1362,400,74,667,2799,,,17,55,,,44,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5538,136,5674,7941,0.7145
20,OAXACA,57,MATIAS ROMERO AVENDAÑO,25,54,2722,3898,587,228,160,299,,1267,190,2574,,89,105,87,,,,,,,,,,,,,,,,,,,2533,,,,,,,,,,,,,,,,,,,,,,,,,,0,14739,615,15354,29038,0.5288
20,OAXACA,72,REFORMA DE PINEDA,2,4,4,626,18,5,20,9,,,8,128,,,0,6,,,,,,,,,,,,,,,,,,,,639,,,,,,,,,,,,,,,,,,,,,,,,,1,1463,60,1524,2054,0.7420
20,OAXACA,199,SAN JUAN GUICHICOVI,23,43,178,4948,8047,230,324,23,34,,85,271,,625,43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,14808,903,15720,21929,0.7169
20,OAXACA,325,SAN PEDRO TAPANATEPEC,9,18,2997,3249,78,106,68,,,,12,346,,6,40,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6997,110,7107,9737,0.7299
20,OAXACA,427,SANTA MARIA PETAPA,10,18,226,2370,570,38,2469,31,,62,31,567,,28,115,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6646,213,6866,11006,0.6238
20,OAXACA,481,SANTIAGO NILTEPEC,7,8,15,890,923,4,888,1,,,8,267,,2,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3012,67,3080,4033,0.7637
20,OAXACA,509,SANTO DOMINGO INGENIO,5,12,867,1680,124,30,51,,,1492,,224,,,44,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4537,167,4704,6365,0.7390
20,OAXACA,525,SANTO DOMINGO ZANATEPEC,9,17,25,865,431,591,,829,17,2536,164,147,13,45,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5674,173,5847,8202,0.7129
20,OAXACA,376,SANTA CRUZ AMILPAS,4,13,560,551,91,52,,1406,1152,206,48,462,,460,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5004,165,5171,8120,0.6368
20,OAXACA,392,SANTA LUCIA DEL CAMINO,23,64,1213,3382,1826,293,1028,793,1807,593,400,3646,,2435,135,97,,,,,,,,,,,,,,,,,,,,,3444,,,,,,,,,,,,,,,,,,,,,,,,16,21092,748,21856,38380,0.5695
20,OAXACA,537,SOLEDAD ETLA,3,7,22,720,164,124,590,156,20,6,834,101,,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2745,66,2811,4022,0.6989
20,OAXACA,154,SAN JACINTO AMILPAS,3,14,304,690,1351,70,1049,233,262,143,193,1203,,99,47,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5656,165,5824,10083,0.5776
20,OAXACA,66,OAXACA DE JUAREZ,147,372,18023,27235,7129,3026,7827,1045,1943,1717,1007,26856,,2060,1021,891,57,,,,,,,,,,,,,,,,,,,,,4793,1361,1363,1212,4368,,,,,,,,,,,,,,,,,,,115,112934,3864,116913,219629,0.5323
20,OAXACA,26,CUILAPAM DE GUERRERO,6,22,792,1249,2724,66,365,1001,82,624,325,922,112,208,251,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8748,336,9090,14054,0.6468
20,OAXACA,386,SANTA CRUZ XOXOCOTLAN,20,90,1948,6617,7247,367,4175,182,608,658,1207,6501,,931,491,247,,,,,,,,,,,,,,,,,,,,,,,,,,,417,1699,,,,,,,,,,,,,,,,,50,33295,1026,34371,61222,0.5614
20,OAXACA,566,VILLA DE ZAACHILA,7,38,221,3349,2880,711,216,62,,1148,785,3425,588,208,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,13669,523,14195,25813,0.5499
20,OAXACA,8,ASUNCION OCOTLAN,3,5,148,649,36,19,8,,,587,,14,,,41,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1512,68,1580,2626,0.6017
