CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PCU,MORENA,PH,ES,MVC,PRI_PVEM_NVA_ALIANZA_PCU,PRI_PVEM_NVA_ALIANZA,PRI_PVEM_PCU,PRI_NVA_ALIANZA_PCU,PVEM_NVA_ALIANZA_PCU,PRI_PVEM,PRI_NVA_ALIANZA,PRI_PCU,PVEM_NVA_ALIANZA,PVEM_PCU,NVA_ALIANZA_PCU,PT_MC,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,7,CHIAPAS,15,TONALA,97,TONALA,1522,1,3,29,2,0,23,5,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,89,152
2,7,CHIAPAS,15,TONALA,97,TONALA,1523,4,56,182,8,24,170,51,5,100,16,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,11,626,1299
2,7,CHIAPAS,15,TONALA,97,TONALA,1524,1,18,94,3,28,26,7,0,8,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,4,195,481
2,7,CHIAPAS,15,TONALA,97,TONALA,1525,2,102,301,12,44,399,17,3,25,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,910,12,922,1423
2,7,CHIAPAS,15,TONALA,97,TONALA,1526,1,5,114,28,41,159,9,1,11,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,0,373,579
2,7,CHIAPAS,15,TONALA,97,TONALA,1527,2,43,161,11,28,212,50,8,27,14,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572,17,589,978
2,7,CHIAPAS,15,TONALA,97,TONALA,1528,1,3,137,11,11,175,14,2,41,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,6,409,734
2,7,CHIAPAS,15,TONALA,97,TONALA,1529,1,1,5,1,1,1,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,98
2,7,CHIAPAS,16,HUIXTLA,1,ACACOYAGUA,1,6,620,314,17,0,317,0,8,272,148,0,4,615,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2319,71,2390,3501
2,7,CHIAPAS,16,HUIXTLA,1,ACACOYAGUA,2,3,196,266,11,0,252,0,6,226,127,0,5,302,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1393,27,1421,2034
2,7,CHIAPAS,16,HUIXTLA,1,ACACOYAGUA,3,3,198,214,5,0,359,0,10,140,92,0,1,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1490,29,1520,2058
2,7,CHIAPAS,16,HUIXTLA,1,ACACOYAGUA,4,1,195,44,0,0,19,0,0,37,8,0,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,357,16,374,552
2,7,CHIAPAS,16,HUIXTLA,1,ACACOYAGUA,5,2,334,140,7,0,51,0,7,142,7,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897,28,925,1268
2,7,CHIAPAS,16,HUIXTLA,1,ACACOYAGUA,6,3,246,234,17,0,215,0,5,258,37,0,0,317,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1330,25,1356,1857
2,7,CHIAPAS,16,HUIXTLA,3,ACAPETAHUA,21,2,16,54,1,11,180,0,8,306,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587,10,597,890
2,7,CHIAPAS,16,HUIXTLA,3,ACAPETAHUA,22,2,20,75,2,16,298,0,13,458,13,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,23,923,1309
2,7,CHIAPAS,16,HUIXTLA,3,ACAPETAHUA,23,2,22,18,2,9,221,0,20,406,17,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,17,737,1119
2,7,CHIAPAS,16,HUIXTLA,3,ACAPETAHUA,24,3,26,53,2,37,278,0,10,601,21,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1047,24,1071,1571
2,7,CHIAPAS,16,HUIXTLA,3,ACAPETAHUA,25,3,47,106,6,25,473,0,8,489,11,0,2,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1202,30,1232,1840
2,7,CHIAPAS,16,HUIXTLA,3,ACAPETAHUA,26,4,19,55,8,27,549,0,17,664,21,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1366,33,1399,1903
2,7,CHIAPAS,16,HUIXTLA,3,ACAPETAHUA,27,3,85,74,5,21,345,0,13,441,12,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,45,1047,1551
2,7,CHIAPAS,16,HUIXTLA,3,ACAPETAHUA,28,4,97,117,2,99,443,0,37,597,12,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1425,36,1461,2088
2,7,CHIAPAS,16,HUIXTLA,3,ACAPETAHUA,29,2,75,42,4,15,427,0,7,370,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,954,21,975,1362
