CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PCU,MORENA,PH,ES,MVC,PRI_PVEM_NVA_ALIANZA_PCU,PRI_PVEM_NVA_ALIANZA,PRI_PVEM_PCU,PRI_NVA_ALIANZA_PCU,PVEM_NVA_ALIANZA_PCU,PRI_PVEM,PRI_NVA_ALIANZA,PRI_PCU,PVEM_NVA_ALIANZA,PVEM_PCU,NVA_ALIANZA_PCU,PT_MC,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
2,7,CHIAPAS,16,HUIXTLA,1,ACACOYAGUA,1,B,86,55,1,0,84,0,2,77,32,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459,9,468,684,ACTA CASILLA,,,www.iepc-chiapas.org.mx/SICEE/actas/ACACOYAGUA/0001_B.pdf
2,7,CHIAPAS,16,HUIXTLA,1,ACACOYAGUA,1,C01,103,43,4,0,73,0,3,42,33,0,1,139,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,442,8,450,684,ACTA CASILLA,,,www.iepc-chiapas.org.mx/SICEE/actas/ACACOYAGUA/0001_C1.pdf
2,7,CHIAPAS,16,HUIXTLA,1,ACACOYAGUA,1,C02,107,55,5,0,72,0,0,40,24,0,1,158,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,464,14,478,685,ACTA CASILLA,,,www.iepc-chiapas.org.mx/SICEE/actas/ACACOYAGUA/0001_C2.pdf
2,7,CHIAPAS,16,HUIXTLA,1,ACACOYAGUA,1,C03,112,68,3,0,57,0,2,45,35,0,0,114,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,437,18,455,685,ACTA CASILLA,,,www.iepc-chiapas.org.mx/SICEE/actas/ACACOYAGUA/0001_C3.pdf
2,7,CHIAPAS,16,HUIXTLA,1,ACACOYAGUA,1,E01,99,47,3,0,14,0,1,28,10,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,8,265,381,ACTA CASILLA,,,www.iepc-chiapas.org.mx/SICEE/actas/ACACOYAGUA/0001_E1.pdf
2,7,CHIAPAS,16,HUIXTLA,1,ACACOYAGUA,1,E01C01,113,46,1,0,17,0,0,40,14,0,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,14,274,382,ACTA CASILLA,,,www.iepc-chiapas.org.mx/SICEE/actas/ACACOYAGUA/0001_E1C1.pdf
2,7,CHIAPAS,16,HUIXTLA,1,ACACOYAGUA,2,B,76,90,2,0,93,0,1,81,45,0,1,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481,12,493,678,ACTA CASILLA,,,www.iepc-chiapas.org.mx/SICEE/actas/ACACOYAGUA/0002_B.pdf
2,7,CHIAPAS,16,HUIXTLA,1,ACACOYAGUA,2,C01,66,87,7,0,87,0,0,65,34,0,2,97,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,447,11,459,678,ACTA CASILLA,,,www.iepc-chiapas.org.mx/SICEE/actas/ACACOYAGUA/0002_C1.pdf
2,7,CHIAPAS,16,HUIXTLA,1,ACACOYAGUA,2,C02,54,89,2,0,72,0,5,80,48,0,2,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465,4,469,678,ACTA CASILLA,,,www.iepc-chiapas.org.mx/SICEE/actas/ACACOYAGUA/0002_C2.pdf
2,7,CHIAPAS,16,HUIXTLA,1,ACACOYAGUA,3,B,87,90,3,0,91,0,4,54,37,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499,7,506,686,ACTA CASILLA,,,www.iepc-chiapas.org.mx/SICEE/actas/ACACOYAGUA/0003_B.pdf
2,7,CHIAPAS,16,HUIXTLA,1,ACACOYAGUA,3,C01,51,65,0,0,128,0,4,48,28,0,1,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,493,8,502,686,ACTA CASILLA,,,www.iepc-chiapas.org.mx/SICEE/actas/ACACOYAGUA/0003_C1.pdf
2,7,CHIAPAS,16,HUIXTLA,1,ACACOYAGUA,3,C02,60,59,2,0,140,0,2,38,27,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498,14,512,686,ACTA CASILLA,,,www.iepc-chiapas.org.mx/SICEE/actas/ACACOYAGUA/0003_C2.pdf
2,7,CHIAPAS,16,HUIXTLA,1,ACACOYAGUA,4,B,195,44,0,0,19,0,0,37,8,0,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,357,16,374,552,ACTA CASILLA,,,www.iepc-chiapas.org.mx/SICEE/actas/ACACOYAGUA/0004_B.pdf
2,7,CHIAPAS,16,HUIXTLA,1,ACACOYAGUA,5,B,176,81,3,0,41,0,3,61,2,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437,9,446,623,ACTA CASILLA,,,www.iepc-chiapas.org.mx/SICEE/actas/ACACOYAGUA/0005_B.pdf
2,7,CHIAPAS,16,HUIXTLA,1,ACACOYAGUA,5,E01,158,59,4,0,10,0,4,81,5,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,19,479,645,ACTA CASILLA,,,www.iepc-chiapas.org.mx/SICEE/actas/ACACOYAGUA/0005_E1.pdf
2,7,CHIAPAS,16,HUIXTLA,1,ACACOYAGUA,6,B,77,78,4,0,77,0,2,92,7,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,469,5,475,619,ACTA CASILLA,,,www.iepc-chiapas.org.mx/SICEE/actas/ACACOYAGUA/0006_B.pdf
2,7,CHIAPAS,16,HUIXTLA,1,ACACOYAGUA,6,C01,81,86,7,0,60,0,2,89,14,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444,8,452,619,ACTA CASILLA,,,www.iepc-chiapas.org.mx/SICEE/actas/ACACOYAGUA/0006_C1.pdf
2,7,CHIAPAS,16,HUIXTLA,1,ACACOYAGUA,6,C02,88,70,6,0,78,0,1,77,16,0,0,80,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,417,12,429,619,ACTA CASILLA,,,www.iepc-chiapas.org.mx/SICEE/actas/ACACOYAGUA/0006_C2.pdf
1,7,CHIAPAS,3,CHIAPA DE CORZO,2,ACALA,7,B,0,11,1,1,103,40,24,166,2,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,8,520,739,ACTA CASILLA,,,www.iepc-chiapas.org.mx/SICEE/actas/ACALA/0007_B.pdf
1,7,CHIAPAS,3,CHIAPA DE CORZO,2,ACALA,7,C01,0,8,4,0,132,29,22,165,4,2,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522,9,531,739,ACTA CASILLA,,,www.iepc-chiapas.org.mx/SICEE/actas/ACALA/0007_C1.pdf
1,7,CHIAPAS,3,CHIAPA DE CORZO,2,ACALA,7,C02,0,5,2,0,120,21,23,148,1,1,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497,8,505,740,ACTA CASILLA,,,www.iepc-chiapas.org.mx/SICEE/actas/ACALA/0007_C2.pdf
1,7,CHIAPAS,3,CHIAPA DE CORZO,2,ACALA,8,B,0,1,2,2,120,30,25,139,5,3,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,525,12,539,737,ACTA CASILLA,,,www.iepc-chiapas.org.mx/SICEE/actas/ACALA/0008_B.pdf
1,7,CHIAPAS,3,CHIAPA DE CORZO,2,ACALA,8,C01,0,0,1,4,148,30,19,149,1,2,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527,6,533,737,ACTA CASILLA,,,www.iepc-chiapas.org.mx/SICEE/actas/ACALA/0008_C1.pdf
1,7,CHIAPAS,3,CHIAPA DE CORZO,2,ACALA,9,B,0,0,1,4,148,30,19,149,1,2,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527,6,533,741,ACTA CASILLA,,,www.iepc-chiapas.org.mx/SICEE/actas/ACALA/0009_B.pdf
1,7,CHIAPAS,3,CHIAPA DE CORZO,2,ACALA,9,C01,0,1,4,1,104,29,16,183,2,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508,10,518,742,ACTA CASILLA,,,www.iepc-chiapas.org.mx/SICEE/actas/ACALA/0009_C1.pdf
1,7,CHIAPAS,3,CHIAPA DE CORZO,2,ACALA,9,C02,0,9,4,0,120,31,14,152,2,1,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,14,530,742,ACTA CASILLA,,,www.iepc-chiapas.org.mx/SICEE/actas/ACALA/0009_C2.pdf
