ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,PBC,NVA_ALIANZA,PES,MC,MORENA,PPC,MUNICIPALISTA,PH,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
2,BAJA CALIFORNIA,1,ENSENADA,229,636,29017,25089,5255,4451,1847,1646,1909,9000,2586,11861,1312,1923,, ,, ,3869,28821,,,,54,128586,3928,132568,369996,0.3583
2,BAJA CALIFORNIA,2,MEXICALI,581,1285,83503,55575,3461,2177,4197,19660,6215,9451,21892,16309,2398,2552,3288,,,,,,,,,226,230650,8314,239190,738945,0.3237
2,BAJA CALIFORNIA,3,TECATE,41,131,8097,7982,547,380,563,265,311,1233,1549,1512,829,146,603,4761,,,,,,,,47,28778,875,29700,80575,0.3686
2,BAJA CALIFORNIA,4,TIJUANA,1070,2273,95252,67386,7566,5870,7425,7867,7374,91125,6705,48583,2816,2674,3080,,35039,5678, , ,,,,328,394467,12050,406845,1293730,0.3144
2,BAJA CALIFORNIA,5,PLAYAS DE ROSARITO,27,133,10334,6422,516,137,781,1332,281,651,1474,2717,302,152,,,,,,,2692,407,292,12,28751,947,29710,84110,0.3532
