ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,PBC,NVA_ALIANZA,PES,MC,MORENA,PPC,MUNICIPALISTA,PH,PRI_PT_PVEM_NVA_ALIANZA,PRI_PT_PVEM,PRI_PT_NVA_ALIANZA,PRI_PVEM_NVA_ALIANZA,PT_PVEM_NVA_ALIANZA,PRI_PT,PRI_PVEM,PRI_NVA_ALIANZA,PT_PVEM,PT_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
2,BAJA CALIFORNIA,1,ENSENADA,229,636,29017,24691,5255,4170,1626,1646,1791,9000,2586,11861,1312,1923,,254,73,15,40,7,330,190,53,31,8,17, ,, ,3869,28821,,,,54,128586,3928,132568,369996,0.3583
2,BAJA CALIFORNIA,2,MEXICALI,581,1285,83503,54478,3461,1671,3483,19660,5626,11387,21892,16309,2398,2552,3288,830,147,79,247,23,347,649,408,32,46,70, ,,,,,,,,226,230650,8314,239190,738945,0.3237
2,BAJA CALIFORNIA,3,TECATE,41,131,8097,7864,547,318,469,265,289,1233,1549,1512,829,146,603,49,81,7,16,0,38,94,5,3,1,2,4761,,,,,,,,47,28778,875,29700,80575,0.3686
2,BAJA CALIFORNIA,4,TIJUANA,1070,2273,95252,66531,7566,5483,6799,7867,7185,91125,6705,48583,2816,2674,3080,250,132,26,96,23,434,817,133,75,34,64,,35039,5678, ,,,,,328,394467,12050,406845,1293730,0.3144
2,BAJA CALIFORNIA,5,PLAYAS DE ROSARITO,27,133,10334,6319,516,96,705,1332,240,651,1474,2717,302,152,,63,14,6,18,5,36,86,25,3,1,4,,,,,,2692,407,292,12,28751,947,29710,84110,0.3532

