Year,State,Number of Municipalities,Total Sections
2015,MICHOACAN,111,2594
2018,MICHOACAN,112,2649
1997,MORELOS,33,906
2000,MORELOS,33,906
2003,MORELOS,33,907
2006,MORELOS,33,904
2009,MORELOS,33,907
2012,MORELOS,33,907
2015,MORELOS,33,907
2018,MORELOS,33,907
1996,NAYARIT,20,875
1999,NAYARIT,20,876
2002,NAYARIT,20,876
2005,NAYARIT,20,876
2008,NAYARIT,20,876
2011,NAYARIT,20,875
2014,NAYARIT,20,960
2017,NAYARIT,20,973
2000,NUEVO LEON,51,2102
2003,NUEVO LEON,51,2124
2006,NUEVO LEON,51,2158
2009,NUEVO LEON,51,2145
2012,NUEVO LEON,51,2405
2015,NUEVO LEON,51,2602
2018,NUEVO LEON,51,2620
1998,OAXACA,152,1428
2001,OAXACA,151,1433
2004,OAXACA,149,1433
2007,OAXACA,151,1440
2010,OAXACA,152,1440
2013,OAXACA,153,1444
2016,OAXACA,152,1418
2018,OAXACA,153,1446
1998,PUEBLA,215,2521
2001,PUEBLA,217,2539
2004,PUEBLA,217,2547
2007,PUEBLA,217,2550
2010,PUEBLA,216,2553
2013,PUEBLA,217,2601
2018,PUEBLA,216,2619
1997,QUERETARO,18,686
2000,QUERETARO,18,687
2003,QUERETARO,18,687
2006,QUERETARO,18,740
2009,QUERETARO,18,761
2012,QUERETARO,18,814
2015,QUERETARO,18,859
2018,QUERETARO,18,860
1999,QUINTANA ROO,8,444
2002,QUINTANA ROO,8,427
2005,QUINTANA ROO,8,447
2008,QUINTANA ROO,8,444
2010,QUINTANA ROO,9,714
2013,QUINTANA ROO,10,833
2016,QUINTANA ROO,11,938
2018,QUINTANA ROO,11,939
1997,SAN LUIS POTOSI,58,1758
2000,SAN LUIS POTOSI,58,1789
2003,SAN LUIS POTOSI,58,1791
2006,SAN LUIS POTOSI,58,1790
2009,SAN LUIS POTOSI,58,1790
2012,SAN LUIS POTOSI,57,1769
2015,SAN LUIS POTOSI,58,1786
2018,SAN LUIS POTOSI,58,1785
2001,SINALOA,18,3759
2004,SINALOA,18,3767
2007,SINALOA,18,3758
2010,SINALOA,18,3757
2013,SINALOA,18,3785
2016,SINALOA,18,3660
2018,SINALOA,18,3696
1994,SONORA,70,1324
1997,SONORA,72,1327
2000,SONORA,72,1316
2003,SONORA,72,1311
2006,SONORA,72,1340
2009,SONORA,72,1345
2012,SONORA,72,1383
2015,SONORA,72,1510
2018,SONORA,72,1513
1997,TABASCO,17,1133
2000,TABASCO,17,1133
2003,TABASCO,17,1133
2006,TABASCO,17,1132
2009,TABASCO,17,1133
2012,TABASCO,17,1129
2015,TABASCO,16,851
2018,TABASCO,17,1129
1995,TAMAULIPAS,43,1727
1998,TAMAULIPAS,43,1734
2001,TAMAULIPAS,43,1731
2004,TAMAULIPAS,43,1734
2007,TAMAULIPAS,43,1732
2010,TAMAULIPAS,43,1805
2013,TAMAULIPAS,43,1898
2016,TAMAULIPAS,43,1994
2018,TAMAULIPAS,43,1995
2001,TLAXCALA,60,607
2004,TLAXCALA,60,604
2007,TLAXCALA,60,604
2010,TLAXCALA,60,606
2013,TLAXCALA,59,598
2016,TLAXCALA,60,605
2000,VERACRUZ,208,4697
2004,VERACRUZ,211,4708
2007,VERACRUZ,209,4681
2010,VERACRUZ,212,4730
2013,VERACRUZ,209,4745
2017,VERACRUZ,208,4677
1995,YUCATAN,105,1052
1998,YUCATAN,106,1059
2001,YUCATAN,98,953
2004,YUCATAN,106,1049
2007,YUCATAN,106,1078
2010,YUCATAN,106,1078
2012,YUCATAN,106,1072
2015,YUCATAN,106,1116
2018,YUCATAN,106,1116
1998,ZACATECAS,56,1870
2001,ZACATECAS,57,1871
2004,ZACATECAS,57,1866
2007,ZACATECAS,58,1867
2010,ZACATECAS,58,1867
2013,ZACATECAS,58,1873
2016,ZACATECAS,58,1758
2018,ZACATECAS,58,1757
