ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,PUP,NVA_ALIANZA,PSD,MORENA,PRS,PAN_PRD,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
20,OAXACA,2,ACATLAN DE PEREZ FIGUEROA,33,61,11806,7234,642,303,554,29,79,56,2012,17,500,5,132,2,0,5,23371,462,23838,31260,0.7626
20,OAXACA,24,COSOLAPA,10,17,1549,3007,302,233,217,54,59,137,854,35,48,25,182,0,0,0,6702,267,6969,9550,0.7297
20,OAXACA,167,SAN JOSE INDEPENDENCIA,3,6,100,1312,1072,8,13,0,1,0,72,0,28,1,10,0,0,0,2617,28,2645,3388,0.7807
20,OAXACA,170,SAN JOSE TENANGO,16,25,71,1493,464,231,2019,172,40,248,930,1839,9,0,6,1,0,0,7523,1343,8866,11439,0.7751
20,OAXACA,276,SAN MIGUEL SOYALTEPEC,24,52,4091,11403,2376,52,598,212,50,37,1600,22,288,10,64,0,0,0,20803,261,21064,26089,0.8074
20,OAXACA,307,SAN PEDRO IXCATLAN,9,14,426,1955,135,58,320,101,71,285,2263,113,8,2,7,1,0,0,5745,268,6013,7409,0.8116
20,OAXACA,404,SANTA MARIA CHILCHOTLA,17,33,517,4488,1397,150,189,56,76,59,626,25,230,6,68,2,2,0,7891,316,8207,13853,0.5924
20,OAXACA,182,SAN JUAN BAUTISTA TUXTEPEC,74,195,7442,13582,5844,1138,16562,673,863,538,14923,489,824,40,244,10,2,37,63174,1833,65044,112363,0.5789
20,OAXACA,232,SAN LUCAS OJITLAN,12,27,2984,2068,696,114,274,104,119,269,4419,90,119,3,23,5,0,0,11287,349,11636,14741,0.7894
20,OAXACA,11,AYOTZINTEPEC,3,10,117,1548,1025,14,251,53,6,15,605,5,39,1,18,0,0,0,3697,109,3806,4787,0.7951
20,OAXACA,44,LOMA BONITA,32,59,519,5503,5669,638,1852,317,428,194,2928,167,74,10,105,2,5,6,18411,750,19167,28556,0.6712
20,OAXACA,131,SAN FELIPE JALAPA DE DIAZ,11,33,74,6178,1813,66,353,250,78,166,5905,150,52,1,23,0,0,1,15109,220,15330,18292,0.8381
20,OAXACA,133,SAN FELIPE USILA,5,14,441,2806,306,121,503,577,13,40,2320,14,20,0,8,0,0,0,7169,80,7249,8423,0.8606
20,OAXACA,164,SAN JOSE CHILTEPEC,6,15,251,1485,608,88,1847,45,45,57,1625,27,59,135,41,0,0,1,6313,204,6518,8279,0.7873
20,OAXACA,181,SAN JUAN BAUTISTA TLACOATZINTEPEC,1,4,4,130,13,256,24,53,205,160,520,1,0,0,14,0,1,0,1381,18,1399,1628,0.8593
20,OAXACA,418,SANTA MARIA JACATEPEC,6,13,297,948,1040,73,1214,30,21,168,1218,14,59,0,7,0,0,2,5089,169,5260,6935,0.7585
20,OAXACA,469,SANTIAGO JOCOTEPEC,8,16,219,1211,1394,869,398,9,44,39,831,28,59,0,29,1,1,1,5132,161,5294,8363,0.6330
20,OAXACA,22,CONCEPCION PAPALO,4,5,59,131,379,13,61,117,38,94,452,8,23,0,0,3,1,0,1379,50,1429,2139,0.6681
20,OAXACA,27,CUYAMECALCO VILLA DE ZARAGOZA,4,6,66,375,116,30,61,118,39,24,170,9,5,0,11,1,0,0,1025,62,1087,2596,0.4187
20,OAXACA,29,ELOXOCHITLAN DE FLORES MAGON,4,6,18,509,141,11,70,8,8,22,359,23,7,0,11,0,0,0,1187,102,1289,2635,0.4892
20,OAXACA,38,HUAUTEPEC,4,8,10,1638,43,26,81,48,5,37,1265,36,0,1,11,0,0,0,3201,63,3264,3866,0.8443
20,OAXACA,39,HUAUTLA DE JIMENEZ,19,39,183,4190,4254,77,444,123,104,571,4876,567,74,6,23,7,4,1,15503,618,16122,20933,0.7702
20,OAXACA,58,MAZATLAN VILLA DE FLORES,10,20,91,1589,1283,84,464,175,35,44,423,25,35,3,14,0,0,0,4265,329,4594,8064,0.5697
20,OAXACA,95,SAN ANDRES TEOTILALPAM,2,5,63,328,165,4,75,63,14,25,459,18,161,131,2,0,0,0,1508,85,1593,2687,0.5929
20,OAXACA,106,SAN ANTONIO NANAHUATIPAM,1,2,7,119,42,7,9,43,56,6,283,1,0,0,1,5,0,2,579,22,603,985,0.6122
20,OAXACA,115,SAN BARTOLOME AYAUTLA,3,5,27,536,583,55,109,26,42,601,196,10,2,0,2,0,0,0,2189,72,2261,2763,0.8183
20,OAXACA,136,SAN FRANCISCO CHAPULAPA,1,2,33,264,80,8,59,129,13,10,111,0,3,0,1,0,0,0,711,37,748,1286,0.5816
20,OAXACA,139,SAN FRANCISCO HUEHUETLAN,1,1,9,68,82,28,7,1,1,6,104,11,5,0,0,0,0,0,322,56,378,714,0.5294
20,OAXACA,160,SAN JERONIMO TECOATL,2,3,8,68,63,45,4,2,2,3,46,0,4,0,1,0,0,0,246,49,295,1108,0.2662
20,OAXACA,175,SAN JUAN BAUTISTA CUICATLAN,13,19,718,1235,404,55,630,195,102,464,1088,40,190,7,23,3,1,0,5155,237,5392,7224,0.7464
20,OAXACA,187,CHIQUIHUITLAN DE BENITO JUAREZ,2,3,32,532,113,14,85,18,6,17,53,0,11,0,12,1,0,0,894,48,942,1627,0.5790
20,OAXACA,189,SAN JUAN COATZOSPAM,1,2,8,369,17,10,17,79,3,7,88,348,1,0,3,0,0,0,950,46,996,1408,0.7074
20,OAXACA,193,SAN JUAN DE LOS CUES,2,3,40,162,248,7,38,94,18,5,203,2,8,2,3,0,0,0,830,21,851,1773,0.4800
20,OAXACA,220,SAN JUAN TEPEUXILA,4,4,68,252,161,15,139,104,9,17,164,8,44,0,1,0,0,1,982,63,1046,1835,0.5700
20,OAXACA,228,SAN LORENZO CUAUNECUILTITLA,1,1,2,195,33,0,75,0,2,0,10,0,1,0,4,0,0,0,322,20,342,458,0.7467
20,OAXACA,234,SAN LUCAS ZOQUIAPAM,4,7,553,644,233,386,139,66,40,58,190,16,40,4,17,5,0,0,2391,172,2563,4396,0.5830
20,OAXACA,244,SAN MARTIN TOXPALAN,2,5,15,334,145,3,19,357,38,19,257,2,6,0,1,1,0,0,1197,30,1227,2442,0.5025
20,OAXACA,255,SAN MATEO YOLOXOCHITLAN,2,4,41,442,149,12,259,12,6,25,272,10,12,2,20,0,0,0,1262,76,1338,2315,0.5780
20,OAXACA,275,SAN MIGUEL SANTA FLOR,1,1,1,94,7,6,87,8,5,18,76,1,2,1,2,0,0,0,308,0,308,576,0.5347
20,OAXACA,309,SAN PEDRO JALTEPETONGO,1,1,4,69,7,8,11,26,5,61,26,2,0,0,0,0,0,0,219,21,240,394,0.6091
20,OAXACA,311,SAN PEDRO JOCOTIPAC,1,1,4,98,15,7,23,9,5,6,71,2,1,0,0,2,0,0,243,16,259,642,0.4034
20,OAXACA,320,SAN PEDRO OCOPETATILLO,1,1,1,232,2,9,2,3,2,13,39,3,1,0,6,2,0,0,315,20,335,552,0.6069
20,OAXACA,324,SAN PEDRO SOCHIAPAM,3,6,144,446,204,25,23,181,107,61,314,25,37,0,8,2,0,0,1577,73,1650,2950,0.5593
20,OAXACA,328,SAN PEDRO TEUTILA,3,6,71,510,346,9,60,63,15,7,220,1,63,1,11,0,0,2,1377,52,1431,2896,0.4941
20,OAXACA,354,SANTA ANA ATEIXTLAHUACA,1,1,5,70,50,10,5,1,0,12,43,3,0,0,0,0,0,0,199,14,213,323,0.6594
20,OAXACA,355,SANTA ANA CUAUHTEMOC,1,1,8,109,41,4,30,16,2,9,24,3,0,0,1,2,0,0,249,19,268,515,0.5204
20,OAXACA,375,SANTA CRUZ ACATEPEC,1,2,3,183,204,19,7,28,24,103,37,0,1,0,4,3,0,0,616,31,647,910,0.7110
20,OAXACA,399,SANTA MARIA LA ASUNCION,2,4,453,464,44,53,91,5,9,23,70,4,40,0,5,0,0,0,1261,120,1381,2049,0.6740
20,OAXACA,417,SANTA MARIA IXCATLAN,1,1,14,85,132,0,23,0,2,9,10,1,2,0,0,0,0,0,278,13,291,390,0.7462
20,OAXACA,426,SANTA MARIA PAPALO,1,2,16,136,142,12,51,201,19,115,175,6,1,0,0,0,0,0,874,38,912,1473,0.6191
20,OAXACA,432,SANTA MARIA TECOMAVACA,1,2,8,233,57,62,21,91,149,24,377,3,2,1,43,0,2,0,1073,41,1114,1422,0.7834
20,OAXACA,435,SANTA MARIA TEOPOXCO,2,6,35,1068,72,18,12,68,10,13,538,23,3,0,8,1,0,0,1869,92,1961,2889,0.6788
20,OAXACA,437,SANTA MARIA TEXCATITLAN,1,2,1,262,215,2,12,6,0,5,86,0,2,0,1,0,0,0,592,15,607,782,0.7762
20,OAXACA,439,SANTA MARIA TLALIXTAC,1,3,106,214,20,7,73,12,29,7,157,2,15,7,4,4,0,0,657,51,708,1128,0.6277
20,OAXACA,491,SANTIAGO TEXCALCINGO,2,4,13,759,64,23,23,71,18,7,30,3,2,3,19,0,0,0,1035,21,1056,1729,0.6108
20,OAXACA,531,SANTOS REYES PAPALO,1,3,17,272,50,4,193,44,33,13,48,21,0,0,0,1,0,0,696,42,738,1651,0.4470
20,OAXACA,545,TEOTITLAN DE FLORES MAGON,6,13,153,1214,1169,62,137,195,370,38,1450,25,33,3,22,5,3,0,4879,192,5071,6850,0.7403
20,OAXACA,558,VALERIO TRUJANO,2,2,7,108,119,96,55,108,29,80,299,60,4,0,8,0,0,0,973,10,983,1242,0.7915
20,OAXACA,7,ASUNCION NOCHIXTLAN,8,24,608,1657,1029,114,1841,272,47,708,2194,65,76,5,36,4,0,4,8656,320,8980,12682,0.7081
20,OAXACA,21,CONCEPCION BUENAVISTA,2,2,25,110,16,8,10,6,3,1,21,1,0,0,3,0,0,0,204,4,208,526,0.3954
20,OAXACA,46,MAGDALENA JALTEPEC,4,5,57,261,165,21,118,80,15,13,87,5,8,1,4,2,1,0,838,43,881,2397,0.3675
