ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,PUP,NVA_ALIANZA,PSD,MORENA,PRS,PAN_PRD,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,113,210,18606,31151,6416,1045,3964,661,384,824,8429,2052,1112,49,475,6,2,5,75176,2979,78161,103807,0.7529
20,OAXACA,2,SAN JUAN BAUTISTA TUXTEPEC,70,187,7613,13283,5522,1003,16214,590,812,521,14482,482,839,39,230,9,2,37,61641,1771,63449,108681,0.5838
20,OAXACA,3,LOMA BONITA,87,197,4733,22009,12792,2325,7082,1485,997,1124,20835,501,474,151,272,8,7,11,74795,2093,76899,102867,0.7476
20,OAXACA,4,TEOTITLAN DE FLORES MAGON,119,212,3015,20606,11694,1326,3784,2914,1414,2679,15159,1322,841,172,303,48,11,6,65288,3139,68433,104617,0.6541
20,OAXACA,5,ASUNCION NOCHIXTLAN,166,249,3925,18691,8683,1166,8227,4083,698,1438,12745,474,371,42,359,24,6,22,60932,2144,63098,109639,0.5755
20,OAXACA,6,HEROICA CIUDAD DE HUAJUAPAN DE LEON,157,251,9488,20107,9427,617,4867,429,764,393,13533,308,431,44,308,14,5,52,60735,1958,62745,118506,0.5295
20,OAXACA,7,PUTLA VILLA DE GUERRERO,102,216,1308,16743,10489,1437,4990,1728,424,1128,20235,1163,161,25,361,5,3,19,60200,2655,62874,110623,0.5684
20,OAXACA,8,HEROICA CIUDAD DE TLAXIACO,128,229,1604,12626,11234,1156,5870,3795,1086,845,17281,527,270,44,246,32,13,4,56629,2673,59306,109417,0.5420
20,OAXACA,9,IXTLAN DE JUAREZ,127,223,5008,14274,4708,927,6545,3068,700,2813,16134,795,512,38,282,19,4,33,55827,2152,58012,107072,0.5418
20,OAXACA,10,SAN PEDRO Y SAN PABLO AYUTLA,81,174,3445,15451,2499,852,9989,942,470,383,6078,264,466,35,250,27,4,8,41155,2083,43246,87800,0.4926
20,OAXACA,11,MATIAS ROMERO AVENDAÑO,121,234,9473,25179,9553,1615,10256,677,3427,840,10544,814,478,40,411,87,9,12,73403,3229,76644,122462,0.6259
20,OAXACA,12,SANTA LUCIA DEL CAMINO,61,176,6861,13211,5894,891,6949,2783,477,1011,15391,1871,703,97,343,30,2,47,56514,1690,58251,109717,0.5309
20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,75,206,8346,15416,6519,786,8122,1460,418,807,17903,1419,787,114,388,29,9,60,62523,1687,64270,125119,0.5137
20,OAXACA,14,OAXACA DE JUAREZ ZONA NORTE,78,211,11241,18121,6460,1227,7607,1301,400,747,18433,1802,1023,142,471,28,4,82,69007,1966,71055,126006,0.5639
20,OAXACA,15,SANTA CRUZ XOXOCOTLAN,39,176,4598,13718,10158,1116,7798,1426,783,1745,16873,1352,822,111,304,28,7,35,60839,1806,62680,117890,0.5317
20,OAXACA,16,ZIMATLAN DE ALVAREZ,103,206,9258,16400,11726,1212,6033,1945,1599,1380,14382,835,1024,35,290,38,14,12,66171,2888,69071,114797,0.6017
20,OAXACA,17,TLACOLULA DE MATAMOROS,122,233,12149,17451,6849,1566,6204,858,709,758,8945,553,849,36,574,19,8,10,57528,2428,59966,124704,0.4809
20,OAXACA,18,SANTO DOMINGO TEHUANTEPEC,91,187,2992,15367,13395,730,7095,1170,1333,514,17327,1327,494,16,185,18,6,8,61969,1789,63766,98748,0.6457
20,OAXACA,19,SALINA CRUZ,86,207,7397,20974,14132,1487,5645,1093,643,315,17156,598,782,61,343,34,4,11,70664,1909,72584,118328,0.6134
20,OAXACA,20,HEROICA CIUDAD DE JUCHITAN DE ZARAGOZA,89,195,2854,21355,12788,1313,5441,1662,322,404,17621,340,453,38,318,11,2,12,64922,2300,67234,108489,0.6197
20,OAXACA,21,HEROICA CIUDAD DE EJUTLA DE CRESPO,92,176,6853,14572,4472,876,5011,1495,1246,1057,6508,2113,482,341,385,44,11,25,45466,2651,48142,94557,0.5091
20,OAXACA,22,SANTIAGO PINOTEPA NACIONAL,108,234,2292,27086,23496,730,5657,2318,1146,707,17889,282,585,46,398,32,6,27,82670,2671,85368,127515,0.6695
20,OAXACA,23,SAN PEDRO MIXTEPEC,62,186,4081,18277,4978,1169,6478,888,1886,633,20178,541,675,429,497,65,9,9,60784,2320,63113,108478,0.5818
20,OAXACA,24,MIAHUATLAN DE PORFIRIO DIAZ,109,204,9054,17985,3392,1124,3475,2232,703,725,11028,493,596,105,354,8,3,16,51277,2378,53669,108585,0.4943
20,OAXACA,25,SAN PEDRO POCHUTLA,64,188,6351,12722,6791,1340,13172,885,2968,1915,14149,1622,758,54,387,82,15,6,63211,2593,65810,110150,0.5975
20,OAXACA,0,RESIDENTES EN EL EXTRANJERO,0,1,6,9,9,0,9,1,1,0,25,2,2,0,0,0,0,0,64,1,65,,
