ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,PUP,NVA_ALIANZA,PSD,MORENA,PRS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,113,210,19162,31409,6972,1299,3964,661,404,824,8429,2052,5,75176,2979,78161,103807,0.7529
20,OAXACA,2,SAN JUAN BAUTISTA TUXTEPEC,70,187,8033,13416,5941,1132,16214,590,830,521,14482,482,37,61641,1771,63449,108681,0.5838
20,OAXACA,3,LOMA BONITA,87,197,4970,22200,13029,2515,7082,1485,1054,1124,20835,501,11,74795,2093,76899,102867,0.7476
20,OAXACA,4,TEOTITLAN DE FLORES MAGON,119,212,3435,20840,12115,1539,3784,2914,1501,2679,15159,1322,6,65288,3139,68433,104617,0.6541
20,OAXACA,5,ASUNCION NOCHIXTLAN,166,249,4110,18897,8869,1362,8227,4083,727,1438,12745,474,22,60932,2144,63098,109639,0.5755
20,OAXACA,6,HEROICA CIUDAD DE HUAJUAPAN DE LEON,157,251,9704,20283,9642,788,4867,429,788,393,13533,308,52,60735,1958,62745,118506,0.5295
20,OAXACA,7,PUTLA VILLA DE GUERRERO,102,216,1388,16936,10570,1627,4990,1728,435,1128,20235,1163,19,60200,2655,62874,110623,0.5684
20,OAXACA,8,HEROICA CIUDAD DE TLAXIACO,128,229,1739,12780,11369,1301,5870,3795,1122,845,17281,527,4,56629,2673,59306,109417,0.5420
20,OAXACA,9,IXTLAN DE JUAREZ,127,223,5264,14438,4964,1083,6545,3068,723,2813,16134,795,33,55827,2152,58012,107072,0.5418
20,OAXACA,10,SAN PEDRO Y SAN PABLO AYUTLA,81,174,3678,15602,2732,991,9989,942,496,383,6078,264,8,41155,2083,43246,87800,0.4926
20,OAXACA,11,MATIAS ROMERO AVENDAÑO,121,234,9712,25443,9792,1837,10256,677,3488,840,10544,814,12,73403,3229,76644,122462,0.6259
20,OAXACA,12,SANTA LUCIA DEL CAMINO,61,176,7213,13431,6245,1095,6949,2783,525,1011,15391,1871,47,56514,1690,58251,109717,0.5309
20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,75,206,8740,15663,6912,1023,8122,1460,474,807,17903,1419,60,62523,1687,64270,125119,0.5137
20,OAXACA,14,OAXACA DE JUAREZ ZONA NORTE,78,211,11753,18419,6971,1511,7607,1301,463,747,18433,1802,82,69007,1966,71055,126006,0.5639
20,OAXACA,15,SANTA CRUZ XOXOCOTLAN,39,176,5009,13921,10569,1309,7798,1426,837,1745,16873,1352,35,60839,1806,62680,117890,0.5317
20,OAXACA,16,ZIMATLAN DE ALVAREZ,103,206,9770,16576,12238,1376,6033,1945,1636,1380,14382,835,12,66171,2888,69071,114797,0.6017
20,OAXACA,17,TLACOLULA DE MATAMOROS,122,233,12574,17760,7273,1869,6204,858,734,758,8945,553,10,57528,2428,59966,124704,0.4809
20,OAXACA,18,SANTO DOMINGO TEHUANTEPEC,91,187,3239,15475,13642,830,7095,1170,1350,514,17327,1327,8,61969,1789,63766,98748,0.6457
20,OAXACA,19,SALINA CRUZ,86,207,7788,21184,14523,1680,5645,1093,682,315,17156,598,11,70664,1909,72584,118328,0.6134
20,OAXACA,20,HEROICA CIUDAD DE JUCHITAN DE ZARAGOZA,89,195,3080,21533,13015,1486,5441,1662,340,404,17621,340,12,64922,2300,67234,108489,0.6197
20,OAXACA,21,HEROICA CIUDAD DE EJUTLA DE CRESPO,92,176,7094,14901,4713,1186,5011,1495,1388,1057,6508,2113,25,45466,2651,48142,94557,0.5091
20,OAXACA,22,SANTIAGO PINOTEPA NACIONAL,108,234,2584,27317,23789,947,5657,2318,1180,707,17889,282,27,82670,2671,85368,127515,0.6695
20,OAXACA,23,SAN PEDRO MIXTEPEC,62,186,4418,18702,5316,1564,6478,888,2066,633,20178,541,9,60784,2320,63113,108478,0.5818
20,OAXACA,24,MIAHUATLAN DE PORFIRIO DIAZ,109,204,9352,18201,3690,1338,3475,2232,743,725,11028,493,16,51277,2378,53669,108585,0.4943
20,OAXACA,25,SAN PEDRO POCHUTLA,64,188,6730,12975,7170,1558,13172,885,3035,1915,14149,1622,6,63211,2593,65810,110150,0.5975
20,OAXACA,0,RESIDENTES EN EL EXTRANJERO,0,1,7,9,10,0,9,1,1,0,25,2,0,64,1,65,,
