CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,PUP,NVA_ALIANZA,PSD,MORENA,PRS,PAN_PRD,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,20,OAXACA,12,SANTA LUCIA DEL CAMINO,392,SANTA LUCIA DEL CAMINO,1750,3,188,276,124,19,136,29,9,14,374,35,20,3,7,0,0,2,1234,23,1259,1139
3,20,OAXACA,12,SANTA LUCIA DEL CAMINO,392,SANTA LUCIA DEL CAMINO,1751,4,189,359,191,31,196,101,16,28,341,110,20,3,1,0,0,0,1586,61,1647,2737
3,20,OAXACA,12,SANTA LUCIA DEL CAMINO,392,SANTA LUCIA DEL CAMINO,1752,2,98,204,97,8,75,57,13,20,175,50,10,0,6,0,0,2,813,23,838,1418
3,20,OAXACA,12,SANTA LUCIA DEL CAMINO,392,SANTA LUCIA DEL CAMINO,1753,2,100,153,63,7,61,31,11,7,239,39,13,1,1,0,0,1,726,22,749,1232
3,20,OAXACA,12,SANTA LUCIA DEL CAMINO,392,SANTA LUCIA DEL CAMINO,1754,2,106,192,73,6,112,19,3,15,239,55,15,2,6,0,0,1,843,17,861,1393
3,20,OAXACA,12,SANTA LUCIA DEL CAMINO,392,SANTA LUCIA DEL CAMINO,1755,3,112,291,81,7,84,23,7,11,261,38,9,3,5,0,0,1,932,22,955,1634
3,20,OAXACA,12,SANTA LUCIA DEL CAMINO,392,SANTA LUCIA DEL CAMINO,1756,2,97,154,90,6,79,18,1,11,167,25,17,1,1,1,0,0,668,12,680,1226
3,20,OAXACA,12,SANTA LUCIA DEL CAMINO,392,SANTA LUCIA DEL CAMINO,1757,3,92,216,128,5,96,40,5,10,223,33,10,1,4,0,0,3,863,26,892,1529
3,20,OAXACA,12,SANTA LUCIA DEL CAMINO,392,SANTA LUCIA DEL CAMINO,1758,3,81,210,96,8,115,20,13,12,292,45,11,1,4,0,0,0,908,27,935,1596
3,20,OAXACA,12,SANTA LUCIA DEL CAMINO,392,SANTA LUCIA DEL CAMINO,1759,3,102,196,131,15,100,43,11,16,292,51,6,0,11,0,0,1,974,29,1004,1695
3,20,OAXACA,12,SANTA LUCIA DEL CAMINO,392,SANTA LUCIA DEL CAMINO,1760,4,102,205,187,19,143,44,36,21,437,102,14,3,9,1,0,2,1323,44,1369,2492
3,20,OAXACA,12,SANTA LUCIA DEL CAMINO,392,SANTA LUCIA DEL CAMINO,1761,4,163,302,178,26,197,101,14,32,418,94,11,1,3,0,0,3,1540,67,1610,2886
3,20,OAXACA,12,SANTA LUCIA DEL CAMINO,392,SANTA LUCIA DEL CAMINO,1762,8,286,541,338,29,329,132,19,47,856,144,38,1,18,1,0,2,2779,99,2880,5332
3,20,OAXACA,12,SANTA LUCIA DEL CAMINO,392,SANTA LUCIA DEL CAMINO,1763,2,46,141,70,9,71,26,35,14,252,29,8,0,2,0,0,0,703,23,726,1218
3,20,OAXACA,12,SANTA LUCIA DEL CAMINO,392,SANTA LUCIA DEL CAMINO,1764,2,53,122,73,7,76,16,8,9,218,43,3,0,2,0,0,0,630,13,643,1071
3,20,OAXACA,12,SANTA LUCIA DEL CAMINO,392,SANTA LUCIA DEL CAMINO,1765,2,69,191,111,8,88,21,10,10,259,45,11,1,1,0,0,0,825,30,855,1439
3,20,OAXACA,12,SANTA LUCIA DEL CAMINO,392,SANTA LUCIA DEL CAMINO,1766,2,58,151,62,4,47,16,5,10,216,27,6,1,6,0,0,0,609,23,632,1196
3,20,OAXACA,12,SANTA LUCIA DEL CAMINO,392,SANTA LUCIA DEL CAMINO,1767,4,189,344,179,18,134,70,17,14,423,36,20,3,11,0,0,2,1458,39,1499,2413
3,20,OAXACA,12,SANTA LUCIA DEL CAMINO,392,SANTA LUCIA DEL CAMINO,1768,2,87,108,79,2,50,10,8,12,137,28,7,0,0,0,0,1,528,15,544,1081
3,20,OAXACA,12,SANTA LUCIA DEL CAMINO,537,SOLEDAD ETLA,2301,3,80,391,136,28,257,25,9,120,180,16,9,2,6,1,0,0,1260,22,1282,1839
3,20,OAXACA,12,SANTA LUCIA DEL CAMINO,537,SOLEDAD ETLA,2302,2,30,164,57,21,120,6,0,11,125,4,0,1,1,0,0,1,540,15,556,782
3,20,OAXACA,12,SANTA LUCIA DEL CAMINO,537,SOLEDAD ETLA,2303,2,38,280,113,23,229,15,5,89,148,5,4,0,1,0,0,1,950,21,972,1401
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,484,2,112,216,69,6,88,18,6,10,213,17,9,1,3,0,0,2,768,15,785,1393
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,504,3,138,255,80,9,69,18,3,8,232,18,10,1,6,0,0,0,847,22,869,1654
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,505,2,110,152,73,9,57,16,4,5,220,12,19,0,4,1,0,3,682,14,699,1331
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,524,5,204,426,151,17,181,31,13,23,563,31,20,0,9,0,0,0,1669,36,1705,3167
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,525,2,95,156,56,8,60,7,3,11,137,11,8,0,5,0,0,0,557,17,574,946
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,539,2,92,126,38,7,56,9,1,8,116,9,9,0,1,0,0,0,472,9,481,825
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,540,3,73,215,67,7,136,4,4,8,277,15,8,3,8,0,0,0,825,20,845,1879
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,541,3,116,205,85,10,143,19,9,17,360,19,17,2,8,1,0,1,1011,27,1039,2234
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,542,2,74,135,58,11,92,4,5,6,200,17,2,2,1,0,0,2,607,17,626,1231
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,543,7,245,525,218,18,330,37,13,26,647,72,25,4,12,2,2,2,2176,56,2234,4515
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,544,2,59,129,61,14,83,16,4,12,183,18,7,0,3,0,0,1,589,20,610,1131
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,545,3,143,235,111,11,95,21,3,15,560,15,12,0,7,1,0,0,1229,11,1240,778
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,558,2,62,119,47,1,48,12,3,9,117,13,10,0,2,0,0,2,443,27,472,946
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,559,3,106,194,96,5,90,12,5,3,321,12,6,2,6,0,0,0,858,18,876,1712
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,560,4,119,315,104,21,221,23,11,19,333,26,8,0,8,0,0,0,1208,29,1237,2469
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,561,2,71,130,72,4,62,18,1,7,182,11,6,0,1,1,0,0,566,10,576,1100
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,562,2,81,115,57,10,64,9,2,4,176,11,8,0,7,1,3,3,548,8,559,1023
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,563,2,56,96,40,5,63,9,19,4,205,11,0,2,6,0,0,0,516,9,525,996
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,564,2,84,150,42,6,103,6,4,8,211,14,4,0,2,0,0,0,634,22,656,1319
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,565,2,47,107,41,7,52,10,5,5,143,11,2,0,4,0,0,0,434,13,447,875
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,566,2,108,188,52,3,72,8,1,8,174,10,6,1,2,0,0,1,633,17,651,1232
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,567,1,73,102,37,4,34,12,2,1,93,14,5,2,1,1,0,1,381,10,392,724
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,568,2,146,174,61,5,81,20,4,12,163,19,14,2,1,0,0,3,702,20,725,1248
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,570,2,51,60,19,9,27,3,2,3,62,16,3,0,1,0,0,1,256,8,265,949
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,571,1,78,115,35,7,25,6,2,3,50,17,9,1,3,1,0,0,352,14,366,617
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,572,2,119,135,41,9,40,8,2,4,79,11,6,2,3,0,0,1,459,17,477,803
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,573,2,95,139,50,5,43,11,1,4,66,19,1,0,2,0,0,0,436,9,445,801
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,574,2,120,157,47,5,57,20,4,9,177,13,14,5,7,0,0,1,635,31,667,1374
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,575,2,95,141,59,5,56,9,4,6,153,7,12,4,1,0,0,0,552,13,565,1238
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,576,3,104,206,75,6,67,9,1,4,295,22,13,0,5,1,0,0,808,17,825,1644
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,577,3,122,207,74,7,72,19,1,14,226,18,10,2,2,0,1,1,775,22,798,1506
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,578,3,117,248,76,15,139,25,4,21,236,41,6,1,3,0,0,0,932,37,969,2013
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,579,2,56,95,40,18,49,8,0,2,90,7,0,0,4,0,0,0,369,12,381,1493
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,580,2,105,186,69,8,76,15,3,11,176,21,7,2,4,0,0,0,683,19,702,1189
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,581,3,181,231,109,5,127,32,5,10,558,19,18,0,12,1,0,0,1308,25,1333,1286
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,582,2,115,173,67,10,84,14,8,5,149,13,8,2,3,0,0,3,651,9,663,1318
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,583,2,137,208,53,8,62,18,4,6,112,17,12,4,1,0,0,1,642,14,657,1193
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,584,2,103,149,54,11,59,9,0,6,95,17,5,1,2,0,0,4,511,14,529,908
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,585,2,91,149,36,5,51,18,2,6,97,12,16,2,6,0,0,2,491,14,507,874
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,586,2,85,167,65,9,58,8,3,8,236,7,4,0,2,0,0,0,652,18,670,1144
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,587,2,91,151,66,12,79,17,3,11,218,25,8,3,2,0,0,0,686,24,710,1360
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,588,2,77,165,56,8,68,15,4,4,135,13,11,4,3,0,0,1,563,24,588,1069
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,589,2,174,181,60,5,67,12,4,9,146,23,15,2,0,0,0,0,698,24,722,1311
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,590,2,104,91,56,6,60,8,4,5,125,6,8,0,4,1,0,0,478,27,505,1355
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,591,2,91,164,65,10,57,4,6,5,167,16,11,0,8,2,0,0,606,14,620,1217
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,592,2,103,150,57,8,79,15,1,11,240,18,7,1,4,2,0,0,696,22,718,1306
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,593,5,147,308,131,23,178,37,10,11,399,25,22,4,12,0,0,3,1307,41,1351,3069
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,594,3,111,228,89,35,106,21,5,11,209,17,10,2,13,4,1,2,862,36,900,1773
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,595,2,79,103,72,3,74,5,4,9,157,15,12,0,3,1,0,0,537,25,1179,1234
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,596,3,98,187,113,6,93,12,7,7,227,18,16,0,3,0,0,2,787,21,810,1803
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,597,2,80,184,56,14,109,22,7,5,194,19,9,1,7,0,0,0,707,15,722,1469
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,598,1,76,107,37,3,43,10,3,5,93,15,9,1,3,0,0,0,405,15,420,723
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,599,2,92,131,40,1,43,12,3,12,96,14,3,0,2,1,0,0,450,8,458,800
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,600,3,154,175,92,5,77,23,6,5,224,26,12,3,4,0,0,2,806,22,830,1511
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,601,2,99,193,64,11,62,13,3,3,148,13,7,2,9,0,0,0,627,15,642,1152
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,602,2,114,161,63,15,95,19,4,9,213,19,9,0,3,0,0,1,724,17,742,1407
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,603,1,107,128,33,7,42,6,2,9,75,11,4,3,5,1,0,1,433,8,442,711
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,604,2,108,183,57,8,72,21,6,6,122,15,9,1,2,0,0,0,610,19,629,1126
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,605,2,72,161,81,10,108,17,7,5,173,17,5,0,7,0,0,0,663,20,683,1400
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,606,2,81,170,50,6,84,9,4,3,156,9,15,1,5,0,0,0,593,15,608,1128
