CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,PUP,NVA_ALIANZA,PSD,MORENA,PRS,PAN_PRD,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,2,B,192,187,13,7,33,0,1,0,49,1,13,0,1,0,0,1,497,8,506,680,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,3,B,177,159,7,1,5,2,0,0,51,0,8,0,3,0,0,1,413,8,422,538,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,3,C01,183,133,8,1,6,0,0,0,55,0,5,1,2,0,0,0,394,6,400,538,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,3,C02,191,127,6,4,11,1,0,1,46,0,9,0,8,0,0,0,404,12,416,537,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,4,B,198,104,13,13,12,1,0,1,29,0,7,0,1,0,0,0,379,15,394,533,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,4,C01,189,105,5,16,5,0,4,0,39,1,11,0,5,0,0,0,380,16,396,532,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,4,C02,212,93,5,8,13,0,3,2,41,0,4,0,6,0,0,0,387,10,397,532,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,5,B,211,152,6,24,22,0,0,0,46,0,9,0,6,0,0,0,476,6,482,652,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,5,S01,52,30,10,5,9,1,1,0,31,0,4,1,1,0,0,0,145,0,145,,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,6,B,189,138,11,3,12,2,3,0,54,0,10,0,1,0,0,0,423,6,429,579,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,6,C01,193,100,18,0,8,0,1,0,71,0,7,0,1,0,0,0,399,8,407,578,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,6,C02,225,75,26,1,10,0,1,1,68,1,12,0,3,0,0,0,423,11,434,578,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,7,B,170,83,16,1,3,0,2,0,44,0,9,0,3,0,0,0,331,9,340,461,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,7,C01,155,94,24,0,6,0,0,1,38,1,10,0,2,0,0,0,331,11,342,461,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,8,B,290,146,10,1,6,0,1,1,38,0,13,0,1,0,0,0,507,9,516,712,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,9,B,270,128,22,0,2,0,0,1,50,1,18,0,1,0,0,0,493,4,497,682,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,10,B,250,103,5,0,9,0,0,0,49,0,17,0,3,0,0,0,436,10,446,603,,,,
