MUNICIPIO,SECCION,CASILLA,TIPO,PAN,PRI,PRD-PC,PT,PVEM,VALIDOS,NULOS,TOTAL
ALTAMIRA,52,45,CONT 2,150,150,12,24,,336,2,338
ALTAMIRA,53,46,BAS,149,148,24,29,,350,11,361
ALTAMIRA,53,47,CONT,173,132,38,20,,363,7,370
ALTAMIRA,54,48,BAS,159,154,32,27,,372,5,377
ALTAMIRA,54,49,CONT 1,164,135,41,29,,369,6,375
ALTAMIRA,54,50,CONT 2,157,155,33,34,,379,6,385
ALTAMIRA,55,51,BAS,131,136,22,5,,294,9,303
ALTAMIRA,55,52,EXT,66,101,4,2,,173,4,177
ALTAMIRA,56,53,BAS,154,147,21,65,,387,7,394
ALTAMIRA,57,54,BAS,122,140,37,11,,310,10,320
ALTAMIRA,57,55,CONT,112,124,52,11,,299,11,310
ALTAMIRA,58,56,BAS,79,100,17,4,,200,5,205
ALTAMIRA,58,57,CONT,88,94,23,3,,208,9,217
ALTAMIRA,59,58,BAS,67,116,10,7,,200,5,205
ALTAMIRA,59,59,CONT,87,81,23,4,,195,10,205
ALTAMIRA,60,60,BAS,98,81,22,8,,209,8,217
ALTAMIRA,60,61,CONT,104,73,19,5,,201,15,216
ALTAMIRA,61,62,BAS,134,163,37,36,,370,7,377
ALTAMIRA,61,63,CONT,137,185,17,37,,376,13,389
ALTAMIRA,62,64,BAS,133,115,20,3,,271,16,287
ALTAMIRA,62,65,CONT 1,137,128,15,4,,284,11,295
ALTAMIRA,62,66,CONT 2,147,131,29,0,,307,7,314
ALTAMIRA,63,67,BAS,169,146,38,15,,368,11,379
ALTAMIRA,63,68,CONT,176,180,51,24,,431,12,443
ALTAMIRA,64,69,BAS,80,142,20,15,,257,6,263
ALTAMIRA,64,70,CONT 1,88,146,14,9,,257,9,266
ALTAMIRA,64,71,CONT 2,109,145,7,9,,270,10,280
ALTAMIRA,65,72,BAS,90,210,5,39,,344,18,362
ALTAMIRA,66,73,BAS,101,183,1,3,,288,7,295
ALTAMIRA,67,74,BAS,132,198,15,37,,382,16,398
ALTAMIRA,67,75,CONT,161,221,16,33,,431,4,435
ALTAMIRA,68,76,BAS,113,192,4,2,,311,9,320
ALTAMIRA,68,77,CONT,143,151,5,6,,305,13,318
ALTAMIRA,69,78,BAS,146,143,13,10,,312,4,316
ALTAMIRA,69,79,CONT 1,128,146,22,15,,311,22,333
ALTAMIRA,69,80,CONT 2,124,153,20,13,,310,4,314
ALTAMIRA,70,81,BAS,117,129,3,52,,301,11,312
ALTAMIRA,70,82,CONT 1,62,128,10,56,,256,12,268
ALTAMIRA,70,83,CONT 2,87,148,9,59,,303,8,311
ALTAMIRA,71,84,BAS,172,126,19,18,,335,11,346
ALTAMIRA,71,85,CONT 1,138,144,23,18,,323,0,323
ALTAMIRA,71,86,CONT 2,147,134,14,21,,316,7,323
ALTAMIRA,71,87,CONT 3,149,159,17,16,,341,11,352
ALTAMIRA,72,88,BAS,136,176,24,14,,350,7,357
ALTAMIRA,72,89,CONT 1,149,167,27,15,,358,4,362
ALTAMIRA,72,90,CONT 2,139,173,24,17,,353,7,360
ALTAMIRA,73,91,BAS,132,174,26,6,,338,5,343
ALTAMIRA,73,92,CONT 1,170,199,15,5,,389,9,398
ALTAMIRA,73,93,CONT 2,160,167,23,14,,364,5,369
ALTAMIRA,74,94,BAS,90,216,31,8,,345,8,353
ALTAMIRA,74,95,CONT,109,219,32,10,,370,4,374
ALTAMIRA,75,96,BAS,87,169,24,7,,287,6,293
ALTAMIRA,75,97,CONT,88,185,26,3,,302,8,310
ALTAMIRA,76,98,BAS,61,121,44,5,,231,7,238
ALTAMIRA,76,99,CONT 1,73,137,42,10,,262,2,264
ALTAMIRA,76,100,CONT 2,69,131,33,9,,242,6,248
ALTAMIRA,76,101,CONT 3,68,119,35,12,,234,13,247
ALTAMIRA,76,102,CONT 4,79,119,33,1,,232,9,241
ALTAMIRA,77,103,BAS,77,182,32,17,,308,13,321
ALTAMIRA,77,104,CONT 1,74,170,27,17,,288,15,303
ALTAMIRA,77,105,CONT2,94,155,43,33,,325,6,331
ALTAMIRA,77,106,CONT3,92,144,47,26,,309,14,323
ALTAMIRA,78,107,BAS,61,176,37,17,,291,7,298
ALTAMIRA,78,108,CONT,74,151,52,11,,288,7,295
ALTAMIRA,79,109,BAS,94,102,41,14,,251,9,260
ALTAMIRA,79,110,CONT,80,108,46,9,,243,7,250
ALTAMIRA,80,111,BAS,103,124,19,10,,256,10,266
ALTAMIRA,80,112,CONT,97,120,16,10,,243,3,246
ALTAMIRA,81,113,BAS,105,108,18,18,,249,0,249
ALTAMIRA,81,114,EXT,62,134,21,12,,229,9,238
ALTAMIRA,82,115,BAS,60,170,22,12,,264,5,269
ALTAMIRA,82,116,CONT,69,142,9,15,,235,9,244
ALTAMIRA,83,117,BAS,89,178,14,9,,290,12,302
ALTAMIRA,83,118,CONT,112,190,11,9,,322,11,333
ALTAMIRA,84,119,BAS,110,138,18,17,,283,7,290
ALTAMIRA,84,120,CONT,136,135,11,19,,301,9,310
ALTAMIRA,85,121,BAS,93,129,13,13,,248,11,259
ALTAMIRA,85,122,CONT 1,84,144,10,7,,245,6,251
ALTAMIRA,85,123,CONT 2,79,147,14,3,,243,6,249
ALTAMIRA,86,124,BAS,139,122,41,6,,308,4,312
ALTAMIRA,86,125,CONT,133,141,22,7,,303,5,308
ALTAMIRA,87,126,BAS,65,116,9,9,,199,5,204
ALTAMIRA,87,127,CONT,66,94,8,9,,177,3,180
ALTAMIRA,88,128,BAS,103,93,7,12,,215,4,219
ALTAMIRA,88,129,CONT,83,77,4,7,,171,3,174
ALTAMIRA,89,130,BAS,133,166,35,13,,347,9,356
ALTAMIRA,89,131,CONT,125,191,32,13,,361,10,371
ALTAMIRA,90,132,BAS,157,135,13,2,,307,6,313
ALTAMIRA,90,133,CONT,153,124,18,7,,302,3,305
ALTAMIRA,91,134,BAS,139,147,23,2,,311,7,318
ALTAMIRA,91,135,CONT,126,148,23,6,,303,15,318
ALTAMIRA,92,136,BAS,131,149,26,11,,317,11,328
ALTAMIRA,92,137,CONT 1,112,149,30,6,,297,11,308
ALTAMIRA,92,138,CONT 2,97,161,25,4,,287,8,295
ALTAMIRA,93,139,BAS,93,147,15,4,,259,6,265
ALTAMIRA,93,140,CONT 1,95,133,18,6,,252,4,256
ALTAMIRA,93,141,CONT 2,97,160,19,6,,282,10,292
ALTAMIRA,93,142,CONT 3,106,119,15,5,,245,5,250
ALTAMIRA,94,143,BAS,94,135,17,6,,252,6,258
ALTAMIRA,94,144,CONT,80,164,17,7,,268,8,276
ALTAMIRA,95,145,BAS,143,205,28,14,,390,5,395
ALTAMIRA,95,146,CONT,156,177,18,9,,360,7,367
ALTAMIRA,96,147,BAS,91,151,17,8,,267,4,271
ALTAMIRA,96,148,CONT,80,144,9,3,,236,6,242
ALTAMIRA,97,149,BAS,147,207,9,5,,368,5,373
ALTAMIRA,97,150,CONT,139,174,20,6,,339,6,345
ALTAMIRA,98,151,BAS,137,140,12,6,,295,13,308
ALTAMIRA,98,152,CONT,126,139,16,6,,287,11,298
ALTAMIRA,99,153,BAS,106,148,21,8,,283,2,285
ALTAMIRA,99,154,CONT,105,123,23,8,,259,9,268
ALTAMIRA,100,155,BAS,87,173,2,5,,267,7,274
,,,,,,,,,,,
ANTIGUO MORELOS,101,1,BAS,210,222,14,0,,446,4,450
ANTIGUO MORELOS,101,2,CONT,163,287,2,0,,452,4,456
ANTIGUO MORELOS,102,3,BAS,136,231,9,0,,376,7,383
ANTIGUO MORELOS,102,4,CONT,134,235,7,1,,377,13,390
ANTIGUO MORELOS,102,5,EXT,69,70,0,0,,139,0,139
ANTIGUO MORELOS,103,6,BAS,227,247,4,0,,478,7,485
ANTIGUO MORELOS,103,7,EXT,82,182,0,0,,264,2,266
ANTIGUO MORELOS,104,8,BAS,189,223,4,1,,417,13,430
ANTIGUO MORELOS,105,9,BAS,148,163,2,1,,314,10,324
ANTIGUO MORELOS,106,10,BAS,263,145,3,0,,411,14,425
ANTIGUO MORELOS,106,11,CONT,235,154,2,1,,392,11,403
ANTIGUO MORELOS,107,12,BAS,133,87,2,0,,222,4,226
,,,,,,,,,,,
BURGOS,108,1,BAS,45,302,20,28,,395,15,410
BURGOS,109,2,BAS,34,310,5,20,,369,15,384
BURGOS,110,3,BAS,41,361,14,17,,433,5,438
BURGOS,111,4,BAS,21,45,1,1,,68,4,72
BURGOS,111,5,EXT,18,47,2,0,,67,2,69
BURGOS,112,6,BAS,13,188,20,11,,232,5,237
BURGOS,113,7,BAS,4,62,4,45,,115,5,120
BURGOS,114,8,BAS,15,173,5,23,,216,5,221
BURGOS,114,9,CONT,11,192,17,23,,243,13,256
BURGOS,115,10,BAS,17,85,1,1,,104,2,106
,,,,,,,,,,,
BUSTAMANTE,116,,BAS,163,207,8,5,0,383,9,392
BUSTAMANTE,116,,EXT,4,116,1,0,0,121,3,124
BUSTAMANTE,117,,BAS,169,154,15,2,0,340,5,345
BUSTAMANTE,117,,EXT,43,64,1,0,2,110,5,115
BUSTAMANTE,118,,BAS,122,198,23,29,0,372,15,387
BUSTAMANTE,118,,EXT,115,104,1,0,2,222,14,236
BUSTAMANTE,119,,BAS,67,112,1,0,0,180,2,182
BUSTAMANTE,120,,BAS,74,110,0,0,0,184,5,189
BUSTAMANTE,121,,BAS,77,266,7,3,0,353,10,363
BUSTAMANTE,121,,EXT,39,173,19,0,0,231,9,240
BUSTAMANTE,122,,BAS,27,203,1,1,0,232,4,236
BUSTAMANTE,122,,EXT,14,108,0,0,0,122,2,124
BUSTAMANTE,123,,BAS,105,153,2,0,0,260,3,263
BUSTAMANTE,124,,BAS,131,126,2,1,1,261,0,261
BUSTAMANTE,124,,CONT,125,102,1,1,0,229,2,231
,,,,,,,,,,,
CAMARGO,125,,BAS,37,123,117,7,0,284,7,291
CAMARGO,125,,CONT1,38,107,124,0,0,269,11,280
CAMARGO,125,,CONT2,31,117,146,0,0,294,11,305
CAMARGO,126,,BAS,19,166,116,0,0,301,46,347
CAMARGO,126,,CONT,24,136,152,0,0,312,16,328
CAMARGO,127,,BAS,29,161,131,0,0,321,14,335
CAMARGO,127,,CONT,39,189,115,0,0,343,10,353
CAMARGO,128,,BAS,22,135,71,0,0,228,4,232
CAMARGO,128,,CONT,23,115,67,0,0,205,9,214
CAMARGO,129,,BAS,26,106,86,0,0,218,3,221
CAMARGO,129,,CONT,14,108,72,0,0,194,9,203
CAMARGO,130,,BAS,41,173,150,6,0,370,13,383
CAMARGO,131,,BAS,28,183,128,0,0,339,18,357
CAMARGO,131,,CONT,28,183,110,0,0,321,9,330
CAMARGO,132,,BAS,15,134,67,0,0,216,15,231
CAMARGO,132,,EXT,5,105,18,0,0,128,7,135
CAMARGO,133,,BAS,43,148,104,0,0,295,14,309
CAMARGO,134,,BAS,35,172,135,0,0,342,18,360
CAMARGO,135,,BAS,37,94,47,0,0,178,8,186
CAMARGO,136,,BAS,10,119,42,0,0,171,10,181
CAMARGO,137,,BAS,28,203,105,3,1,340,13,353
CAMARGO,138,,BAS,20,121,63,2,1,207,5,212
CAMARGO,139,,BAS,51,140,93,0,0,284,27,311
CAMARGO,140,,BAS,1,40,27,0,0,68,4,72
CAMARGO,141,,BAS,7,38,25,3,0,73,2,75
CAMARGO,142,,BAS,10,85,106,,0,201,17,218
,,,,,,,,,,,
CASAS,143,,BAS,116,165,0,11,,292,13,305
CASAS,143,,CONT,113,172,0,11,,296,5,301
CASAS,144,,BAS,43,59,0,2,,104,0,104
CASAS,144,,EXT,51,121,0,2,,174,4,178
CASAS,145,,BAS,81,108,0,4,,193,1,194
CASAS,146,,BAS,28,86,0,4,,118,2,120
CASAS,147,,BAS,52,122,0,1,,175,2,177
CASAS,147,,EXT,56,183,0,2,,241,1,242
CASAS,148,,BAS,24,219,2,0,,245,13,258
CASAS,149,,BAS,79,117,0,3,,199,0,199
CASAS,149,,EXT,23,66,0,0,,89,0,89
CASAS,150,,BAS,1,14,0,0,,15,0,15
CASAS,150,,EXT,5,54,0,0,,59,0,59
,,,,,,,,,,,
CD. MADERO,151,,BAS,54,84,83,26,,247,11,258
CD. MADERO,151,,CONT1,42,123,68,28,,261,6,267
CD. MADERO,151,,CONT2,54,81,64,15,,214,8,222
CD. MADERO,152,,BAS,55,99,82,23,,259,10,269
CD. MADERO,152,,CONT,65,80,75,24,,244,10,254
CD. MADERO,153,,BAS,38,94,105,25,,262,11,273
CD. MADERO,153,,CONT,44,66,87,26,,223,7,230
CD. MADERO,154,,BAS,40,115,98,43,,296,14,310
CD. MADERO,154,,CONT1,43,125,72,63,,303,0,303
CD. MADERO,154,,CONT2,41,79,79,53,,252,6,258
CD. MADERO,155,,BAS,30,189,91,55,,365,12,377
CD. MADERO,155,,CONT,36,163,110,40,,349,14,363
CD. MADERO,156,,BAS,41,142,127,69,,379,9,388
CD. MADERO,156,,CONT,35,179,111,62,,387,7,394
CD. MADERO,157,,BAS,34,182,61,40,,317,9,326
CD. MADERO,157,,CONT1,24,148,58,38,,268,3,271
CD. MADERO,157,,CONT2,36,168,65,36,,305,6,311
CD. MADERO,157,,CONT3,27,175,54,35,,291,12,303
CD. MADERO,158,,BAS,51,207,60,35,,353,5,358
CD. MADERO,158,,CONT,51,215,73,35,,374,7,381
CD. MADERO,159,,BAS,86,136,90,57,,369,3,372
CD. MADERO,159,,CONT1,80,126,96,72,,374,2,376
CD. MADERO,159,,CONT2,83,147,87,46,,363,8,371
CD. MADERO,159,,CONT3,77,163,101,53,,394,1,395
CD. MADERO,159,,CONT4,101,125,94,59,,379,2,381
CD. MADERO,160,,BAS,71,133,75,39,,318,6,324
CD. MADERO,160,,CONT1,63,155,93,34,,345,8,353
CD. MADERO,160,,CONT2,54,138,101,46,,339,7,346
CD. MADERO,161,,BAS,16,99,71,48,,234,3,237
CD. MADERO,161,,CONT,28,99,62,35,,224,7,231
CD. MADERO,162,,BAS,62,135,139,43,,379,11,390
CD. MADERO,162,,CONT,58,160,128,38,,384,0,384
CD. MADERO,163,,BAS,35,142,93,49,,319,11,330
CD. MADERO,164,,BAS,28,68,134,27,,257,15,272
CD. MADERO,164,,CONT,38,86,106,40,,270,10,280
CD. MADERO,165,,BAS,43,91,111,49,,294,2,296
CD. MADERO,165,,CONT1,49,99,95,45,,288,5,293
CD. MADERO,165,,CONT2,55,93,103,48,,299,8,307
CD. MADERO,165,,CONT3,56,112,98,33,,299,3,302
CD. MADERO,165,,CONT4,42,120,91,31,,284,8,292
CD. MADERO,166,,BAS,41,128,73,40,,282,6,288
CD. MADERO,166,,CONT1,46,130,57,32,,265,8,273
CD. MADERO,166,,CONT2,45,129,59,39,,272,10,282
CD. MADERO,167,,BAS,41,118,73,87,,319,8,327
CD. MADERO,167,,CONT,50,147,60,78,,335,6,341
CD. MADERO,168,,BAS,42,131,81,95,,349,8,357
CD. MADERO,168,,CONT,48,127,76,118,,369,11,380
CD. MADERO,169,,BAS,88,164,55,71,,378,5,383
CD. MADERO,169,,CONT,98,152,74,72,,396,2,398
CD. MADERO,170,,BAS,79,124,59,46,,308,1,309
CD. MADERO,170,,CONT,86,122,76,43,,327,2,329
CD. MADERO,171,,BAS,77,88,53,63,,281,5,286
CD. MADERO,171,,CONT1,78,96,44,50,,268,4,272
CD. MADERO,171,,CONT2,111,83,55,55,,304,1,305
CD. MADERO,172,,BAS,72,179,66,85,,402,3,405
CD. MADERO,172,,CONT,61,181,83,83,,408,4,412
CD. MADERO,173,,BAS,100,171,81,85,,437,5,442
CD. MADERO,173,,CONT,95,153,84,89,,421,1,422
CD. MADERO,174,,BAS,30,143,72,30,,275,6,281
CD. MADERO,175,,BAS,46,159,79,32,,316,12,328
CD. MADERO,175,,CONT,29,102,102,47,,280,10,290
CD. MADERO,176,,BAS,17,63,20,10,,110,1,111
CD. MADERO,177,,BAS,44,125,77,32,,278,12,290
CD. MADERO,177,,CONT1,37,116,70,18,,241,11,252
CD. MADERO,177,,CONT2,50,128,57,25,,260,18,278
CD. MADERO,178,,BAS,60,123,89,50,,322,16,338
CD. MADERO,178,,CONT,49,115,118,42,,324,8,332
CD. MADERO,179,,BAS,87,177,69,83,,416,4,420
