id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,id_casilla,tipo_casilla,descripcion,ext_contigua,cabecera,clave_circunscripcion,id_municipio,nombre_municipio,lista_nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,descripcion,seccion,Nulos,No Registrados,PAN-PRD-PT-PC,PRI-PVEM-PANAL,Total
25,4/7/2010,12,Ayuntamientos,25,3,1,B,Basica,0,LOS MOCHIS,,1,AHOME,513,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,10,1,0,219,53,273
25,4/7/2010,12,Ayuntamientos,25,3,1,B,Basica,0,LOS MOCHIS,,1,AHOME,529,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,11,6,2,206,38,252
25,4/7/2010,12,Ayuntamientos,25,3,1,B,Basica,0,LOS MOCHIS,,1,AHOME,330,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,12,1,0,152,37,190
25,4/7/2010,12,Ayuntamientos,25,3,1,B,Basica,0,LOS MOCHIS,,1,AHOME,440,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,13,0,0,211,47,258
25,4/7/2010,12,Ayuntamientos,25,3,1,B,Basica,0,LOS MOCHIS,,1,AHOME,703,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,14,9,0,334,82,425
25,4/7/2010,12,Ayuntamientos,25,3,1,B,Basica,0,LOS MOCHIS,,1,AHOME,375,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,15,3,0,161,41,205
25,4/7/2010,12,Ayuntamientos,25,3,1,B,Basica,0,LOS MOCHIS,,1,AHOME,369,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,16,3,0,172,27,202
25,4/7/2010,12,Ayuntamientos,25,4,1,B,Basica,0,LOS MOCHIS,,1,AHOME,488,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,212,4,0,198,58,260
25,4/7/2010,12,Ayuntamientos,25,4,1,B,Basica,0,LOS MOCHIS,,1,AHOME,631,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,213,4,0,305,97,406
25,4/7/2010,12,Ayuntamientos,25,4,1,B,Basica,0,LOS MOCHIS,,1,AHOME,456,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,214,4,0,243,54,301
25,4/7/2010,12,Ayuntamientos,25,4,1,B,Basica,0,LOS MOCHIS,,1,AHOME,474,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,215,6,2,264,69,341
25,4/7/2010,12,Ayuntamientos,25,4,1,B,Basica,0,LOS MOCHIS,,1,AHOME,489,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,216,2,0,205,64,271
25,4/7/2010,12,Ayuntamientos,25,4,1,B,Basica,0,LOS MOCHIS,,1,AHOME,490,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,217,4,0,203,60,267
25,4/7/2010,12,Ayuntamientos,25,4,1,B,Basica,0,LOS MOCHIS,,1,AHOME,601,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,218,3,0,251,56,310
25,4/7/2010,12,Ayuntamientos,25,4,1,B,Basica,0,LOS MOCHIS,,1,AHOME,727,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,219,5,0,378,88,471
25,4/7/2010,12,Ayuntamientos,25,4,1,B,Basica,0,LOS MOCHIS,,1,AHOME,684,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,220,4,1,339,99,443
25,4/7/2010,12,Ayuntamientos,25,4,1,B,Basica,0,LOS MOCHIS,,1,AHOME,444,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,221,4,0,184,69,257
25,4/7/2010,12,Ayuntamientos,25,4,1,B,Basica,0,LOS MOCHIS,,1,AHOME,465,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,222,5,0,213,50,268
25,4/7/2010,12,Ayuntamientos,25,4,1,B,Basica,0,LOS MOCHIS,,1,AHOME,529,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,223,0,0,221,90,311
25,4/7/2010,12,Ayuntamientos,25,4,1,B,Basica,0,LOS MOCHIS,,1,AHOME,625,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,224,2,0,239,74,315
25,4/7/2010,12,Ayuntamientos,25,4,1,B,Basica,0,LOS MOCHIS,,1,AHOME,223,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,225,4,0,109,20,133
25,4/7/2010,12,Ayuntamientos,25,4,1,B,Basica,0,LOS MOCHIS,,1,AHOME,694,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,226,2,0,316,127,445
25,4/7/2010,12,Ayuntamientos,25,4,1,C,Contigua,0,LOS MOCHIS,,1,AHOME,695,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,226,6,0,288,145,439
25,4/7/2010,12,Ayuntamientos,25,4,1,B,Basica,0,LOS MOCHIS,,1,AHOME,373,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,227,2,0,131,63,196
25,4/7/2010,12,Ayuntamientos,25,4,1,B,Basica,0,LOS MOCHIS,,1,AHOME,306,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,228,3,0,152,36,191
25,4/7/2010,12,Ayuntamientos,25,3,1,B,Basica,0,LOS MOCHIS,,1,AHOME,191,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,445,3,0,100,36,139
25,4/7/2010,12,Ayuntamientos,25,3,1,B,Basica,0,LOS MOCHIS,,1,AHOME,460,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,446,5,0,192,128,325
25,4/7/2010,12,Ayuntamientos,25,3,1,B,Basica,0,LOS MOCHIS,,1,AHOME,278,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,447,2,2,105,84,193
25,4/7/2010,12,Ayuntamientos,25,3,1,B,Basica,0,LOS MOCHIS,,1,AHOME,503,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,448,5,1,234,122,362
