Anulada,Distrito,Municipio,SECCION,CASILLA,PAN,PRI-PANAL,PRD,PT,PVEM,PC,PAS,NO REGISTRADOS,NULOS,PRI-PANAL-PRD,PRD-PT-PC,PRD-PT,PRI-PANAL-PC,PT-PAS
0,1,CHOIX,1726,1726B,84,104,5,,,,,0,5,9,,,,
0,1,CHOIX,1726,1726C1,100,88,6,,,,,0,6,2,,,,
0,1,CHOIX,1727,1727B,64,153,9,,,,,2,5,7,,,,
0,1,CHOIX,1727,1727C1,69,117,17,,,,,1,4,3,,,,
0,1,CHOIX,1728,1728B,111,112,8,,,,,0,1,1,,,,
0,1,CHOIX,1729,1729B,182,211,17,,,,,0,3,5,,,,
0,1,CHOIX,1730,1730B,150,189,12,,,,,0,0,9,,,,
0,1,CHOIX,1731,1731B,89,111,7,,,,,1,0,3,,,,
0,1,CHOIX,1732,1732B,37,41,8,,,,,0,1,0,,,,
0,1,CHOIX,1733,1733B,150,153,7,,,,,1,5,9,,,,
0,1,CHOIX,1733,1733C1,139,166,13,,,,,0,2,8,,,,
0,1,CHOIX,1734,1734B,82,105,2,,,,,0,0,6,,,,
0,1,CHOIX,1735,1735B,116,131,2,,,,,0,5,4,,,,
0,1,CHOIX,1735,1735C1,119,113,3,,,,,0,7,2,,,,
0,1,CHOIX,1736,1736B,45,29,2,,,,,0,1,1,,,,
0,1,CHOIX,1737,1737B,14,19,5,,,,,0,0,0,,,,
0,1,CHOIX,1739,1739B,8,25,2,,,,,0,0,2,,,,
0,1,CHOIX,1740,1740B,65,40,1,,,,,0,3,0,,,,
0,1,CHOIX,1741,1741B,47,43,1,,,,,0,0,0,,,,
0,1,CHOIX,1742,1742B,41,47,14,,,,,0,1,1,,,,
0,1,CHOIX,1743,1743B,72,31,31,,,,,0,3,0,,,,
0,1,CHOIX,1744,1744B,63,59,0,,,,,0,0,1,,,,
0,1,CHOIX,1745,1745B,180,134,3,,,,,0,6,1,,,,
0,1,CHOIX,1746,1746B,102,110,0,,,,,0,3,0,,,,
0,1,CHOIX,1747,1747B,57,22,0,,,,,0,1,0,,,,
0,1,CHOIX,1748,1748B,41,36,2,,,,,0,1,0,,,,
