CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM,CAND_IND2,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,1,1,116,142,11,9,5,12,35,43,11,10,2,,,396,10,406,576
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,2,1,109,107,17,9,1,6,13,46,4,19,4,,,335,16,351,648
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,3,1,190,146,11,13,1,3,13,45,3,8,1,,,434,19,453,667
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,15,1739,1260,127,73,38,53,213,356,42,97,175,,,4173,156,4329,9425
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,5,2,255,192,23,17,7,31,16,92,5,21,6,,,665,22,687,1056
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,6,2,226,159,12,8,9,14,23,66,8,13,7,,,545,16,561,961
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,7,2,95,232,34,17,9,25,83,64,11,17,9,,,596,29,625,935
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,8,1,170,143,16,11,8,9,25,35,10,9,7,,,443,12,455,737
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,9,6,932,657,60,47,29,50,126,280,57,85,12,,,2335,59,2394,4280
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,10,2,118,165,40,13,4,7,56,64,4,10,9,,,490,21,511,966
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,11,2,106,252,28,12,10,7,56,51,3,7,7,,,539,31,570,908
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,12,2,157,356,46,27,9,19,109,109,20,17,11,,,880,53,933,1455
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,13,2,216,170,46,13,9,7,65,58,4,13,13,,,614,24,638,1156
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,14,2,115,205,33,10,10,10,33,63,8,8,5,,,500,23,523,1008
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,15,2,290,187,13,6,3,11,31,61,6,11,7,,,626,23,649,1140
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,16,2,224,159,15,4,4,10,110,47,6,10,12,,,601,22,623,1098
3,4,CAMPECHE,7,TENABO,1,CAMPECHE,17,6,437,572,70,49,28,111,244,283,35,63,23,,,1915,84,1999,4422
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,18,1,137,140,16,6,8,5,28,32,2,12,7,,,393,15,408,636
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,19,2,264,148,14,10,7,4,26,42,4,6,9,,,534,21,555,1050
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,20,2,202,254,19,13,8,6,18,38,7,14,15,,,594,20,614,1084
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,21,2,146,331,75,16,12,6,42,87,7,21,10,,,753,26,779,1442
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,22,2,94,238,41,6,5,13,36,78,11,11,5,,,538,16,554,933
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,23,2,123,196,40,13,3,7,51,45,5,11,3,,,497,32,529,848
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,24,2,145,265,43,9,6,30,43,72,9,6,10,,,638,26,664,1071
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,25,1,70,173,14,12,6,5,36,41,2,8,6,,,373,9,382,580
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,26,2,115,283,43,24,8,13,68,92,18,37,13,,,714,31,745,1092
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,27,2,108,290,22,14,13,13,44,126,13,66,8,,,717,19,736,1141
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,28,1,37,197,9,5,4,7,11,41,5,13,6,,,335,15,350,570
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,29,2,74,233,26,17,3,10,23,118,7,30,13,,,554,27,581,855
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,30,2,76,236,18,21,4,6,26,68,5,22,12,,,494,33,527,760
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,31,1,90,185,33,16,4,8,23,55,7,16,9,,,446,12,458,708
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,32,2,78,154,64,14,4,8,59,54,3,12,6,,,456,22,478,774
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,33,2,88,155,88,10,9,7,28,52,6,8,4,,,455,27,482,886
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,34,2,149,216,65,17,22,9,45,65,11,14,19,,,632,33,665,1273
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,35,2,199,167,18,9,3,10,24,45,11,9,3,,,498,19,517,921
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,36,2,259,218,25,14,8,6,16,39,10,8,4,,,607,21,628,1153
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,37,2,181,161,24,11,2,5,17,43,6,11,5,,,466,7,473,852
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,38,2,137,144,8,15,9,9,24,67,6,18,1,,,438,20,458,754
3,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,39,3,229,380,108,33,35,17,77,108,16,30,15,,,1048,45,1093,1986
3,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,40,2,60,165,59,9,11,5,18,38,11,17,7,,,400,18,418,774
3,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,41,2,68,71,61,10,9,7,28,49,11,25,73,,,412,25,437,780
3,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,42,2,121,208,95,17,14,10,33,104,19,29,7,,,657,28,685,1114
