ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,CAND_IND2,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,29,54,3126,6747,1258,549,232,316,1360,2177,249,500,,,16514,727,17241,27500,0.6269
4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,17,46,5630,4523,429,413,150,244,758,1377,198,361,,,14083,478,14561,27038,0.5385
4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,16,47,2224,5426,1151,486,301,275,928,1887,269,676,,,13623,611,14234,26658,0.5339
4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,21,50,3042,6006,659,890,227,292,1233,2273,358,471,,,15451,691,16142,27313,0.591
4,CAMPECHE,5,SAN FRANCISCO DE CAMPECHE,24,52,3165,5800,753,492,494,291,2655,2079,319,466,,,16514,741,17255,28441,0.6067
4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,26,59,3930,7826,886,463,339,255,934,1899,279,708,,,17519,731,18250,32114,0.5683
4,CAMPECHE,7,TENABO,20,55,6041,8033,520,744,194,434,1366,1645,259,588,,,19824,661,20485,32371,0.6328
4,CAMPECHE,8,CIUDAD DEL CARMEN,23,53,5816,3262,1525,293,359,136,258,1421,194,229,,,13493,443,13936,29740,0.4686
4,CAMPECHE,9,CIUDAD DEL CARMEN,22,50,5833,4239,852,277,187,214,274,1673,186,243,,,13978,483,14461,29653,0.4877
4,CAMPECHE,10,CIUDAD DEL CARMEN,14,40,5506,3018,319,223,340,170,231,1478,169,243,,,11697,338,12035,25850,0.4656
4,CAMPECHE,11,CIUDAD DEL CARMEN,5,34,3729,3452,318,292,124,120,239,1070,135,160,105,,9744,303,10047,24406,0.4117
4,CAMPECHE,12,SABANCUY,48,64,7794,6204,400,398,150,179,310,1753,230,220,,,17638,498,18136,35294,0.5138
4,CAMPECHE,13,ESCÁRCEGA,28,56,5814,5853,921,651,254,762,439,1843,175,111,,,16823,572,17395,29293,0.5938
4,CAMPECHE,14,CANDELARIA,30,56,11674,5998,131,169,134,234,126,273,33,76,,,18848,457,19305,28778,0.6708
4,CAMPECHE,15,CHAMPOTÓN,25,52,3971,9655,767,543,440,290,391,1713,169,103,,,18042,717,18759,29162,0.6433
4,CAMPECHE,16,SEYBAPLAYA,31,60,4384,8573,1419,441,573,414,1504,2488,91,175,,,20062,871,20933,31175,0.6715
4,CAMPECHE,17,CALKINÍ,24,56,1481,6417,251,391,195,573,3479,7656,168,388,,,20999,532,21531,28697,0.7503
4,CAMPECHE,18,HOPELCHÉN,33,50,6805,8403,144,323,276,173,1347,601,63,29,,,18164,455,18619,25054,0.7431
4,CAMPECHE,19,HECELCHAKÁN,30,56,6380,7073,299,936,91,178,2008,2858,172,3998,,,23993,799,24792,30297,0.8183
4,CAMPECHE,20,PALIZADA,33,57,9102,7582,261,950,82,107,299,1690,62,45,,,20180,657,20837,29574,0.7046
4,CAMPECHE,21,XPUJIL,26,52,6797,7450,778,378,187,238,507,498,40,48,,,16921,586,17507,25202,0.6947
