ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRD,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM,CAND_IND2,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,29,54,3126,1258,232,316,1360,2177,249,500,7296,,,16514,727,17241,27500,0.6269
4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,17,46,5630,429,150,244,758,1377,198,361,4936,,,14083,478,14561,27038,0.5385
4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,16,47,2224,1151,301,275,928,1887,269,676,5912,,,13623,611,14234,26658,0.5339
4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,21,50,3042,659,227,292,1233,2273,358,471,6896,,,15451,691,16142,27313,0.591
4,CAMPECHE,5,SAN FRANCISCO DE CAMPECHE,24,52,3165,753,494,291,2655,2079,319,466,6292,,,16514,741,17255,28441,0.6067
4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,26,59,3930,886,339,255,934,1899,279,708,8289,,,17519,731,18250,32114,0.5683
4,CAMPECHE,7,TENABO,20,55,6041,520,194,434,1366,1645,259,588,8777,,,19824,661,20485,32371,0.6328
4,CAMPECHE,8,CIUDAD DEL CARMEN,23,53,5816,1525,359,136,258,1421,194,229,3555,,,13493,443,13936,29740,0.4686
4,CAMPECHE,9,CIUDAD DEL CARMEN,22,50,5833,852,187,214,274,1673,186,243,4516,,,13978,483,14461,29653,0.4877
4,CAMPECHE,10,CIUDAD DEL CARMEN,14,40,5506,319,340,170,231,1478,169,243,3241,,,11697,338,12035,25850,0.4656
4,CAMPECHE,11,CIUDAD DEL CARMEN,5,34,3729,318,124,120,239,1070,135,160,3744,105,,9744,303,10047,24406,0.4117
4,CAMPECHE,12,SABANCUY,48,64,7794,400,150,179,310,1753,230,220,6602,,,17638,498,18136,35294,0.5138
4,CAMPECHE,13,ESCÁRCEGA,28,56,5814,921,254,762,439,1843,175,111,6504,,,16823,572,17395,29293,0.5938
4,CAMPECHE,14,CANDELARIA,30,56,11674,131,134,234,126,273,33,76,6167,,,18848,457,19305,28778,0.6708
4,CAMPECHE,15,CHAMPOTÓN,25,52,3971,767,440,290,391,1713,169,103,10198,,,18042,717,18759,29162,0.6433
4,CAMPECHE,16,SEYBAPLAYA,31,60,4384,1419,573,414,1504,2488,91,175,9014,,,20062,871,20933,31175,0.6715
4,CAMPECHE,17,CALKINÍ,24,56,1481,251,195,573,3479,7656,168,388,6808,,,20999,532,21531,28697,0.7503
4,CAMPECHE,18,HOPELCHÉN,33,50,6805,144,276,173,1347,601,63,29,8726,,,18164,455,18619,25054,0.7431
4,CAMPECHE,19,HECELCHAKÁN,30,56,6380,299,91,178,2008,2858,172,3998,8009,,,23993,799,24792,30297,0.8183
4,CAMPECHE,20,PALIZADA,33,57,9102,261,82,107,299,1690,62,45,8532,,,20180,657,20837,29574,0.7046
4,CAMPECHE,21,XPUJIL,26,52,6797,778,187,238,507,498,40,48,7828,,,16921,586,17507,25202,0.6947
