CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,PAN_PRD,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,1,10,323,561,228,728,43,55,36,369,699,79,22,84,4,0,34,,,17,3265,133,3415,7345
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,4,3,155,205,70,159,14,31,10,104,122,30,4,12,0,0,20,,,0,936,37,973,2141
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,5,6,272,286,114,282,34,56,11,253,277,53,2,19,1,0,51,,,5,1711,63,1779,3956
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,6,2,55,58,20,82,5,8,3,35,48,10,0,7,0,0,6,,,3,337,11,351,873
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,7,3,92,148,72,137,13,9,8,95,112,11,1,22,0,0,13,,,3,733,39,775,1606
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,8,2,50,72,26,182,5,6,3,33,75,1,3,11,0,0,5,,,0,472,17,489,905
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,9,2,34,73,20,114,6,11,4,35,57,2,2,14,0,1,3,,,12,376,8,396,810
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,10,1,25,55,19,154,8,5,5,28,49,3,3,10,0,0,3,,,0,367,7,374,719
1,23,QUINTANA ROO,2,CANCÚN,1,BENITO JUÁREZ,13,3,92,212,72,163,52,20,7,129,224,20,7,18,0,0,17,,,1,1033,46,1080,2141
1,23,QUINTANA ROO,2,CANCÚN,1,BENITO JUÁREZ,14,5,201,264,99,156,45,31,21,267,326,31,3,23,3,0,44,,,3,1514,65,1582,3593
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,15,4,155,205,72,163,25,21,18,196,315,30,7,15,0,1,22,,,3,1245,44,1292,2754
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,16,11,527,518,231,496,68,68,51,506,650,74,22,58,1,0,70,,,4,3340,139,3483,7503
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,18,3,67,119,40,292,9,16,9,83,111,19,5,51,0,0,5,,,6,826,28,860,1556
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,19,3,90,120,52,246,16,15,12,77,154,15,14,23,0,3,7,,,0,844,18,862,1562
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,20,2,101,91,29,118,7,16,12,72,127,11,2,14,0,0,10,,,1,610,26,637,1220
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,21,2,92,98,23,72,13,13,8,66,79,12,1,14,0,1,14,,,1,506,20,527,1067
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,22,2,78,73,29,90,14,10,5,67,84,8,2,14,0,0,10,,,1,484,12,497,1038
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,23,2,58,62,15,74,7,8,3,69,84,9,8,0,0,0,12,,,0,409,12,421,811
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,24,2,72,126,34,86,8,15,9,95,100,11,3,10,0,0,16,,,0,585,18,603,1128
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,25,1,49,49,19,64,6,9,3,41,70,4,1,13,0,0,6,,,1,334,15,350,718
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,26,1,40,72,14,87,8,5,5,46,69,7,2,12,0,0,13,,,0,380,10,390,714
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,27,2,38,81,27,111,11,9,5,59,95,14,3,19,0,0,7,,,0,479,22,501,1024
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,28,2,64,107,37,151,10,9,5,52,86,14,10,27,0,0,9,,,0,581,22,603,1200
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,29,2,54,64,41,125,4,15,6,35,79,15,0,16,0,0,7,,,0,461,12,473,905
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,30,1,41,47,19,116,4,0,4,24,47,8,2,6,0,0,5,,,0,323,11,334,644
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,31,2,43,67,20,120,7,5,4,39,56,9,10,6,0,0,11,,,1,397,6,404,753
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,32,2,45,70,23,208,10,5,5,56,60,7,0,12,0,0,4,,,0,505,11,516,1077
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,33,1,26,47,13,95,2,6,5,33,43,6,0,13,0,1,1,,,0,291,17,308,670
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,34,2,47,64,21,175,4,3,3,32,50,14,7,20,0,0,3,,,2,443,11,456,846
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,35,2,53,60,27,131,8,5,2,50,65,11,4,17,0,0,5,,,0,438,16,454,973
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,36,2,54,124,35,143,4,6,6,47,78,15,1,12,1,0,8,,,0,534,22,556,1150
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,37,2,43,68,21,108,7,4,3,26,56,2,0,13,0,0,5,,,0,356,6,362,828
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,38,2,33,50,17,120,9,7,3,40,67,8,0,9,0,0,5,,,0,368,27,395,884
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,39,1,20,47,14,82,4,7,2,27,40,7,3,7,0,1,1,,,0,262,13,275,632
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,40,2,36,68,32,143,6,5,7,49,51,7,2,16,0,2,9,,,0,433,18,451,1152
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,41,1,11,30,15,72,2,3,1,29,41,6,1,7,0,0,0,,,0,218,8,226,628
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,42,1,36,41,19,84,7,2,4,39,65,9,4,16,0,0,13,,,0,339,17,356,708
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,43,2,58,86,32,74,5,6,5,45,94,11,2,21,1,0,6,,,0,446,14,460,860
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,44,2,59,89,28,108,10,11,12,60,116,9,12,11,1,1,9,,,0,536,15,551,1260
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,45,2,103,158,34,139,9,13,8,104,75,17,4,15,1,1,9,,,4,690,24,718,1344
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,46,3,74,137,20,309,9,22,7,67,112,16,6,56,0,2,18,,,1,855,37,893,1510
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,47,2,71,132,40,157,11,11,12,81,137,6,0,0,0,0,11,,,0,669,40,709,1362
1,23,QUINTANA ROO,2,CANCÚN,1,BENITO JUÁREZ,48,2,82,124,38,107,9,15,11,117,153,10,1,19,0,0,9,,,0,695,29,724,1480
1,23,QUINTANA ROO,2,CANCÚN,1,BENITO JUÁREZ,49,3,85,121,39,142,13,13,11,145,127,16,3,12,0,0,14,,,0,741,36,777,1525
1,23,QUINTANA ROO,2,CANCÚN,1,BENITO JUÁREZ,50,3,128,168,54,201,14,12,25,230,228,19,2,20,0,1,7,,,0,1109,25,1134,2144
1,23,QUINTANA ROO,2,CANCÚN,1,BENITO JUÁREZ,51,2,76,117,37,133,8,7,10,72,182,6,7,11,0,0,10,,,0,676,20,696,1226
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,52,2,70,86,48,194,11,17,5,81,174,8,2,19,0,1,13,,,1,729,37,767,1414
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,53,4,159,240,89,254,24,19,13,155,280,26,2,29,0,0,18,,,0,1308,48,1356,2650
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,54,4,165,189,96,160,21,31,24,161,273,29,4,31,0,2,18,,,1,1204,49,1254,2579
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,55,2,81,103,23,217,9,13,7,66,83,17,3,55,0,1,14,,,0,692,26,718,1271
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,56,2,51,76,25,214,7,7,8,51,87,10,1,37,0,0,5,,,0,579,19,598,1072
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,57,3,142,136,45,77,16,17,10,99,127,20,0,21,0,1,22,,,4,733,16,753,1556
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,58,1,79,54,33,38,2,12,7,85,38,4,2,5,0,0,14,,,1,373,14,388,714
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,59,2,90,78,33,45,6,33,5,94,68,20,1,7,0,0,24,,,1,504,20,525,1144
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,60,3,86,131,52,128,13,26,7,101,153,19,3,16,2,0,5,,,9,742,23,774,1577
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,61,2,74,57,39,125,16,7,2,73,100,16,0,18,0,0,12,,,0,539,23,562,974
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,62,2,65,79,28,97,7,12,10,74,101,9,12,5,0,0,11,,,0,510,19,529,1012
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,63,2,52,77,13,85,8,3,7,49,61,4,0,11,0,0,8,,,1,378,16,395,821
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,64,2,41,85,24,103,6,4,9,49,93,16,0,16,1,0,8,,,0,455,11,466,929
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,65,2,40,67,33,98,6,9,2,50,92,16,0,12,0,0,11,,,3,436,15,454,1092
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,66,1,28,49,25,81,7,3,3,29,56,5,5,8,0,0,5,,,0,304,10,314,737
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,67,2,27,55,13,66,3,5,3,26,50,2,1,3,0,0,1,,,0,255,23,278,759
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,68,2,31,67,17,83,10,4,8,37,48,10,3,9,0,0,5,,,0,332,13,345,936
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,69,1,23,35,17,57,6,4,4,28,45,6,2,5,0,0,2,,,0,234,14,248,578
