ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
23,QUINTANA ROO,1,BENITO JUÁREZ,448,905,41122,40018,16222,53092,4270,5682,3594,28917,39408,4908,,,463,237233,8479,246175,520173,0.4733
23,QUINTANA ROO,2,COZUMEL,22,97,21139,13405,1545,1028,140,193,234,943,289,,,,11,38916,797,39724,63872,0.6219
23,QUINTANA ROO,3,FELIPE CARRILLO PUERTO,35,87,4213,13480,6938,952,437,232,671,2216,3367,,,,4,32506,1502,34012,48700,0.6984
23,QUINTANA ROO,4,ISLA MUJERES,10,25,4239,4374,341,434,71,61,127,583,118,,,,0,10348,189,10537,16921,0.6227
23,QUINTANA ROO,5,JOSÉ MARÍA MORELOS,22,43,772,6938,2169,480,139,107,289,169,3772,,,3625,4,18460,764,19228,24212,0.7942
23,QUINTANA ROO,6,LÁZARO CÁRDENAS,14,35,4966,5412,739,442,244,129,567,457,1097,,,,3,14053,393,14449,18720,0.7718
23,QUINTANA ROO,7,OTHÓN P. BLANCO,160,293,50521,24825,9936,1885,1595,1107,1310,8368,1619,,,,46,101166,2678,103890,160940,0.6455
23,QUINTANA ROO,8,SOLIDARIDAD,157,288,17457,15007,8195,1884,808,1579,1149,14505,2567,,,,82,63151,2025,65258,163475,0.3992
23,QUINTANA ROO,9,TULUM,41,55,2833,6490,3207,564,175,223,244,1007,260,,,,6,15003,444,15453,24902,0.6206
23,QUINTANA ROO,10,BACALAR,25,51,1544,5014,1522,570,4993,235,1679,1204,129,,,,6,16890,829,17725,27319,0.6488
23,QUINTANA ROO,11,PUERTO MORELOS,4,21,1981,1978,652,1094,333,693,66,1120,76,,478,,4,8471,276,8751,14063,0.6223
