CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,PAN_PRD,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
1,23,QUINTANA ROO,1,KANTUNILKIN,4,ISLA MUJERES,252,B,109,172,1,7,0,0,1,7,1,13,1,3,0,0,,,,0,315,5,320,483,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A0117-A0118.JPG
1,23,QUINTANA ROO,1,KANTUNILKIN,4,ISLA MUJERES,252,C01,115,128,3,8,1,2,4,12,4,10,0,2,0,0,,,,0,289,9,298,482,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A0119-A0120.JPG
1,23,QUINTANA ROO,1,KANTUNILKIN,4,ISLA MUJERES,253,B,102,111,4,13,2,0,0,15,2,9,0,0,0,0,,,,0,258,4,262,414,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A0121-A0122.JPG
1,23,QUINTANA ROO,1,KANTUNILKIN,4,ISLA MUJERES,253,C01,94,96,6,9,1,2,6,15,1,15,2,5,0,0,,,,0,252,1,253,413,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A0123-A0124.JPG
1,23,QUINTANA ROO,13,BACALAR,7,OTHÓN P. BLANCO,414,B,71,130,20,6,28,0,2,14,3,18,1,1,0,0,,,,0,294,15,309,517,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A3219-A3220.JPG
1,23,QUINTANA ROO,1,KANTUNILKIN,4,ISLA MUJERES,254,B,155,238,2,17,2,1,4,22,0,13,1,14,0,0,,,,0,469,6,475,726,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A0125-A0126.JPG
1,23,QUINTANA ROO,13,BACALAR,7,OTHÓN P. BLANCO,414,C01,63,159,27,5,22,2,0,22,1,23,1,0,0,0,,,,0,325,9,334,516,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A3221-A3222.JPG
1,23,QUINTANA ROO,13,BACALAR,7,OTHÓN P. BLANCO,415,B,90,131,53,11,9,1,3,95,6,21,5,5,0,0,,,,7,430,17,454,672,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A3223-A3224.JPG
1,23,QUINTANA ROO,13,BACALAR,7,OTHÓN P. BLANCO,415,C01,74,146,37,19,12,2,5,70,4,25,4,11,1,1,,,,0,411,20,431,672,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A3225-A3226.JPG
1,23,QUINTANA ROO,1,KANTUNILKIN,4,ISLA MUJERES,255,B,176,185,3,12,1,3,7,27,5,7,1,3,0,0,,,,0,430,7,437,631,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A0127-A0128.JPG
1,23,QUINTANA ROO,13,BACALAR,7,OTHÓN P. BLANCO,415,E01,89,85,22,2,3,0,8,19,0,5,1,2,0,0,,,,0,236,12,248,422,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A3227-A3228.JPG
1,23,QUINTANA ROO,12,FELIPE CARRILLO PUERTO,5,JOSÉ MARÍA MORELOS,263,B,15,196,65,2,2,1,0,5,170,4,1,2,0,0,,,57,0,520,8,528,674,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A3031-A3032.JPG
