ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,PUP,NVA_ALIANZA,PSD,MORENA,ES,PRS,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND31,CAND_IND32,CAND_IND33,CAND_IND34,CAND_IND35,CAND_IND36,CAND_IND37,CAND_IND38,CAND_IND39,CAND_IND40,CAND_IND41,CAND_IND42,CAND_IND43,CAND_IND44,CAND_IND45,CAND_IND46,CAND_IND47,PLANILLA_UNICA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
20,OAXACA,2,ACATLAN DE PEREZ FIGUEROA,33,61,13413,7534,692,357,298,112,,82,43,732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,23263,452,23719,31260,0.7588
20,OAXACA,24,COSOLAPA,10,17,761,3359,72,283,40,2027,,23,36,80,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6719,255,6974,9550,0.7303
20,OAXACA,167,SAN JOSE INDEPENDENCIA,3,6,91,1371,1148,10,2,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2626,19,2645,3388,0.7807
20,OAXACA,170,SAN JOSE TENANGO,16,25,16,1330,80,30,2495,2312,,,66,41,,2048,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8662,271,8933,11439,0.7809
20,OAXACA,276,SAN MIGUEL SOYALTEPEC,24,52,4658,11948,2640,95,417,49,282,44,,545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20678,310,20988,26089,0.8045
20,OAXACA,307,SAN PEDRO IXCATLAN,9,14,215,1798,57,18,68,1470,,60,,2229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5915,201,6116,7409,0.8255
20,OAXACA,182,SAN JUAN BAUTISTA TUXTEPEC,74,195,6157,11956,6501,940,16112,2776,325,1319,319,10570,,301,,4519,342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,62137,1658,63823,112363,0.5680
20,OAXACA,11,AYOTZINTEPEC,3,10,123,1905,1332,28,12,3,69,,,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3708,92,3800,4787,0.7938
20,OAXACA,44,LOMA BONITA,32,59,0,3186,6037,273,759,5719,100,247,,2206,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,18604,576,19181,28556,0.6717
20,OAXACA,131,SAN FELIPE JALAPA DE DIAZ,11,33,30,6449,1599,70,89,51,249,75,79,6871,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15608,155,15763,18292,0.8617
