CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,PUP,NVA_ALIANZA,PSD,MORENA,ES,PRS,PAN_PRD,PRI_PVEM,C_COMUN_NVA_ALIANZA_PSD,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND31,CAND_IND32,CAND_IND33,CAND_IND34,CAND_IND35,CAND_IND36,CAND_IND37,CAND_IND38,CAND_IND39,CAND_IND40,CAND_IND41,CAND_IND42,CAND_IND43,CAND_IND44,CAND_IND45,CAND_IND46,CAND_IND47,PLANILLA_UNICA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,2,1,251,189,8,13,5,0,,2,0,15,,,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,496,9,506,680
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,3,3,699,420,16,9,5,2,,1,0,41,,,18,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1220,17,1238,1613
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,4,3,671,333,17,28,14,2,,4,4,40,,,23,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1145,41,1187,1597
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,5,2,301,156,9,30,6,2,,2,0,12,,,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,533,7,540,652
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,6,3,720,338,44,2,22,5,,4,3,72,,,33,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1247,23,1270,1735
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,7,2,363,182,28,1,7,23,,2,2,23,,,22,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,658,24,682,922
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,8,1,315,155,6,0,0,1,,3,1,10,,,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,504,12,516,712
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,9,1,310,133,16,0,2,0,,2,0,12,,,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,494,3,497,682
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,10,2,538,193,8,6,4,2,,0,0,19,,,23,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,797,7,804,1206
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,11,3,692,235,26,5,6,7,,4,2,21,,,27,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1030,13,1043,1502
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,12,3,723,314,15,11,5,5,,3,0,29,,,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1115,22,1137,1616
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,13,1,293,151,3,2,3,0,,2,1,5,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,465,11,476,613
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,14,2,301,256,3,10,3,6,,6,0,10,,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,603,13,616,774
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,15,2,381,170,7,5,4,3,,2,0,12,,,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,599,14,613,765
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,16,1,148,73,5,0,1,12,,1,0,8,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,251,5,256,332
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,17,2,522,255,10,4,7,3,,4,0,18,,,21,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,847,15,863,1169
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,18,1,280,120,1,3,1,0,,0,0,3,,,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,419,5,424,422
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,19,1,280,120,1,3,1,0,,0,0,3,,,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,419,5,424,563
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,20,1,328,167,12,3,18,6,,0,0,11,,,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,562,11,573,674
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,21,2,296,267,50,3,85,6,,5,4,119,,,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,845,27,872,1145
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,22,1,297,75,14,4,4,1,,2,1,2,,,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,419,9,428,515
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,23,1,293,140,3,1,3,1,,2,3,3,,,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,454,11,465,639
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,24,2,395,237,7,79,7,4,,1,7,8,,,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,762,22,784,1105
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,25,2,389,99,4,29,5,0,,3,3,15,,,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,559,12,571,803
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,26,2,415,184,3,1,3,1,,1,0,6,,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,622,8,630,871
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,27,1,234,225,8,2,17,5,,4,2,27,,,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,536,2,538,699
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,28,2,321,187,6,5,12,2,,4,1,34,,,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,585,12,597,753
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,29,2,461,314,19,2,2,2,,2,0,11,,,21,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,838,12,850,1092
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,30,2,300,213,29,7,5,1,,2,0,14,,,21,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,599,11,610,786
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,31,3,723,519,19,9,5,4,,3,4,27,,,25,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1343,22,1365,1774
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,32,1,168,131,4,2,3,1,,2,2,4,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,319,5,324,385
