ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,PPG,COALICION_PRI_PVEM,COMUN_PRD_PT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
12,GUERRERO,1,ACAPULCO DE JUAREZ,381,988,19095,81104,53576,12745,13205,22390,7060,12305,3316,6194,4200,4465,3407,293,243062,16812,260167,576121,0.4515
12,GUERRERO,2,AHUACUOTZINGO,26,38,2831,3353,2890,66,255,1138,171,163,588,32,20,10,0,1,11517,448,11966,16900,0.708
12,GUERRERO,3,AJUCHITLAN DEL PROGRESO,43,57,160,7637,5728,70,100,3545,24,300,17,12,15,39,0,0,17647,363,18010,26983,0.6674
12,GUERRERO,4,ALCOZAUCA DE GUERRERO,18,26,20,2406,2503,1316,30,73,15,175,13,136,16,0,0,0,6703,525,7228,12738,0.5674
12,GUERRERO,5,ALPOYECA,5,9,0,834,1218,976,19,202,16,121,9,5,7,10,0,0,3417,160,3577,5188,0.6894
12,GUERRERO,6,APAXTLA,17,21,15,1510,916,75,79,1082,1162,120,33,16,9,4,9,1,5030,244,5275,8032,0.6567
12,GUERRERO,7,ARCELIA,46,61,78,6413,6120,53,85,149,372,819,41,0,57,31,0,3,14218,455,14676,23808,0.6164
12,GUERRERO,8,ATENANGO DEL RIO,10,13,33,1442,1196,279,44,988,80,116,20,4,20,20,0,0,4242,185,4427,6318,0.7006
12,GUERRERO,9,ATLAMAJALCINGO DEL MONTE,9,11,13,682,469,508,9,606,6,53,7,12,14,0,0,0,2379,226,2605,3784,0.6884
12,GUERRERO,10,ATLIXTAC,22,34,1827,1443,3106,125,125,2184,1526,176,31,26,34,22,0,1,10625,840,11466,15473,0.741
12,GUERRERO,11,ATOYAC DE ALVAREZ,67,95,121,7361,7632,158,854,2337,381,2183,199,0,461,206,0,13,21893,1220,23126,42590,0.5429
12,GUERRERO,12,AYUTLA DE LOS LIBRES,55,88,248,1439,9114,806,7289,1099,219,300,133,0,1931,1136,0,42,23714,1714,25470,39470,0.6453
12,GUERRERO,13,AZOYU,17,23,12,2067,3314,181,203,1082,38,128,184,20,10,52,0,7,7291,491,7789,10656,0.7309
12,GUERRERO,14,BENITO JUAREZ,15,25,71,3555,3445,39,50,258,209,143,23,0,53,21,0,4,7867,310,8181,12336,0.6631
12,GUERRERO,15,BUENAVISTA DE CUELLAR,11,19,951,1814,1208,879,694,291,58,334,27,37,37,99,0,2,6429,231,6662,9585,0.695
12,GUERRERO,16,COAHUAYUTLA DE JOSE MARIA IZAZAGA,30,34,9,163,3462,31,3210,31,55,20,5,5,8,12,0,0,7011,71,7082,9376,0.7553
12,GUERRERO,17,COCULA,24,28,64,2235,2699,76,82,460,422,93,25,181,49,15,62,23,6463,244,6730,11266,0.5973
12,GUERRERO,18,COPALA,14,20,36,1634,2838,145,474,1148,55,127,23,0,47,451,0,5,6978,358,7341,9844,0.7457
12,GUERRERO,19,COPALILLO,10,20,36,1311,1301,1261,56,1413,381,78,1007,12,18,113,0,0,6987,424,7411,9722,0.7622
12,GUERRERO,20,COPANATOYAC,15,26,61,3356,2536,953,20,25,41,463,17,18,4,6,0,5,7500,430,7935,11354,0.6988
12,GUERRERO,21,COYUCA DE BENITEZ,59,100,1253,10223,4229,410,5946,3783,359,758,2547,97,237,134,58,10,30034,1540,31584,50996,0.6193
12,GUERRERO,22,COYUCA DE CATALAN,56,73,227,9546,9195,285,145,100,68,197,23,20,26,145,0,5,19977,736,20718,32487,0.6377
12,GUERRERO,23,CUAJINICUILAPA,28,40,361,4788,3818,157,267,717,404,187,482,263,20,123,0,3,11587,539,12129,17989,0.6742
12,GUERRERO,24,CUALAC,7,13,0,1612,912,625,15,76,10,74,172,8,4,224,0,5,3732,163,3900,5126,0.7608
12,GUERRERO,25,CUAUTEPEC,13,20,7,176,3703,44,2649,28,66,51,470,0,118,447,0,4,7759,226,7989,10661,0.7493
12,GUERRERO,26,CUETZALA DEL PROGRESO,16,16,32,1691,193,853,46,362,271,181,30,43,19,24,52,22,3797,218,4037,6335,0.6372
12,GUERRERO,27,CUTZAMALA DE PINZON,42,51,50,4822,5089,32,28,22,15,218,8,0,6,14,0,0,10304,183,10487,18296,0.5731
12,GUERRERO,28,CHILAPA DE ALVAREZ,84,163,719,18645,15350,1070,1001,1703,1571,1306,654,0,466,396,446,36,43327,3051,46414,79940,0.5806
12,GUERRERO,29,CHILPANCINGO DE LOS BRAVO,103,295,1856,30385,18539,1642,2346,4326,2346,5183,1671,1547,2162,1379,1155,98,74537,5656,80291,175007,0.4587
12,GUERRERO,30,EDUARDO NERI,29,61,177,6431,8876,322,171,1325,302,449,427,0,444,470,0,5,19394,1009,20408,32431,0.6292
12,GUERRERO,31,FLORENCIO VILLARREAL,18,28,19,2002,5610,24,1154,42,451,174,53,0,26,193,0,2,9748,370,10120,14762,0.6855
12,GUERRERO,32,GENERAL CANUTO A. NERI,15,16,15,565,928,11,23,1737,57,30,4,3,5,5,10,0,3393,71,3464,4796,0.7222
12,GUERRERO,33,GENERAL HELIODORO CASTILLO,45,54,282,8230,2824,92,90,105,86,415,27,0,18,19,0,0,12188,491,12679,21398,0.5925
12,GUERRERO,34,HUAMUXTITLAN,12,22,0,1901,2604,1234,114,346,111,375,91,42,515,9,0,5,7342,435,7782,11243,0.6921
12,GUERRERO,35,HUITZUCO DE LOS FIGUEROA,36,59,413,5305,1926,3098,509,1232,292,394,73,102,136,361,0,7,13841,810,14658,28330,0.5174
12,GUERRERO,36,IGUALA DE LA INDEPENDENCIA,85,187,1016,16156,9033,1887,2287,6146,1191,2474,522,2285,495,508,0,46,44000,2649,46695,105572,0.4423
12,GUERRERO,37,IGUALAPA,12,16,767,981,1229,566,498,732,503,123,33,16,12,2,0,0,5462,253,5715,7292,0.7837
12,GUERRERO,38,IXCATEOPAN DE CUAUHTEMOC,12,14,11,1904,1393,8,11,350,73,63,9,111,5,12,10,1,3960,87,4048,5405,0.7489
12,GUERRERO,39,ZIHUATANEJO DE AZUETA,64,160,1045,12433,15201,959,902,4377,1022,2657,1420,964,537,162,0,38,41679,2308,44025,93095,0.4729
12,GUERRERO,40,JUAN R. ESCUDERO,24,36,1268,1267,1945,1473,2441,896,105,543,163,29,115,108,28,3,10381,828,11212,17646,0.6353
12,GUERRERO,41,LEONARDO BRAVO,22,34,2128,3291,4978,126,60,368,70,122,17,0,25,110,0,5,11295,510,11810,16216,0.7282
12,GUERRERO,42,MALINALTEPEC,16,34,79,1546,2646,3724,73,1466,84,200,46,51,25,0,0,0,9940,755,10695,16753,0.6383
12,GUERRERO,43,MARTIR DE CUILAPAN,16,25,110,2065,2332,138,321,2199,876,260,55,42,589,12,0,0,8999,1218,10217,12304,0.8303
12,GUERRERO,44,METLATONOC,16,31,25,1182,2271,1795,76,1937,26,128,20,33,62,0,0,3,7555,429,7987,11211,0.7124
12,GUERRERO,45,MOCHITLAN,15,19,31,1191,982,39,1664,1375,44,149,48,18,35,68,0,0,5644,318,5962,8369,0.7123
