DISTRITO    ,MUNICIPIO   ,SECCION   ,CASILLA,LISTA NOMINAL,PAN,PAN-PRD,PAN-PRD-PT,PAN-PT,PRI,PRI-PVEM,PRD,PRD-PT,PT,PVEM,Convergencia,NULOS,NOREGISTRADOS
16,ACACOYAGUA,1,BÁSICA,521,139,,,,,88,116,,0,,0,3,0
16,ACACOYAGUA,1,CONTIGUA 1,521,131,,,,,83,100,,0,,0,5,0
16,ACACOYAGUA,1,CONTIGUA 2,522,128,,,,,90,105,,0,,0,4,0
16,ACACOYAGUA,1,EXT. 1,597,143,,,,,156,25,,0,,0,11,0
16,ACACOYAGUA,2,BÁSICA,584,171,,,,,114,104,,0,,0,3,1
16,ACACOYAGUA,2,CONTIGUA 1,584,157,,,,,118,98,,0,,0,4,0
16,ACACOYAGUA,2,CONTIGUA 2,584,128,,,,,127,119,,0,,0,4,0
16,ACACOYAGUA,3,BÁSICA,547,168,,,,,168,83,,0,,0,3,0
16,ACACOYAGUA,3,CONTIGUA 1,548,171,,,,,135,66,,0,,0,7,0
16,ACACOYAGUA,3,CONTIGUA 2,548,146,,,,,154,67,,0,,0,9,0
16,ACACOYAGUA,4,BÁSICA,547,58,,,,,152,90,,0,,0,9,0
16,ACACOYAGUA,5,BÁSICA,499,111,,,,,138,25,,0,,0,10,0
16,ACACOYAGUA,5,EXT. 1,429,30,,,,,134,108,,0,,0,10,0
16,ACACOYAGUA,6,BÁSICA,717,105,,,,,225,86,,0,,0,12,0
16,ACACOYAGUA,6,CONTIGUA 1,717,89,,,,,212,86,,0,,0,11,0
,,,,,,,,,,,,,,,,,
3,ACALA,7,BÁSICA,553,205,,,,75,,14,,0,32,0,5,0
3,ACALA,7,CONTIGUA 1,553,203,,,,76,,14,,0,34,0,5,0
3,ACALA,7,CONTIGUA 2,554,162,,,,53,,40,,0,33,0,6,0
3,ACALA,8,BÁSICA,586,192,,,,77,,24,,0,68,0,5,0
3,ACALA,8,CONTIGUA 1,586,189,,,,72,,20,,0,74,0,7,0
3,ACALA,9,BÁSICA,689,224,,,,81,,31,,0,52,0,11,0
3,ACALA,9,CONTIGUA 1,690,265,,,,55,,32,,0,44,0,8,0
3,ACALA,10,BÁSICA,558,164,,,,106,,20,,0,70,0,2,0
3,ACALA,10,CONTIGUA 1,558,171,,,,108,,17,,0,50,0,7,0
3,ACALA,10,CONTIGUA 2,558,171,,,,126,,9,,0,64,0,5,0
3,ACALA,11,BÁSICA,607,164,,,,118,,32,,0,92,0,0,0
3,ACALA,11,CONTIGUA 1,607,149,,,,114,,56,,0,91,0,4,0
3,ACALA,12,BÁSICA,523,115,,,,116,,32,,0,60,0,7,0
3,ACALA,12,CONTIGUA 1,524,125,,,,119,,32,,0,85,0,4,0
3,ACALA,13,BÁSICA,470,104,,,,96,,22,,0,71,0,6,0
3,ACALA,13,CONTIGUA 1,470,116,,,,95,,12,,0,80,0,6,0
3,ACALA,14,BÁSICA,512,231,,,,129,,46,,0,18,0,5,0
3,ACALA,14,EXT. 1,314,82,,,,62,,56,,0,2,0,8,0
3,ACALA,15,BÁSICA,571,211,,,,106,,72,,0,6,0,11,0
3,ACALA,15,EXT. 1,302,128,,,,32,,8,,0,11,0,7,0
3,ACALA,16,BÁSICA,599,188,,,,49,,168,,0,2,0,4,0
3,ACALA,16,CONTIGUA 1,599,168,,,,63,,165,,0,3,0,6,0
3,ACALA,17,BÁSICA,610,109,,,,90,,147,,0,32,0,13,0
3,ACALA,17,CONTIGUA 1,611,111,,,,90,,148,,0,31,0,9,0
3,ACALA,17,CONTIGUA 2,611,120,,,,77,,155,,0,15,0,7,0
3,ACALA,18,BÁSICA,298,110,,,,43,,26,,0,25,0,9,0
