MUNICIPIO,SECCION,TCAS,ID MPIO,PAN,PRI,PRD,PC,PT,PVEM,PPS,PDM
Campeche,1,,1,166,87,71,0,4,2,0,1
Campeche,2,,1,171,103,113,0,22,3,0,0
Campeche,3,,1,166,157,78,0,13,6,0,0
Campeche,4,C,1,50,147,98,0,19,5,0,0
Campeche,4,,1,64,232,114,1,39,3,2,2
Campeche,5,,1,184,149,183,0,20,6,0,0
Campeche,6,,1,144,127,103,0,11,5,1,0
Campeche,7,,1,216,166,107,1,15,9,0,0
Campeche,8,,1,165,102,126,2,18,2,1,1
Campeche,9,C,1,124,105,86,0,15,0,4,0
Campeche,9,,1,122,111,99,1,11,7,0,1
Campeche,10,C,1,180,111,83,0,35,3,0,0
Campeche,10,,1,59,112,85,2,45,3,0,0
Campeche,11,,1,198,154,118,4,54,8,1,0
Campeche,12,C,1,192,128,97,0,55,1,1,5
Campeche,12,,1,211,135,113,1,41,4,0,1
Campeche,13,C,1,49,143,93,1,31,3,0,0
Campeche,13,,1,74,123,102,4,32,1,0,1
Campeche,14,C,1,37,126,72,5,24,1,1,1
Campeche,14,,1,46,106,95,0,22,2,0,0
Campeche,15,,1,70,231,140,0,43,12,1,0
Campeche,16,,1,44,152,123,2,27,2,1,1
Campeche,17,,1,121,121,127,0,14,5,0,0
Campeche,18,,1,126,124,96,0,10,1,3,1
Campeche,19,,1,37,181,95,0,50,3,1,1
Campeche,20,C,1,34,131,66,0,49,0,0,0
Campeche,20,,1,33,129,70,0,30,2,0,0
Campeche,21,C,1,33,123,59,3,45,4,1,0
Campeche,21,,1,41,135,53,0,53,1,0,0
Campeche,22,C,1,58,95,94,1,17,2,1,3
Campeche,22,,1,57,88,85,2,16,2,0,0
Campeche,23,,1,116,175,156,3,32,0,0,1
Campeche,24,C,1,179,104,57,3,27,2,1,0
Campeche,24,,1,155,100,88,0,19,2,0,0
Campeche,25,,1,210,127,113,0,20,3,1,1
Campeche,26,C,1,210,94,107,0,8,2,2,1
Campeche,26,,1,186,118,86,1,16,2,0,0
Campeche,27,C,1,236,121,114,1,6,3,2,1
Campeche,27,,1,211,115,82,0,4,0,1,1
Campeche,28,C,1,117,114,58,1,8,2,0,0
Campeche,28,,1,144,115,40,2,6,4,0,0
Campeche,29,C,1,174,103,76,1,5,3,0,1
Campeche,29,,1,204,96,93,0,4,2,0,0
Campeche,30,C,1,19,143,157,2,5,2,0,0
Campeche,30,,1,162,75,50,1,7,1,1,0
Campeche,31,C,1,96,83,90,1,17,3,1,2
Campeche,31,,1,102,91,76,2,15,2,1,1
Campeche,32,C,1,137,79,90,1,14,3,0,0
Campeche,32,,1,113,86,86,1,18,5,0,0
Campeche,33,C,1,49,91,90,1,41,2,1,1
Campeche,33,,1,56,114,87,0,42,0,2,2
Campeche,34,C,1,64,117,94,1,47,2,0,1
Campeche,34,,1,43,196,80,1,24,1,1,2
Campeche,35,,1,61,180,130,7,96,11,3,1
Campeche,36,C,1,40,129,72,2,67,2,0,0
Campeche,36,,1,57,105,73,0,64,2,1,0
Campeche,37,,1,55,154,75,0,43,3,4,1
Campeche,38,,1,128,129,101,0,8,3,1,1
Campeche,39,C,1,66,185,95,1,15,7,0,0
Campeche,39,,1,67,189,105,1,19,1,1,0
Campeche,40,,1,119,170,124,2,26,2,0,3
Campeche,41,,1,131,182,160,3,36,4,5,1
Campeche,42,C,1,143,104,108,2,29,2,1,9
Campeche,42,,1,112,100,94,9,17,10,1,7
Campeche,43,C,1,103,107,96,2,21,4,0,0
Campeche,43,,1,103,114,139,1,18,6,0,1
Campeche,44,C,1,83,63,97,0,28,2,0,0
Campeche,44,,1,93,85,111,1,11,0,0,0
Campeche,45,C,1,103,88,77,0,17,1,0,0
Campeche,45,,1,106,95,82,1,21,1,1,3
Campeche,46,C,1,146,95,92,0,18,0,3,0
Campeche,46,,1,130,113,80,0,15,5,3,1
Campeche,47,C,1,168,112,66,0,15,6,0,0
Campeche,47,,1,166,97,71,0,10,3,0,2
Campeche,48,C,1,166,102,87,0,5,4,2,1
Campeche,48,,1,164,111,86,0,7,2,0,0
Campeche,49,C,1,194,89,92,0,0,0,0,0
Campeche,49,,1,180,124,100,0,12,0,0,0
Campeche,50,C,1,178,124,57,0,12,2,0,0
Campeche,50,,1,202,118,57,2,11,2,0,0
Campeche,51,C,1,208,168,56,0,11,1,0,0
Campeche,51,,1,200,163,67,0,11,1,0,1
Campeche,52,C,1,188,105,55,1,7,3,0,0
Campeche,52,,1,166,102,49,1,5,4,0,0
Campeche,53,C,1,231,122,81,0,11,7,1,1
Campeche,53,,1,228,123,83,1,16,4,0,0
Campeche,54,C,1,194,90,49,1,0,3,0,3
Campeche,54,,1,188,95,54,0,3,4,0,2
Campeche,55,C,1,214,139,98,0,14,6,0,0
Campeche,55,,1,211,139,137,0,12,8,0,0
Campeche,56,C,1,127,91,80,0,15,6,1,0
Campeche,56,,1,127,90,86,0,10,7,0,0
Campeche,57,C,1,151,69,69,0,10,8,0,0
