ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN_PT_NVA_ALIANZA_PCPP_PSI,PRI_PVEM_ES,PRD,MORENA,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
21,PUEBLA,01,XICOTEPEC DE JUAREZ,106,280,45231,31780,2512,3779,915,35,84252,2977,87229,149158,0.5848
21,PUEBLA,02,HUAUCHINANGO DE DEGOLLADO,99,261,40160,27677,2715,5097,1187,79,76915,5260,82175,146538,0.5608
21,PUEBLA,03,ZACATLAN,96,275,39213,35347,1165,4145,1900,56,81826,3573,85399,154485,0.5528
21,PUEBLA,04,ZACAPOAXTLA,116,273,36474,36822,3401,4807,940,29,82473,3681,86154,152907,0.5634
21,PUEBLA,05,TLATLAUQUITEPEC,106,257,35872,36382,1228,5674,970,23,80149,3426,83575,146995,0.5686
21,PUEBLA,06,TEZIUTLAN,92,255,34362,30828,1360,4422,1397,36,72405,2960,75365,152567,0.4940
21,PUEBLA,07,SAN MARTIN TEXMELUCAN DE LABASTIDA,88,267,29277,17881,2320,6509,2278,64,58329,2456,60785,166396,0.3653
21,PUEBLA,08,HUEJOTZINGO,80,255,22347,19651,4045,8044,2447,40,56574,1952,58526,162137,0.3610
21,PUEBLA,09,HEROICA PUEBLA DE ZARAGOZA,75,271,33313,15889,4042,9821,4900,85,68050,2668,70718,176739,0.4001
21,PUEBLA,10,HEROICA PUEBLA DE ZARAGOZA,123,320,36343,18447,3710,11112,5452,103,75167,3073,78240,189116,0.4137
21,PUEBLA,11,HEROICA PUEBLA DE ZARAGOZA,48,251,29452,18801,3089,8469,3581,45,63437,2433,65870,167703,0.3928
21,PUEBLA,12,AMOZOC DE MOTA,69,251,29315,21997,2440,6442,1369,44,61607,2003,63610,157651,0.4035
21,PUEBLA,13,TEPEACA,78,247,25593,24960,1978,4720,1097,26,58374,1865,60239,152120,0.3960
21,PUEBLA,14,CIUDAD SERDAN,108,270,36291,25028,2288,4115,1246,34,69002,2622,71624,149996,0.4775
21,PUEBLA,15,TECAMACHALCO,74,234,29632,15469,1260,5018,1903,22,53304,2042,55346,145704,0.3799
21,PUEBLA,16,HEROICA PUEBLA DE ZARAGOZA,128,319,35873,22233,3616,12737,7307,148,81914,3541,85455,192599,0.4437
21,PUEBLA,17,HEROICA PUEBLA DE ZARAGOZA,224,408,46175,21644,3752,13221,10158,589,95539,3710,99249,213954,0.4639
21,PUEBLA,18,CHOLULA DE RIVADAVIA,84,285,30060,15660,6835,8892,6563,84,68094,2854,70948,180186,0.3937
21,PUEBLA,19,HEROICA PUEBLA DE ZARAGOZA,116,300,31628,20470,3754,12863,7208,100,76023,3212,79235,184029,0.4306
21,PUEBLA,20,HEROICA PUEBLA DE ZARAGOZA,69,247,26970,20089,2843,7258,3056,61,60277,2582,62859,160668,0.3912
21,PUEBLA,21,ATLIXCO,119,292,27051,21558,3740,7777,2479,83,62688,2738,65426,169778,0.3854
21,PUEBLA,22,IZUCAR DE MATAMOROS,141,335,31161,36694,2159,6573,1155,54,77796,2581,80377,181851,0.4420
21,PUEBLA,23,ACATLAN DE OSORIO,150,327,30077,39345,3420,5805,781,22,79450,2103,81553,170148,0.4793
21,PUEBLA,24,TEHUACAN,80,253,30920,22165,1950,7038,1280,32,63385,2304,65689,154043,0.4264
21,PUEBLA,25,TEHUACAN,81,257,29439,18562,2274,7408,2293,47,60023,2306,62329,161012,0.3871
21,PUEBLA,26,AJALPAN,106,272,47649,27881,3277,4843,469,16,84135,2891,87026,152613,0.5702
