CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,NVA_ALIANZA,PCPP,PSI,MORENA,ES,PAN_PT_NVA_ALIANZA_PCPP_PSI,PAN_PT_NVA_ALIANZA_PCPP,PAN_PT_NVA_ALIANZA_PSI,PAN_PT_PCPP_PSI,PAN_NVA_ALIANZA_PCPP_PSI,PT_NVA_ALIANZA_PCPP_PSI,PAN_PT_NVA_ALIANZA,PAN_PT_PCPP,PAN_PT_PSI,PAN_NVA_ALIANZA_PCPP,PAN_NVA_ALIANZA_PSI,PAN_PCPP_PSI,PT_NVA_ALIANZA_PCPP,PT_NVA_ALIANZA_PSI,PT_PCPP_PSI,NVA_ALIANZA_PCPP_PSI,PAN_PT,PAN_NVA_ALIANZA,PAN_PCPP,PAN_PSI,PT_NVA_ALIANZA,PT_PCPP,PT_PSI,NVA_ALIANZA_PCPP,NVA_ALIANZA_PSI,PCPP_PSI,PRI_PVEM_ES,PRI_PVEM,PRI_ES,PVEM_ES,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,088,JALPAN,0764,3,385,273,38,10,8,15,130,5,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,1,1,3,0,0,2,0,915,23,938,1745
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,088,JALPAN,0765,4,289,376,55,11,25,28,141,7,50,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,1,0,0,0,1,0,0,2,8,2,0,3,1,1024,38,1062,2094
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,088,JALPAN,0766,2,134,125,4,6,11,8,136,8,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,449,23,472,727
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,088,JALPAN,0767,3,230,316,20,10,14,25,160,10,23,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,6,0,823,33,856,1760
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,088,JALPAN,0768,3,226,315,17,5,14,37,345,9,49,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,2,6,0,0,6,0,1054,31,1085,2106
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,088,JALPAN,0769,1,93,92,7,3,4,9,43,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,4,0,0,3,0,275,16,291,593
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,101,NAUPAN,0830,2,255,304,20,13,13,20,5,0,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,3,1,0,0,5,0,669,31,700,1202
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,101,NAUPAN,0831,3,271,386,16,8,12,13,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,20,0,0,2,0,748,54,802,1513
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,101,NAUPAN,0832,3,296,315,21,17,7,26,4,5,52,6,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,1,2,0,0,0,0,0,1,0,2,12,3,0,8,0,788,51,839,1604
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,101,NAUPAN,0833,2,198,135,17,10,8,9,2,3,48,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,1,5,2,0,7,0,460,55,515,1001
