ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,NVA_ALIANZA,PCPP,PSI,MORENA,ES,PAN_PT_NVA_ALIANZA_PCPP_PSI,PAN_PT_NVA_ALIANZA_PCPP,PAN_PT_NVA_ALIANZA_PSI,PAN_PT_PCPP_PSI,PAN_NVA_ALIANZA_PCPP_PSI,PT_NVA_ALIANZA_PCPP_PSI,PAN_PT_NVA_ALIANZA,PAN_PT_PCPP,PAN_PT_PSI,PAN_NVA_ALIANZA_PCPP,PAN_NVA_ALIANZA_PSI,PAN_PCPP_PSI,PT_NVA_ALIANZA_PCPP,PT_NVA_ALIANZA_PSI,PT_PCPP_PSI,NVA_ALIANZA_PCPP_PSI,PAN_PT,PAN_NVA_ALIANZA,PAN_PCPP,PAN_PSI,PT_NVA_ALIANZA,PT_PCPP,PT_PSI,NVA_ALIANZA_PCPP,NVA_ALIANZA_PSI,PCPP_PSI,PRI_PVEM_ES,PRI_PVEM,PRI_ES,PVEM_ES,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
21,PUEBLA,01,XICOTEPEC DE JUAREZ,106,280,38154,29221,2512,1246,870,1449,2330,997,3779,368,132,23,39,12,21,6,50,8,12,40,11,7,2,11,0,0,111,279,156,51,23,7,31,3,12,8,190,1086,34,11,915,35,84252,2977,87229,149158,0.5848
21,PUEBLA,02,HUAUCHINANGO DE DEGOLLADO,99,261,30651,23290,2715,1965,2548,2013,3734,809,5097,855,103,18,14,9,12,6,30,11,9,23,11,10,16,22,0,3,123,285,104,50,35,5,36,12,28,13,170,763,41,10,1187,79,76915,5260,82175,146538,0.5608
21,PUEBLA,03,ZACATLAN,96,275,30263,31501,1165,1171,1922,2363,2549,1679,4145,455,134,33,29,14,18,8,27,10,15,31,23,18,1,9,2,2,97,372,164,79,9,17,43,10,16,7,214,1198,52,5,1900,56,81826,3573,85399,154485,0.5528
21,PUEBLA,04,ZACAPOAXTLA,116,273,25398,33121,3401,3851,1594,2454,2283,1212,4807,373,123,29,55,14,10,4,54,10,21,21,16,7,1,19,0,1,262,304,121,49,33,12,64,12,26,8,207,1473,51,3,940,29,82473,3681,86154,152907,0.5634
21,PUEBLA,05,TLATLAUQUITEPEC,106,257,28389,32851,1228,1628,1597,1775,2164,923,5674,262,116,27,35,12,18,3,38,2,10,26,17,9,1,10,2,2,152,271,124,39,20,3,27,4,12,13,284,1330,45,13,970,23,80149,3426,83575,146995,0.5686
21,PUEBLA,06,TEZIUTLAN,92,255,28058,27024,1360,724,2118,1833,897,1780,4422,315,149,28,38,14,17,5,18,11,12,35,26,5,2,10,0,1,68,308,173,86,13,0,34,1,9,7,252,1054,53,12,1397,36,72405,2960,75365,152567,0.4940
21,PUEBLA,07,SAN MARTIN TEXMELUCAN DE LABASTIDA,88,267,19386,15348,2320,1615,1176,3198,943,2854,6509,473,177,34,52,36,18,19,51,21,19,51,32,21,12,18,4,4,109,305,94,110,21,6,28,13,15,11,193,638,35,18,2278,64,58329,2456,60785,166396,0.3653
21,PUEBLA,08,HUEJOTZINGO,80,255,16943,16791,4045,1183,1368,1415,1021,863,8044,389,161,27,29,19,13,2,25,8,12,44,11,9,2,8,2,1,75,211,166,47,9,5,11,10,9,6,191,843,50,19,2447,40,56574,1952,58526,162137,0.3610
21,PUEBLA,09,HEROICA PUEBLA DE ZARAGOZA,75,271,25894,14188,4042,859,483,1093,732,246,9821,430,294,71,50,36,32,0,63,23,14,80,15,18,6,8,1,0,105,307,3307,32,5,1,6,9,1,5,263,470,48,7,4900,85,68050,2668,70718,176739,0.4001
21,PUEBLA,10,HEROICA PUEBLA DE ZARAGOZA,123,320,29427,16418,3710,703,568,1201,661,224,11112,417,412,77,52,36,53,4,53,32,14,113,32,24,11,10,5,3,76,465,2600,22,12,5,7,6,3,0,310,667,61,6,5452,103,75167,3073,78240,189116,0.4137
