ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,PAC,PS,MORENA,ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,38,97,4606,1792,1148,1880,1787,878,1785,2245,1785,14932,1213,34051,12,1390,35453,57924,
29,TLAXCALA,02,TLAXCO DE MORELOS,60,109,5030,1278,1221,1792,1277,356,2662,491,1277,10416,569,26369,3743,1919,32031,57606,
29,TLAXCALA,03,SAN COSME XALOSTOC,42,93,2285,2336,656,2688,2336,5384,2336,623,2336,11068,787,32835,23,1444,34302,56120,
29,TLAXCALA,04,APIZACO,37,103,8109,1651,859,7003,1641,1016,1642,741,1642,14614,1378,40296,44,1943,42283,63601,
29,TLAXCALA,05,SAN DIONICIO YAUHQUEMEHCAN,51,99,8517,919,1036,7868,919,509,919,1059,919,11160,640,34465,16,2004,36485,56642,
29,TLAXCALA,06,IXTACUIXTLA DE MARIANO MATAMOROS,53,114,1806,1365,1495,4139,1365,1802,1364,1450,1364,18796,2171,37117,74,2252,39443,64806,
29,TLAXCALA,07,TLAXCALA DE XICOHTENCATL,35,118,6661,2153,1536,1620,2123,929,2122,4402,2118,22605,1379,47648,31,1687,49366,73408,
29,TLAXCALA,08,SAN BERNARDINO CONTLA,35,97,2652,1802,2897,2027,1803,1888,1803,780,1803,16093,4044,37592,19,1763,39374,59913,
29,TLAXCALA,09,SANTA ANA CHIAUTEMPAN,36,109,6552,1177,1626,3451,1167,1295,1165,1475,1165,18211,1117,38401,26,1588,40015,65798,
29,TLAXCALA,10,HUAMANTLA,41,94,4363,2408,788,1682,2408,1101,2407,657,2407,14066,804,33091,26,1835,34952,55655,
29,TLAXCALA,11,HUAMANTLA,48,95,3580,1816,1200,4838,1817,517,1817,480,1817,12390,629,30901,14,2077,32992,53580,
29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,37,107,2804,1643,3055,1990,1642,5156,1642,780,1642,22964,1130,44448,12,1649,46109,66955,
29,TLAXCALA,13,ZACATELCO,32,102,3283,2149,3898,1435,2144,4609,2144,1174,2143,18139,638,41756,14,1741,43511,62749,
29,TLAXCALA,14,SANTA MARIA NATIVITAS,39,102,4824,974,8509,1405,974,949,974,3839,974,15038,720,39180,6,1269,40455,64097,
29,TLAXCALA,15,VICENTE GUERRERO,23,95,3586,1018,811,5664,1017,6465,1018,441,1018,13859,3374,38271,15,2370,40656,63162,
