CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,C_COMUN_PRI_PVEM_NA_PS,C_COMUN_PRI_PVEM_PS,PRI,PVEM,PS,PRD,PT,MC,NA,PAC,MORENA,ES,PAN_PRD_PAC,PAN_PRD,PAN_PAC,PRD_PAC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,78,6,243,370,,,,,57,97,74,,147,913,97,10,4,4,6,32,8,0,10,2072,1,124,2197,4082
,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,79,4,141,229,,7,2,1,30,68,31,1,114,644,56,3,1,1,1,17,7,3,4,1361,1,58,1420,2128
,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,80,2,94,161,,,,,18,26,28,,52,376,33,5,3,0,0,8,5,4,4,817,3,44,864,1397
,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,81,3,123,152,,,,,25,56,21,,68,501,43,5,0,3,0,11,7,1,6,1022,0,45,1067,1767
,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,82,3,164,179,,,,,25,59,38,,90,546,39,4,1,1,1,20,3,1,5,1176,1,40,1217,2065
,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,83,4,181,252,,,,,27,44,42,,134,618,49,1,2,2,0,26,7,0,9,1394,0,72,1466,2502
,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,84,1,54,86,,,,,8,14,16,,67,162,18,1,0,0,0,4,0,0,3,433,0,25,458,728
,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,85,3,122,172,,,,,25,65,34,,100,588,38,7,2,2,0,22,7,1,14,1199,0,52,1251,2078
,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,86,3,155,216,,,,,17,40,23,,104,490,18,1,5,1,0,6,8,2,11,1097,1,53,1151,1763
,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,87,2,50,113,,,,,20,19,10,,38,294,19,0,1,0,0,0,1,0,3,568,0,9,577,980
,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,88,2,123,137,,,,,16,26,28,,63,432,31,1,1,0,0,17,4,0,0,879,0,46,925,1373
,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,89,3,193,264,,,,,23,36,29,,128,548,27,5,2,1,0,20,7,0,5,1288,1,67,1356,2098
,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,90,4,207,223,,,,,34,66,63,,148,667,58,9,6,2,0,22,7,1,8,1521,0,72,1593,2712
,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,91,1,79,69,,,,,6,26,11,,19,219,10,0,0,0,0,7,0,0,6,452,0,13,465,743
,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,92,3,185,190,,,,,35,63,25,,91,578,31,6,3,5,1,14,5,1,5,1238,0,20,1258,1979
,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,93,2,131,116,,,,,22,62,44,,40,361,19,3,1,2,0,19,6,0,7,833,1,20,854,1281
,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,94,2,39,120,,,,,12,30,14,,22,341,5,0,0,0,0,16,3,0,4,606,0,14,620,870
,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,95,1,47,67,,,,,10,16,6,,3,101,7,2,2,0,1,0,0,1,0,263,0,13,276,440
,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,96,1,63,80,,,,,8,12,3,,49,117,4,0,1,0,0,3,2,0,3,345,0,8,353,638
