uniqueid,year,incumbent_party_Horacio
31001,1995,PRI
31001,1998,PRI
31001,2001,PAN
31001,2004,PAN
31001,2007,PT_MC
31001,2010,PAN
31001,2012,PAN
31001,2015,PRI_PH_PES
31001,2018,NA
31002,1995,PRI
31002,1998,PRI
31002,2001,PRI
31002,2004,PAN
31002,2007,PRI
31002,2010,PVEM
31002,2012,PAN
31002,2015,PANAL
31002,2018,NA
31003,1995,PRI
31003,1998,PRI
31003,2001,PRI
31003,2004,PRI
31003,2007,PRI
31003,2010,PAN
31003,2012,PRI_PVEM
31003,2015,PRI_PVEM_PANAL_PH_PES
31003,2018,NA
31004,1995,PRI
31004,1998,PRI
31004,2001,PRI
31004,2004,PAN
31004,2007,PRI
31004,2010,PRI
31004,2012,PAN
31004,2015,PRI_PES
31004,2018,NA
31005,1995,PRI
31005,1998,PRI
31005,2001,PRI
31005,2004,PRI
31005,2007,PAN
31005,2010,PRI
31005,2012,PRI_PVEM
31005,2015,PRI_PVEM_PANAL_PH_PES
31005,2018,NA
31006,1995,PRI
31006,1998,PRI
31006,2001,PRI
31006,2004,PAN
31006,2007,PAN
31006,2010,PRI
31006,2012,PAN
31006,2015,PAN
31006,2018,NA
31007,1995,PartCardenista
31007,1998,PRD
31007,2001,PVEM
31007,2004,PRI
31007,2007,PAN
31007,2010,MC
31007,2012,PRI
31007,2015,PRI_PVEM_PANAL_PH_PES
31007,2018,NA
31008,1995,PRI
31008,1998,PRI
31008,2001,PRI
31008,2004,PRD
31008,2007,PRI
31008,2010,PRI
31008,2012,PRI_PVEM
31008,2015,PRI_PVEM_PANAL_PH_PES
31008,2018,NA
31009,1995,PRI
31009,1998,PAN
31009,2001,PAN
31009,2004,PRI
31009,2007,PAN
31009,2010,PAN
31009,2012,PRI_PVEM
31009,2015,PRI_PVEM_PH_PES
31009,2018,NA
31010,1995,PRI
31010,1998,PRI
31010,2001,PRI
31010,2004,PAN
31010,2007,PAN
31010,2010,PRI
31010,2012,PRI_PVEM
31010,2015,PAN
31010,2018,NA
31011,1995,PAN
31011,1998,PRI
31011,2004,PAN
31011,2007,PRI
31011,2010,PRI_PVEM
31011,2012,PRI_PVEM
31011,2015,PRI_PANAL_PH_PES
31011,2018,NA
31012,1995,PRI
31012,1998,PRI
31012,2001,PAN_PRD
31012,2004,PAN
31012,2007,PAN
31012,2010,PAN
31012,2012,PAN
31012,2015,PRI_PVEM_PANAL_PH_PES
31012,2018,NA
31013,1995,PRI
31013,1998,PRI
31013,2001,PRI
31013,2004,PRI
31013,2007,PAN
31013,2010,PAN
31013,2012,PRI_PVEM
31013,2015,PAN
