uniqueid,year,incumbent_party_magar,incumbent_candidate_magar,runnerup_party_magar,runnerup_candidate_magar,margin
31006,1993,PRI,LUIS ALBERTO CEPEDA CRUZ,PAN,,0.1169324222
31006,1995,PRI,SANTIAGO FELIPE LIZAMA ARGAEZ,PAN,,0.1038029925
31006,1998,PRI,LUIS ALBERTO CEPEDA CRUZ,PAN,,0.2547327394
31006,2001,PRI,MARGARITA SANCHEZ MEDRANO,PAN_PRD,,0.2187905528
31006,2004,PAN,MANUEL JESUS ARGAEZ CEPEDA,PRI,,0.0482425913
31006,2007,PAN,JOSE FRANCISCO RIVERO LIZAMA,PRI,,0.1044903171
31006,2010,PRI,MARGARITA SANCHEZ MEDRANO,PAN,,0.0015546055
31006,2012,PAN,MANUEL JESUS ARGAEZ CEPEDA,PRI_PVEM,,0.1792519407
31006,2015,PAN,JOSE REYES SANTOS AGUILAR,PRI_PVEM_PNA_PH_PES,,0.026419136
31006,2018,PRI_PVEM_PNA,MARGARITA SANCHEZ MEDRANO,PAN_MC,EDDA MARIA ARGAEZ CEPEDA,0.0900725535
31006,2021,PAN_PNA,VICTOR MANUEL CAMPOS BAEZA,PRI_PRD,,0.2346648838
31007,1990,CONVE,TEOFILO CETZ COHUO,PRI,,0.0455486542
31007,1993,PRI,LUIS KIM MONTALVO,PAN,,0.1893139842
31007,1995,PFCRN,PEDRO ARMANDO PEREZ SOSA,PRI,,0.0428462127
31007,1998,PRD,BLANCA ELIZABETH VAZQUEZ LOPEZ,PRI,,0.1085559689
31007,2001,PVEM,GENNY CONCEPCION VAZQUEZ ESPADAS,PRI,,0.0450567261
31007,2004,PRI,MARISA GUADALUPE BARRERA SOSA,PRD,,0.177733257
31007,2007,PAN,REYES LUCIANO CHE BOTE,PNA,,0.0607463906
31007,2010,CONVE,FAUSTO EB LOPEZ,PAN,,0.0774526678
31007,2012,PRI,EITER GEOFREY VAZQUEZ SOSA,PAN,,0.0223438212
31007,2015,PRI_PVEM_PNA_PH_PES,PASTOR AGUSTIN CANUL ZARATE,PAN,,0.0518568841
31007,2018,PRI_PVEM_PNA,ABIGAIL DE GUADALUPE PEREZ VAZQUEZ,PT_MORENA_PES,MARISA GUADALUPE BARRERA SOSA,0.2317979198
31007,2021,PRI_PRD,ABIGAIL DE GUADALUPE PEREZ VAZQUEZ,PAN_PNA,,0.1631190727
31008,1990,PRI,EDER EVELIO CASTRO AZCORRA,0,,1
31008,1993,PRI,RAMON MENDICUTI TUZ,PAN,,0.658218126
31008,1995,PRI,SANTIAGO POLANCO MENESES,PAN,,0.8049403748
31008,1998,PRI,VICENTE JAVIER CASTRO MENESES,PRD,,0.2450719233
31008,2001,PRI,LUIS FERNELY POLANCO TUN,PAN_PRD,,0.267357513
31008,2004,PRD,MANUEL POLANCO MENESES,PRI,,0.1032818533
31008,2007,PAN,GREGORIO MENDEZ MENDEZ,PRI,,0.156768559
31008,2010,PRI,LUIS FERNELY POLANCO TUN,PAN,,0.1204772902
31008,2012,PAN,MANUEL JESUS POLANCO CONTRERAS,PRI_PVEM,,0.034368071
31008,2015,PRI_PVEM_PNA_PH_PES,LUIS FERNELY POLANCO TUN,PAN,,0.0986111111
31008,2018,PRI_PNA,LETICIA MARLENE CAMELO HUCHIN,PAN,FELIPE JOSE MEDINA MENESES,0.2219312602
31008,2021,PRI,LUIS FERNELY POLANCO TUN,PAN_PNA,,0.2313432836
31009,1990,PRI,MANUEL JESUS SAURI FLOTA,0,,1
31009,1993,PRI,JUAN GABRIEL CONCHA KU,PAN,,0.225334182
31009,1995,PRI,FRANCISCO TIBURCIO MENDEZ SOBERANIS,PAN,,0.1239669421
31009,1998,PRD,FRANCISCO JAVIER CHALE KU,PRI,,0.0399297938
31009,2001,PAN,MANUEL ARISTARCO CUTZ PALMA,PRI,,0.098540146
31009,2004,PRI,JAVIER ELIAS RAFUL HERRERA,PRD,,0.0191297824
31009,2007,PAN,PAULINO EK CHAN,PRD,,0.1276143212
31009,2010,PAN,JUAN MANUEL LUGO KOYOC,PRI,,0.0387543253
31009,2012,PRI_PVEM,FELIPE CHAN MAY,PAN,,0.2068856601
31009,2015,PRI_PVEM_PH_PES,VICTOR MANUEL POOT AYALA,PAN,,0.0225314778
31009,2018,PRD,FRANCISCO JAVIER CHALE KU,PRI,WENDY GENOVEVA BRITO SANTANA,0.0729464003
31009,2021,PAN,PAULINO EK CHAN,PRD,,0.078742709
31010,1990,PRI,HUMBERTO DOMINGUEZ DZUL,0,,1
31010,1993,PRI,HIGINIO URTECHO VERMON,PAN,,0.7638888889
31010,1995,PRI,JOSE REFUGIO CETINA DZIB,PAN,,0.4478021978
31010,1998,PRI,MARCO ANTONIO CHAN KU,PAN,,0.301843318
31010,2001,PRI,NORMA DEL ROSARIO MAY AKE,PAN,,0.0790842872
31010,2004,PAN,AMADO CANTO FLORES,PRI,,0.1027332705
31010,2007,PAN,ORLANDO EK SANSORES,PRD,,0.1669595782
31010,2010,PRI,MIQUEAS GABRIEL EK BERMON,PAN,,0.107398568
31010,2012,PRI_PVEM,JOSE MELCHOR DZIB DZIB,PAN,,0.0192743764
31010,2015,PAN,ORLANDO EK SANSORES,PRI,,0.0802069858
31010,2018,PAN_MC,DORCA GRISELDA CHAN MAY,PVEM,WILIAN RAFAEL BERMON CONRRADO,0.0952666267
31010,2021,PRI,WILIAN RAFAEL BERMON CONRRADO,PRD,,0.2439724455
31011,1990,PRI,?,PAN,,0.4358108108
31011,1993,PRI,?,PAN,,0.4576719577
31011,1995,PAN,?,PRI,,0.0652898068
31011,1998,PRI,?,PAN,,0.4432234432
31011,2001,PRI,JOSE LUIS PEÑA CHAC,PAN_PRD,,0.2390786338
31011,2004,PAN,ANTONIO DE JESUS SOLIS GONGORA,PRI,,0.0492857143
31011,2007,PRI,BRAULIO MANUEL GOMEZ CHACON,PAN,,0.210214168
31011,2010,PAN,ARACELI GUADALUPE VILLANUEVA PINTO,PRI,,0.0201107549
31011,2012,PRI_PVEM,ROSA ALBA ACOSTA NARVAEZ,PRD_MC,,0.0285160576
31011,2015,PRI_PNA_PES,SANTIAGO LEONEL ROSADO MENA,PRD,,0.1745463228
31011,2018,PRI_PNA,YULMA YUMIRA GARCIA CASANOVA,PVEM,ROSA ALBA ACOSTA NARVAEZ,0.0623038996
31011,2021,PAN_PNA,JOSE ASUNCION RAMIREZ PERERA,PVEM,,0.0481730966
31012,1990,PRI,ISMAEL CASTRO SAHUI,0,,1
31012,1993,PRI,ROBERTO ERMILO RODRIGUEZ NOVELO,PAN,,0.2145623548
31012,1995,PRI,WILBERT ENRIQUE ALAMILLA CASTRO,PAN,,0.1303805365
31012,1998,PAN,ROBERTO ERMILO RODRIGUEZ NOVELO,PRI,,0.0180045011
31012,2001,PAN_PRD,RENE OSCAR BURGOS ANDRADE,PRI,,0.0398921833
31012,2004,PAN,LUIS ENRIQUE ORTIZ MORENO,PRI,,0.289460663
31012,2007,PAN,EDGARDO GILBERTO MEDINA RODRIGUEZ,PRI,,0.3081998115
31012,2010,PAN,RENE OSCAR BURGOS ANDRADE,PRI,,0.0553209459
31012,2012,PAN,SONIA NOEMI VALLEJOS ALBORNOZ,PVEM,,0.0585621971
31012,2015,PRI_PVEM_PNA_PH_PES,DOMINGO NAVARRETE MEDINA,PAN,,0.1748526523
31012,2018,PRI_PNA,MARTA LETICIA NUÑEZ POLANCO,PAN,ANGEL HERMENEGILDO CARDOZ FERNANDEZ,0.1062523974
31012,2021,PAN,ANGEL HERMENEGILDO CARDOZ FERNANDEZ,PRI,,0.307751639
31013,1990,PRI,BERNABE ALPUCHE CHI,PARM,,0.4166666667
31013,1993,PRI,MIGUEL ANGEL ARGAEZ AGUILAR,PAN,,0.2794193883
31013,1995,PRI,MARIO OCTAVIANO AGUILAR GAMBOA,PAN,,0.329333885
31013,1998,PRI,FRANCISCO EVIA GAMBOA,PAN,,0.3042116255
31013,2001,PRI,LUIS FERNANDO PECH CETINA,PAN,,0.3445022772
31013,2004,PRI,GASPAR MIGUEL ANGEL SALAZAR CATZIN,PAN,,0.1475281193
31013,2007,PAN,MARIA ELENA UICAB QUIJANO,PRI,,0.0882925774
31013,2010,PAN,JORGE ENRIQUE PEREZ PARRA,PRI,,0.0194683639
31013,2012,PRI_PVEM,FRANCISCO EVIA GAMBOA,PAN,,0.2036733952
31013,2015,PRI_PVEM_PNA_PES,JORGE ENRIQUE PEREZ PARRA,PAN,,0.045177483
31013,2018,PRI_PVEM_PNA,HISELLE DEL CARMEN DIAZ DEL CASTILLO CANCHE,PAN_MC,JORGE ENRIQUE PEREZ PARRA,0.0535768645
31013,2021,PRI_PRD,HISELLE DEL CARMEN DIAZ DEL CASTILLO CANCHE,PAN_PNA,,0.1940458015
31014,1990,PRI,ROGER JAVIER SUASTE SALAZAR,0,,1
31014,1993,PRI,REYNALDO PERERA DZUL,PAN,,0.8118161926
31014,1995,PRI,ADOLFO NAUTA CHAN,,,0.706013363
