ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,MC,NVA_ALIANZA,PVEM,ES,MORENA,PH,PT,PRI_NVA_ALIANZA_PVEM_PT,PRI_NVA_ALIANZA_PVEM,PRI_PVEM_PT,PRI_NVA_ALIANZA_PT,NVA_ALIANZA_PVEM_PT,PRI_NVA_ALIANZA,PRI_PVEM,PRI_PT,NVA_ALIANZA_PVEM,NVA_ALIANZA_PT,PVEM_PT,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,PAN_PRD,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
22,QUERETARO,1,AMEALCO DE BONFIL,34,84,14051,12087,391,183,343,406,220,174,,96,,,,,,,,47,,,,,,,,,,,,17,27998,1218,29233,42416,0.6892
22,QUERETARO,2,ARROYO SECO,11,22,3959,2638,475,,49,21,,201,,11,,,,,,,,6,3,,,,,,,,,,,0,7363,186,7549,10479,0.7204
22,QUERETARO,3,CADEREYTA DE MONTES,30,82,9586,6894,217,362,587,2211,261,298,496,139,,,,,,,,62,,,,,,,6659,,,,,15,27772,1267,29054,46624,0.6232
22,QUERETARO,4,COLON,21,65,9682,7788,563,4261,,1295,413,299,273,297,,,,,,,,,,,,,,,,,,,,11,24871,989,25871,39490,0.6551
22,QUERETARO,5,CORREGIDORA,62,187,34164,15144,1741,537,962,998,1383,2753,1289,593,,363,,,,74,269,,18,,,,,,,,2720,,,77,63008,2520,65605,113775,0.5766
22,QUERETARO,6,EL MARQUES,33,145,22848,23060,1461,603,606,1330,800,1688,,1043,,224,,,,50,319,,22,,,,,,,,,567,,115,54621,1375,56111,88846,0.6316
22,QUERETARO,7,EZEQUIEL MONTES,17,48,4517,5289,1409,487,122,1816,72,611,420,78,,,,42,,26,,19,,1,,,553,,,2800,,,,7,18262,540,18809,28020,0.6713
22,QUERETARO,8,HUIMILPAN,14,43,3147,3119,529,,392,126,1263,158,,127,,359,,,,130,91,,8,,,,,,,,,,317,319,9766,600,10685,25116,0.4254
22,QUERETARO,9,JALPAN DE SERRA,15,41,6649,5467,136,,100,52,142,159,,32,,,,,,,,41,,,,,,,,,,,,2,12778,417,13197,19170,0.6884
22,QUERETARO,10,LANDA DE MATAMOROS,14,30,4656,4534,,,288,188,,95,,37,,,,,,,,25,,,,,,,,,,,,1,9823,395,10219,14989,0.6818
22,QUERETARO,11,PEDRO ESCOBEDO,24,80,6581,9429,9303,1142,340,428,307,1367,,175,0,0,14,3,0,26,83,12,9,1,6,,,,,,,,,9,29226,945,30180,46464,0.6495
22,QUERETARO,12,PEÑAMILLER,14,30,4369,4024,115,343,499,68,,28,,55,,,,,,,224,,,,,,,,,,,,,0,9725,317,10042,13170,0.7625
22,QUERETARO,13,PINAL DE AMOLES,18,39,6939,4299,222,128,63,65,22,146,,25,,,,,,,,24,,,,,,,,,,,,1,11933,475,12409,18555,0.6688
22,QUERETARO,14,QUERETARO,400,1085,172578,95845,6888,5575,4531,6626,6381,15838,6095,3851,,1554,,,,364,1406,,114,,,,,,,,,,,353,327646,12121,340120,650827,0.5226
22,QUERETARO,15,SAN JOAQUIN,7,15,1722,1958,181,,145,,,55,,22,,,,,,,,23,,,,,,,,,,,,2,4106,167,4275,6317,0.6767
22,QUERETARO,16,SAN JUAN DEL RIO,102,316,40600,32031,1504,987,1507,2035,2261,2536,8964,1275,,703,,,,98,661,,30,,,,,,,,,,,101,95192,3195,98488,183073,0.5380
22,QUERETARO,17,TEQUISQUIAPAN,30,81,5279,8152,710,1211,560,11173,988,1875,,200,,,,,,,,230,295,,,,,,,,,,,18,30673,1212,31903,47927,0.6657
22,QUERETARO,18,TOLIMAN,13,34,1826,2380,1022,158,2446,2406,123,199,490,113,,,,,,,,,,,,487,,1518,,,,,,0,13168,625,13793,18529,0.7444
