CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,PAN_PRD,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,1,10,381,582,313,721,38,91,70,505,386,89,7,107,0,1,3,3291,139,3433,7345
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,4,3,189,217,76,151,10,40,15,150,94,32,3,12,0,0,1,989,47,1037,2141
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,5,6,304,297,127,289,40,61,27,322,156,55,1,17,0,0,9,1696,66,1771,3956
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,6,2,66,57,25,79,4,14,3,52,20,12,0,6,0,0,3,338,11,352,873
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,7,3,99,145,85,137,16,19,11,126,59,11,1,20,1,1,2,731,42,775,1606
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,8,2,54,85,28,172,4,4,7,34,28,1,3,13,0,0,2,433,18,453,905
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,9,2,42,66,29,113,7,17,9,49,29,2,1,17,0,0,0,381,15,396,810
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,10,1,28,52,23,148,9,7,6,37,34,3,1,13,0,0,0,361,13,374,719
1,23,QUINTANA ROO,2,CANCÚN,1,BENITO JUÁREZ,13,3,117,291,69,149,74,25,17,180,113,19,10,18,0,0,2,1082,48,1132,2141
1,23,QUINTANA ROO,2,CANCÚN,1,BENITO JUÁREZ,14,5,222,300,111,159,56,49,35,350,148,35,10,25,1,0,3,1501,84,1588,3593
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,15,4,199,231,80,162,35,41,33,233,159,43,7,13,0,1,4,1237,50,1291,2754
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,16,11,598,608,257,465,98,92,95,692,327,80,20,67,1,0,7,3400,139,3546,7503
