ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,PAN_PRD,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
23,QUINTANA ROO,1,BENITO JUÁREZ,448,908,44273,40356,14785,48367,5069,7980,5465,37146,22941,5327,1062,5054,83,80,407,237988,9838,248233,520173,0.4772
23,QUINTANA ROO,2,COZUMEL,22,98,17504,13715,1014,1047,265,542,324,1945,676,1639,111,421,7,8,16,39218,954,40188,63872,0.6292
23,QUINTANA ROO,3,FELIPE CARRILLO PUERTO,35,88,4491,11169,7501,1145,371,125,1138,2843,1746,2241,0,0,0,0,7,32770,2101,34878,48700,0.7162
23,QUINTANA ROO,4,ISLA MUJERES,10,28,4247,3948,221,404,92,71,111,768,164,351,30,151,4,0,5,10562,248,10815,16921,0.6391
23,QUINTANA ROO,5,JOSÉ MARÍA MORELOS,22,44,1923,7338,3038,633,301,236,710,742,2933,486,210,81,7,4,9,18642,1041,19692,24212,0.8133
23,QUINTANA ROO,6,LÁZARO CÁRDENAS,14,36,4613,5487,705,406,233,132,472,669,754,280,85,153,14,3,10,14006,442,14458,18720,0.7723
23,QUINTANA ROO,7,OTHÓN P. BLANCO,160,295,41578,26010,5758,2476,1829,1316,1997,10026,3289,6794,336,524,33,5,58,101971,3149,105178,160940,0.6535
23,QUINTANA ROO,8,SOLIDARIDAD,157,291,13998,16726,6915,2804,857,1353,1351,14976,2437,2947,153,411,21,6,77,64955,2665,67697,163475,0.4141
23,QUINTANA ROO,9,TULUM,41,56,2050,6151,2457,672,249,189,188,1734,429,991,115,259,11,2,11,15497,560,16068,24902,0.6452
23,QUINTANA ROO,10,BACALAR,25,52,1741,4905,1735,490,4307,203,1447,1449,143,342,280,116,58,17,10,17233,936,18179,27319,0.6654
23,QUINTANA ROO,11,PUERTO MORELOS,4,21,1800,1967,512,1150,246,643,79,1331,191,385,43,113,4,0,5,8464,329,8798,14063,0.6256
