id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,id_casilla,tipo_casilla,descripcion,ext_contigua,id_municipio,nombre_municipio,lista_nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,descripcion,seccion,PAN,PRI,PRD,PT,PVEM,PC,PSD,PRI-PANAL-PVEM,Nulos,Total
26,5/7/2009,12,Ayuntamientos,26,0,1,B,Basica,0,2,AGUA PRIETA,653,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,25,86,0,6,7,0,17,140,59,8,323
26,5/7/2009,12,Ayuntamientos,26,0,1,B,Basica,0,2,AGUA PRIETA,129,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,27,19,0,5,2,0,2,36,20,4,88
26,5/7/2009,12,Ayuntamientos,26,0,1,B,Basica,0,15,CANANEA,506,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,72,128,0,11,0,0,18,0,136,5,298
26,5/7/2009,12,Ayuntamientos,26,0,1,C,Contigua,0,15,CANANEA,1013,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,72,210,0,41,0,0,19,0,283,14,567
26,5/7/2009,12,Ayuntamientos,26,0,1,B,Basica,0,15,CANANEA,577,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,74,90,0,34,0,0,14,0,165,4,307
26,5/7/2009,12,Ayuntamientos,26,0,1,C,Contigua,0,15,CANANEA,1155,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,74,205,0,53,0,0,16,0,317,15,606
26,5/7/2009,12,Ayuntamientos,26,0,1,B,Basica,0,8,BACANORA,527,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,48,129,0,0,0,0,0,0,262,21,412
26,5/7/2009,12,Ayuntamientos,26,0,1,B,Basica,0,12,BAVIACORA,739,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,59,248,0,11,0,0,0,0,315,21,595
26,5/7/2009,12,Ayuntamientos,26,0,1,E,Extraordinaria,0,12,BAVIACORA,359,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,63,168,0,1,0,0,0,0,118,10,297
26,5/7/2009,12,Ayuntamientos,26,0,1,B,Basica,0,2,AGUA PRIETA,809,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,5,149,0,5,1,0,18,118,113,4,408
26,5/7/2009,12,Ayuntamientos,26,0,1,C,Contigua,0,2,AGUA PRIETA,639,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,8,196,0,16,8,0,24,227,151,8,630
26,5/7/2009,12,Ayuntamientos,26,0,2,C,Contigua,0,2,AGUA PRIETA,1357,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,10,225,0,4,6,0,45,223,160,8,671
26,5/7/2009,12,Ayuntamientos,26,0,1,B,Basica,0,2,AGUA PRIETA,1472,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,13,160,0,8,7,0,47,246,121,15,604
26,5/7/2009,12,Ayuntamientos,26,0,1,B,Basica,0,2,AGUA PRIETA,784,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,16,107,0,4,7,0,57,204,50,15,444
26,5/7/2009,12,Ayuntamientos,26,0,4,C,Contigua,0,2,AGUA PRIETA,1440,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,20,153,0,24,15,0,38,288,109,10,637
26,5/7/2009,12,Ayuntamientos,26,0,1,C,Contigua,0,2,AGUA PRIETA,662,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,22,82,0,1,6,0,21,145,65,8,328
26,5/7/2009,12,Ayuntamientos,26,0,2,C,Contigua,0,2,AGUA PRIETA,662,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,22,60,0,5,7,0,24,150,60,7,313
26,5/7/2009,12,Ayuntamientos,26,0,1,B,Basica,0,2,AGUA PRIETA,675,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,23,72,0,7,14,0,40,129,79,3,344
26,5/7/2009,12,Ayuntamientos,26,0,1,C,Contigua,0,30,NOGALES,1110,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,193,178,145,7,3,24,11,0,0,4,372
26,5/7/2009,12,Ayuntamientos,26,0,1,B,Basica,0,30,NOGALES,683,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,197,114,99,6,0,6,3,0,0,7,235
26,5/7/2009,12,Ayuntamientos,26,0,1,B,Basica,0,15,CANANEA,899,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,81,202,0,11,0,0,31,0,224,21,489
