NOMBRE,SECCION,CASILLAS,LISTADONOMINAL,PAN,PRI,PRD,PT,PV,PC,PSD,Alianza,PRI-Alianza,PRD-PT,VALIDOS,NULOSNOREGISTRADOS,TOTAL
ACATLAN,1,0001B,728,176,,16,2,0,0,6,,217,,417,5,422
ACATLAN,1,0001C1,728,200,,17,0,0,0,6,,172,,395,9,404
ACATLAN,2,0002B,458,156,,10,0,0,0,2,,79,,247,7,254
ACATLAN,2,0002C1,459,136,,5,0,0,0,1,,82,,224,9,233
ACATLAN,3,0003B,275,41,,11,0,0,0,2,,104,,158,4,162
ACATLAN,4,0004B,229,41,,7,0,1,0,2,,88,,139,90,229
ACATLAN,5,0005B,677,140,,39,0,0,0,5,,185,,369,25,394
ACATLAN,5,0005X,218,78,,4,0,0,0,0,,49,,131,8,139
ACATLAN,6,0006B,450,27,,10,0,0,0,2,,136,,175,7,182
ACATLAN,6,0006X,414,95,,12,0,0,0,1,,76,,184,5,189
ACATLAN,6,0006X1,415,84,,9,0,0,0,3,,112,,208,8,216
ACATLAN,7,0007B,635,201,,5,0,0,0,3,,138,,347,11,358
ACATLAN,7,0007C1,636,168,,5,0,0,0,5,,166,,344,9,353
ACATLAN,8,0008B,569,157,,8,0,0,0,7,,109,,281,5,286
ACATLAN,8,0008C1,569,154,,14,0,0,0,4,,103,,275,3,278
ACATLAN,8,0008C2,569,130,,10,0,0,0,1,,99,,240,10,250
ACATLAN,9,0009B,747,271,,40,0,0,0,12,,104,,427,0,427
ACATLAN,9,0009C1,748,224,,32,0,0,0,11,,100,,367,10,377
ACATLAN,9,0009C2,748,251,,22,0,0,0,3,,100,,376,11,387
ACATLAN,10,0010B,505,130,,11,0,0,0,15,,120,,276,8,284
ACATLAN,10,0010C1,505,150,,24,0,0,0,11,,96,,281,14,295
ACATLAN,10,0010C2,506,121,,15,0,0,0,17,,132,,285,13,298
ACATLAN,11,0011B,616,192,,18,0,0,0,3,,107,,320,8,328
ACATLAN,11,0011C1,617,191,,9,0,0,0,3,,89,,292,0,292
ACATLAN,11,0011C2,617,199,,22,0,0,0,3,,95,,319,9,328
ACATLAN,12,0012B,624,131,,7,1,4,1,2,,112,,258,12,270
ACATLAN,12,0012C1,624,141,,12,0,0,0,6,,104,,263,13,276
ACAXOCHITLAN,13,0013B,637,102,143,85,5,9,8,2,0,,,354,9,363
ACAXOCHITLAN,13,0013C1,637,98,159,72,6,6,2,4,0,,,347,8,355
ACAXOCHITLAN,13,0013C2,638,104,156,77,9,15,1,1,0,,,363,9,372
ACAXOCHITLAN,14,0014B,525,71,108,79,9,5,8,0,0,,,280,248,528
ACAXOCHITLAN,14,0014C1,526,93,93,99,4,3,1,2,0,,,295,4,299
ACAXOCHITLAN,14,0014C2,526,91,105,73,7,6,4,2,0,,,288,14,302
ACAXOCHITLAN,15,0015B,482,48,68,79,7,13,14,1,0,,,230,9,239
ACAXOCHITLAN,16,0016B,660,79,183,22,3,24,24,9,0,,,344,18,362
ACAXOCHITLAN,17,0017B,736,147,158,15,3,6,4,3,0,,,336,17,353
ACAXOCHITLAN,18,0018B,253,26,41,5,0,3,2,0,0,,,77,14,91
ACAXOCHITLAN,19,0019B,440,27,124,33,4,1,2,0,0,,,191,9,200
ACAXOCHITLAN,19,0019C1,440,45,119,18,1,4,4,0,0,,,191,12,203
ACAXOCHITLAN,20,0020B,599,57,76,16,2,7,19,3,2,,,182,19,201
ACAXOCHITLAN,20,0020C1,599,49,81,26,6,4,14,1,0,,,181,23,204
ACAXOCHITLAN,21,0021B,514,56,63,7,1,9,16,1,0,,,153,8,161
ACAXOCHITLAN,21,0021C1,514,50,76,20,4,7,18,2,0,,,177,9,186
ACAXOCHITLAN,21,0021C2,514,45,52,23,4,7,19,1,1,,,152,10,162
ACAXOCHITLAN,22,0022B,714,18,150,108,4,23,41,14,0,,,358,18,376
ACAXOCHITLAN,22,0022C1,715,12,159,107,5,32,45,3,0,,,363,19,382
ACAXOCHITLAN,23,0023B,611,52,195,36,5,26,10,6,1,,,331,9,340
ACAXOCHITLAN,23,0023C1,612,55,157,27,5,33,7,9,0,,,293,9,302
ACAXOCHITLAN,23,0023C2,612,50,175,25,7,40,9,8,1,,,315,13,328
ACAXOCHITLAN,24,0024B,666,54,173,73,7,33,10,6,0,,,356,6,362
ACAXOCHITLAN,24,0024C1,667,47,147,83,7,28,6,1,0,,,319,4,323
ACAXOCHITLAN,24,0024C2,667,56,141,84,9,22,10,1,0,,,323,7,330
ACAXOCHITLAN,25,0025B,678,97,123,90,12,4,3,2,0,,,331,5,336
ACAXOCHITLAN,25,0025C1,679,127,107,101,14,8,2,3,0,,,362,6,368
ACAXOCHITLAN,26,0026B,729,116,128,53,8,14,0,3,2,,,324,5,329
ACAXOCHITLAN,27,0027B,614,59,145,27,4,85,3,1,0,,,324,16,340
ACAXOCHITLAN,27,0027C1,614,41,159,16,4,107,3,1,0,,,331,16,347
ACAXOCHITLAN,27,0027C2,615,60,154,18,8,104,1,1,1,,,347,3,350
ACAXOCHITLAN,27,0027C3,615,54,102,15,4,128,0,4,0,,,307,22,329
ACAXOCHITLAN,28,0028B,428,15,123,32,14,49,2,0,0,,,235,0,235
ACAXOCHITLAN,28,0028C1,429,20,94,34,8,44,4,1,0,,,205,13,218
ACAXOCHITLAN,29,0029B,721,21,157,220,10,11,1,1,0,,,421,11,432
ACAXOCHITLAN,29,0029C1,722,37,181,157,5,11,3,2,0,,,396,10,406
ACAXOCHITLAN,30,0030B,631,70,65,49,14,52,18,6,0,,,274,13,287
ACAXOCHITLAN,30,0030C1,631,60,60,39,13,50,27,8,0,,,257,8,265
ACAXOCHITLAN,30,0030C2,631,68,43,53,11,36,18,4,0,,,233,22,255
ACAXOCHITLAN,31,0031B,573,49,42,18,5,24,34,8,0,,,180,20,200
ACAXOCHITLAN,31,0031C1,574,44,56,29,6,17,28,3,0,,,183,18,201
ACAXOCHITLAN,32,0032B,699,111,101,104,20,13,1,1,0,,,351,348,699
ACAXOCHITLAN,32,0032C1,699,88,120,99,17,22,2,3,0,,,351,5,356
ACAXOCHITLAN,33,0033B,419,34,99,70,4,4,1,2,0,,,214,12,226
ACAXOCHITLAN,33,0033C1,419,33,100,74,3,0,1,3,0,,,214,5,219
ACTOPAN,34,0034B,603,11,,68,2,0,10,10,,147,,248,7,255
ACTOPAN,34,0034C1,603,10,,65,3,1,10,6,,146,,241,5,246
ACTOPAN,34,0034C2,603,8,,68,0,0,11,7,,152,,246,6,252
ACTOPAN,34,0034C3,603,12,,49,1,0,11,15,,134,,222,2,224
ACTOPAN,34,0034C4,604,16,,53,0,0,9,8,,139,,225,6,231
ACTOPAN,35,0035B,566,7,,46,3,0,17,5,,135,,213,7,220
ACTOPAN,35,0035C1,566,14,,73,3,0,23,7,,111,,231,4,235
ACTOPAN,35,0035C2,566,13,,58,3,1,11,10,,150,,246,3,249
ACTOPAN,36,0036B,544,18,,57,4,0,7,9,,125,,220,7,227
ACTOPAN,36,0036C1,544,12,,45,3,0,9,13,,142,,224,6,230
ACTOPAN,37,0037B,604,15,,58,3,0,7,8,,146,,237,6,243
ACTOPAN,37,0037C1,604,18,,65,3,0,12,11,,133,,242,2,244
ACTOPAN,37,0037C2,604,15,,78,2,0,10,6,,152,,263,8,271
ACTOPAN,38,0038B,656,11,,71,2,0,22,20,,146,,272,4,276
ACTOPAN,38,0038C1,657,6,,88,1,0,21,23,,176,,315,3,318
ACTOPAN,39,0039B,585,7,,75,0,0,17,7,,155,,261,4,265
ACTOPAN,39,0039C1,586,14,,79,1,0,21,7,,135,,257,7,264
ACTOPAN,39,0039C2,586,15,,65,2,0,18,8,,165,,273,6,279
ACTOPAN,40,0040B,675,13,,59,2,0,15,8,,173,,270,6,276
ACTOPAN,40,0040C1,675,17,,65,0,0,20,12,,188,,302,6,308
ACTOPAN,40,0040C2,675,19,,67,0,0,17,12,,196,,311,1,312
ACTOPAN,41,0041B,573,7,,59,2,0,11,19,,117,,215,4,219
ACTOPAN,41,0041C1,573,13,,76,0,0,7,7,,104,,207,2,209
ACTOPAN,42,0042B,498,6,,42,1,1,8,10,,128,,196,3,199
ACTOPAN,42,0042C1,498,11,,57,3,0,7,2,,119,,199,1,200
ACTOPAN,43,0043B,667,8,,68,5,0,14,7,,207,,309,3,312
ACTOPAN,43,0043C1,667,9,,74,4,0,20,5,,190,,302,5,307
ACTOPAN,44,0044B,605,16,,86,9,0,11,9,,145,,276,4,280
ACTOPAN,44,0044C1,605,10,,108,2,0,19,7,,136,,282,4,286
ACTOPAN,44,0044C2,606,15,,90,1,0,16,10,,146,,278,4,282
ACTOPAN,45,0045B,628,13,,79,3,0,11,18,,170,,294,7,301
ACTOPAN,45,0045C1,629,10,,78,2,0,18,15,,186,,309,8,317
ACTOPAN,46,0046B,746,17,,89,2,0,16,6,,213,,343,5,348
ACTOPAN,46,0046C1,747,15,,66,2,0,12,14,,203,,312,7,319
ACTOPAN,47,0047B,582,6,,60,3,0,12,6,,174,,261,5,266
ACTOPAN,47,0047C1,583,5,,75,2,0,10,7,,185,,284,0,284
ACTOPAN,48,0048B,252,1,,3,0,0,1,53,,79,,137,4,141
ACTOPAN,49,0049B,247,1,,17,3,1,1,3,,87,,113,5,118
ACTOPAN,50,0050B,100,1,,7,1,0,1,3,,25,,38,1,39
ACTOPAN,51,0051B,241,2,,7,1,0,12,1,,82,,105,3,108
ACTOPAN,52,0052B,442,5,,35,0,0,7,6,,87,,140,3,143
ACTOPAN,52,0052C1,442,2,,33,0,0,4,4,,95,,138,14,152
ACTOPAN,53,0053B,431,4,,59,0,0,6,4,,128,,201,2,203
ACTOPAN,54,0054B,607,8,,40,4,1,12,4,,110,,179,3,182
ACTOPAN,54,0054C1,607,5,,39,1,0,5,11,,85,,146,0,146
ACTOPAN,55,0055B,550,8,,25,4,0,10,13,,189,,249,2,251
ACTOPAN,55,0055C1,551,12,,40,1,2,1,18,,152,,226,6,232
ACTOPAN,56,0056B,305,1,,83,3,0,2,4,,103,,196,5,201
ACTOPAN,57,0057B,707,8,,95,5,3,9,9,,202,,331,13,344
ACTOPAN,58,0058B,447,6,,70,2,2,14,33,,112,,239,6,245
ACTOPAN,59,0059B,578,9,,32,0,0,3,6,,231,,281,1,282
ACTOPAN,60,0060B,597,7,,100,3,0,5,11,,126,,252,4,256
ACTOPAN,60,0060C1,597,8,,84,2,0,9,6,,149,,258,5,263
ACTOPAN,60,0060C2,598,12,,80,3,0,9,10,,155,,269,8,277
ACTOPAN,61,0061B,599,22,,57,1,0,12,5,,186,,283,8,291
ACTOPAN,62,0062B,616,11,,98,3,4,15,15,,123,,269,0,269
ACTOPAN,62,0062C1,616,6,,95,2,2,17,3,,115,,240,6,246
