ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PAS,MORENA,ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,C_COMUN_PRI_PVEM,C_COMUN_MC_PAS,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
25,SINALOA,1,AHOME,455,638,36452,45454,4593,3084,3048,1380,16467,19550,9210,1939,,,,,,245,1481,1685,1872,1862,,,,,,,,,,,,,,,,172,148322,5061,153555,307269,0.4997
25,SINALOA,2,ANGOSTURA,106,108,1158,7946,2584,123,653,212,471,8469,400,441,,,,,,173,,,,,,,407,,,,,,,,,,,,,11,23037,661,23709,35327,0.6711
25,SINALOA,3,BADIRAGUATO,65,67,587,6524,1900,670,570,499,570,1277,40,63,,,,,,16,,,,,,,,,,,,,,,,,,,,2,12716,602,13320,22191,0.6002
25,SINALOA,7,CHOIX,71,74,8167,5885,609,49,24,46,262,266,34,10,,,,,,2,,,,,,,,,,,,,,,,,,,,1,15354,321,15676,23430,0.6691
25,SINALOA,4,CONCORDIA,46,49,1408,4549,254,316,237,104,2539,1514,360,79,,,,,,4,,,,,,,,,,,,,,,,,,,61,4,11425,488,11917,20934,0.5693
25,SINALOA,5,COSALA,34,37,536,2636,124,297,32,16,150,3923,46,0,,,,,,12,,,,,,,,,,,,,,,,,,,,2,7772,244,8018,11881,0.6749
25,SINALOA,6,CULIACAN,1013,1396,38105,96612,7967,3855,6409,3199,6258,56657,18415,5563,302,282,77,20,,532,,,,,,,,1444,2203,2787,383,2594,8112,1629,,,,,,431,263405,10381,274217,653066,0.4199
25,SINALOA,10,EL FUERTE,176,184,7946,14133,859,764,4808,422,1132,8086,1008,1084,,,,,,80,,,,,,,,,,,,,,,,,,,,4,40322,1187,41513,71498,0.5806
25,SINALOA,8,ELOTA,60,73,2400,6887,269,78,180,241,271,5696,167,0,,,,,,31,,,,,,,,,,,,,,,,,,,,3,16220,443,16666,28191,0.5912
25,SINALOA,9,ESCUINAPA,64,84,6920,6523,1525,272,129,2926,727,1552,1075,149,47,23,25,6,,39,,,,,,,,,,,,,,,,,,,,9,21938,705,22652,39585,0.5722
25,SINALOA,11,GUASAVE,438,496,20629,57633,3565,2283,2416,1237,2656,17683,3591,1426,58,63,32,12,101,124,,,,,1368,658,,,,,,,,,,,,,,97,115535,3252,118884,204240,0.5821
25,SINALOA,12,MAZATLAN,501,695,35308,42373,2202,7554,3351,1906,2355,19386,10340,1788,225,349,49,18,,163,,,,,,,,,,,,,,,808,2576,691,3084,929,279,135455,5394,141128,334891,0.4214
25,SINALOA,13,MOCORITO,131,117,1170,9122,249,115,104,386,268,8252,309,249,,,,,,58,,,,,,,,,,,,,,,,,,,,8,20282,569,20859,35020,0.5956
25,SINALOA,18,NAVOLATO,174,218,4120,17863,908,457,7327,1028,1433,14812,2555,987,,,,,,34,,,,,,,,,,,,,,,,,,,,18,51524,1554,53096,100611,0.5277
25,SINALOA,14,ROSARIO,88,97,8577,6681,2957,76,82,60,599,2663,451,143,58,27,50,4,,5,,,,,,,,,,,,,,,,,,,,2,22433,578,23013,37364,0.6159
25,SINALOA,15,SALVADOR ALVARADO,149,164,5034,12956,1099,428,395,348,1355,5711,762,1628,,,,,,29,,,,,,,2233,,,,,,,,,,,,,16,31978,872,32866,59680,0.5507
25,SINALOA,16,SAN IGNACIO,44,46,384,3821,174,31,55,35,956,4172,188,0,,,,,,18,,,,,,,,,,,,,,,,,,,,5,9834,334,10173,16471,0.6176
25,SINALOA,17,SINALOA,189,188,2452,18999,840,211,983,232,415,10359,592,186,,,,,,45,,,,,,,,,,,,,,,,,,,,12,35314,1233,36559,62859,0.5816
