ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,NVA_ALIANZA,MORENA,ES,PRI_PVEM_NVA_ALIANZA,C_COMUN_PRI_PVEM,C_COMUN_MC_PAS,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
25,SINALOA,1,EL FUERTE,247,258,16113,20018,1468,813,4832,1394,1042,1094,,,8902,,,,,,,,,,,,,,,,,,,,5,55676,1508,57189,94928,0.6024
25,SINALOA,2,LOS MOCHIS,109,163,8989,11611,911,549,1085,4314,2737,463,,,6449,1481,1685,,,,,,,,,,,,,,,,,,44,40274,1408,41726,83631,0.4989
25,SINALOA,3,LOS MOCHIS,151,180,8507,16532,1867,371,890,6224,1968,277,,,6808,,,,,,,,,,,,,,,,,,,,11,43444,1481,44936,82231,0.5465
25,SINALOA,4,LOS MOCHIS,160,191,10463,14353,1128,739,714,2790,2689,937,,,7479,,,,,,,,,,,,,,,,,,,,100,41292,1367,42759,85626,0.4994
25,SINALOA,5,LOS MOCHIS,87,163,10630,9141,1171,1534,480,3445,2303,390,,,3574,,,1872,1862,,,,,,,,,,,,,,,,23,36402,1145,37570,81752,0.4596
25,SINALOA,6,SINALOA DE LEYVA,228,229,3606,23100,1041,332,1979,747,860,492,,,12209,,,,,,,,,,,,,,,,,,,,23,44366,1623,46012,78892,0.5832
25,SINALOA,7,GUASAVE,180,205,9644,,1226,1134,,,1503,606,25716,,5933,,,,,1368,,,,,,,,,,,,,,,55,47130,1251,48436,81359,0.5953
25,SINALOA,8,GUASAVE,167,191,7757,,1657,923,,1194,1351,388,,24152,8438,,,,,,658,,,,,,,,,,,,,,25,46518,1278,47821,80877,0.5913
25,SINALOA,9,GUAMUCHIL,255,272,6154,20764,3675,546,1044,1809,1142,2049,,,14829,,,,,,,2611,,,,,,,,,,,,,26,54623,1525,56174,95007,0.5913
25,SINALOA,10,MOCORITO,243,237,2764,20929,2517,902,2755,1038,931,534,,,14397,,,,,,,,,,,,,,,,,,,,10,46767,1585,48362,80627,0.5998
25,SINALOA,11,NAVOLATO,127,165,3113,12580,540,340,5246,1233,1973,765,,,11965,,,,,,,,,,,,,,,,,,,,18,37755,1140,38913,77195,0.5041
25,SINALOA,12,CULIACAN DE ROSALES,66,156,5796,13348,938,386,1125,1320,2890,725,,,9472,,,,,,,,1444,2203,,,,,,,,,,,69,39647,1545,41261,90143,0.4577
25,SINALOA,13,CULIACAN DE ROSALES,161,205,5385,,892,445,,,2832,581,19464,,7840,,,,,,,,,,2787,383,,,,,,,,,95,40609,1513,42217,95533,0.4419
25,SINALOA,14,CULIACAN DE ROSALES,270,293,8784,,875,484,,,3124,545,16491,,8384,,,,,,,,,,,,2594,8112,,,,,,,58,49393,1803,51254,102901,0.4981
25,SINALOA,15,CULIACAN DE ROSALES,78,151,4456,,1093,574,,,2849,623,10906,,7030,,,,,,,,,,,,,,1629,,,,,,69,29160,1151,30380,80047,0.3795
25,SINALOA,16,CULIACAN DE ROSALES,55,128,4113,8630,701,848,742,753,2197,937,,,6192,,,,,,,,,,,,,,,,,,,,46,25113,1119,26278,78013,0.3368
25,SINALOA,17,CULIACAN DE ROSALES,155,192,3837,12216,1241,541,756,831,2744,1633,,,7440,,,,,,,,,,,,,,,,,,,,54,31239,1524,32817,91431,0.3589
25,SINALOA,18,CULIACAN DE ROSALES,179,213,4519,14542,1536,446,1239,1070,1588,519,,,10323,,,,,,,,,,,,,,,,,,,,31,35782,1374,37187,88567,0.4199
25,SINALOA,19,LA CRUZ,187,214,4535,19159,1258,537,761,1595,592,,,,16851,,,,,,,,,,,,,,,,,,,,19,45288,1373,46680,82974,0.5626
25,SINALOA,20,MAZATLAN,94,167,7440,,572,4091,,,2333,377,11623,,5692,,,,,,,,,,,,,,,808,,,,,92,32936,1240,34268,89493,0.3829
25,SINALOA,21,MAZATLAN,76,153,8709,,761,886,,,2888,536,10967,,5727,,,,,,,,,,,,,,,,2576,691,,,31,33741,1222,34994,85348,0.4100
25,SINALOA,22,MAZATLAN,189,214,10565,,496,1586,,,3366,458,14973,,6231,,,,,,,,,,,,,,,,,,3084,,104,40759,1623,42486,95101,0.4467
25,SINALOA,23,MAZATLAN,188,210,10002,14227,627,1307,1106,3149,2113,496,,,5427,,,,,,,,,,,,,,,,,,,990,56,39444,1797,41297,85883,0.4809
25,SINALOA,24,EL ROSARIO,152,181,15497,,4482,348,,,1526,292,14981,,7245,,,,,,,,,,,,,,,,,,,,11,44371,1283,45665,76949,0.5934
