ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN_UDC_PPC_ES,PRI_PVEM_NVA_ALIANZA_PSI_PJ_PRC_PCP,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,SI,PJ,PRC,PCP,MORENA,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
5,COAHUILA,1,ABASOLO,2,2,319,437,,,,,,,,,,,23,,,,,,,,,,,,,,,0,779,11,790,1096,0.7208
5,COAHUILA,2,ACUÑA,64,173,33020,19306,,3095,501,,,,,,,,1915,,,,,,,,,,,,,,,15,57837,1009,58861,112033,0.5254
5,COAHUILA,3,ALLENDE,15,32,5715,,3860,37,289,,,567,16,,,,206,,,,,,,,,,,,,,,0,10690,179,10869,19054,0.5704
5,COAHUILA,4,ARTEAGA,21,37,1612,6550,,335,247,,55,,,,,,245,3066,,,,,,,,,,,,,,4,12110,361,12475,18604,0.6706
5,COAHUILA,5,CANDELA,3,4,614,667,,,,,,,,,,,2,,,,,,,,,,,,,,,0,1283,11,1294,1681,0.7698
5,COAHUILA,6,CASTAÑOS,23,40,2650,5668,,3413,238,,32,,,,,,616,,,,,,,,,,,,,,,2,12617,202,12821,21467,0.5972
5,COAHUILA,7,CUATROCIENEGAS,14,23,2005,2851,,291,103,,686,,,,,,126,,77,,,,,,,,,,,,,1,6139,91,6231,10008,0.6226
5,COAHUILA,8,ESCOBEDO,4,6,33,866,,593,,,,,,,,,199,,,,,,,,,,,,,,,0,1691,27,1718,2479,0.6930
5,COAHUILA,9,FRANCISCO I.MADERO,42,76,6850,,9202,452,140,1142,102,396,265,6614,344,52,1865,,,,,,,,,,,,,,,4,27424,557,27985,43557,0.6425
5,COAHUILA,10,FRONTERA,41,95,9702,,12446,422,2698,571,192,603,242,453,,,3229,,,183,188,1987,,,,,,,,,,13,32916,468,33397,60794,0.5493
5,COAHUILA,11,GRAL. CEPEDA,16,20,2594,,2089,53,,,22,111,,72,15,835,452,,,,,,,,,,,,,,,1,6243,162,6406,9565,0.6697
5,COAHUILA,12,GUERRERO,5,5,591,578,,,,,,,,,,,26,,,,,,,,,,,,,,,0,1195,19,1214,1797,0.6756
5,COAHUILA,13,HIDALGO,2,3,326,509,,,,,,,,,,,0,,,,,,,,,,,,,,,0,835,12,847,1160,0.7302
5,COAHUILA,14,JIMENEZ,10,15,1447,,1679,111,759,,,,193,722,,,136,,,,,,,,,,,,,,,1,5047,149,5197,8318,0.6248
5,COAHUILA,15,JUAREZ,4,4,81,457,,379,,,56,,,,,,2,,,,,,,,,,,,,,,0,975,18,993,1433,0.6930
5,COAHUILA,16,LAMADRID,2,3,676,547,,4,,,,,,,,,30,,,,,,,,,,,,,,,0,1257,18,1275,1631,0.7817
5,COAHUILA,17,MATAMOROS,62,134,20357,24248,,638,503,,,,,,,,2921,,,,,,5051,241,,,,,,,,1,53959,906,54866,82229,0.6672
5,COAHUILA,18,MONCLOVA,124,282,37404,,31592,695,1971,1637,554,1092,730,,172,,13356,,,,,,,,7287,,,,,,,58,96490,1257,97805,173863,0.5625
5,COAHUILA,19,MORELOS,6,12,1596,1762,,557,154,,,,,,,,118,,,,,,,,,,,,,,,2,4187,67,4256,6756,0.6300
5,COAHUILA,20,MUZQUIZ,48,91,10366,13694,,164,554,,2948,,,,,,2148,,,,,,,,,,,,,,,4,29874,646,30524,54044,0.5648
5,COAHUILA,21,NADADORES,8,12,1000,,1657,22,490,,5,134,,90,,,60,,,,,,,,,,,,,,,0,3458,149,3607,5292,0.6816
5,COAHUILA,22,NAVA,15,34,3890,6165,,148,178,,127,,,,,,758,,,,,,,,,,,,,,,2,11266,210,11478,20513,0.5595
5,COAHUILA,23,OCAMPO,13,19,597,1644,,64,,,1739,,,,,,228,,,,,,,,,,,,,,,0,4272,112,4384,7878,0.5565
5,COAHUILA,24,PARRAS,34,65,1912,,,251,260,6225,83,3664,815,122,,6037,424,,,,,,,,,,,,,,,1,19793,668,20462,35742,0.5725
5,COAHUILA,25,PIEDRAS NEGRAS,87,207,16984,24476,,678,670,,322,,,,,,2710,,,,,,,,,18698,,,,,,31,64538,983,65552,128598,0.5097
5,COAHUILA,26,PROGRESO,6,6,152,1071,,177,,,,,,,,,631,,,,,,,,,,,,,,,0,2031,30,2061,3017,0.6831
5,COAHUILA,27,RAMOS ARIZPE,35,100,6549,15829,,1786,357,,,,,,,,1711,,,,,,,,,,5109,,,,,8,31341,691,32040,62617,0.5117
5,COAHUILA,28,SABINAS,37,85,16166,11561,,62,95,,,,,,,,782,,,,,,,,,,,516,,,,6,29182,441,29629,51028,0.5806
5,COAHUILA,29,SACRAMENTO,2,4,410,723,,3,74,,,,,,,,41,,,,,,,,,,,,291,,,0,1542,34,1576,1984,0.7944
5,COAHUILA,30,SALTILLO,378,923,102936,149764,,3476,4638,,1088,,,,,,27059,,,,,,,,,,,,,10372,7908,145,307241,5655,313041,579755,0.5400
5,COAHUILA,31,SAN BUENAVENTURA,17,31,2505,4638,,96,299,,,2006,,,,,1584,,,,,,,,,,,,,,,3,11128,116,11247,18207,0.6177
5,COAHUILA,32,SAN JUAN DE SABINAS,33,63,11930,7194,,39,200,,236,,,,,,1100,,,,,,,,,,,,,,,0,20699,274,20973,35176,0.5962
5,COAHUILA,33,SAN PEDRO,75,133,17413,18839,,1364,1021,,4615,,,,,,2632,,,,,,,,,,,,,,,16,45884,1240,47140,75444,0.6248
5,COAHUILA,34,SIERRA MOJADA,5,9,856,827,,,,,283,,,,,,133,,,,,,,,,,,,,,,0,2099,31,2130,4140,0.5145
5,COAHUILA,35,TORREON,367,819,138328,111498,,7994,4013,,1868,,,,,,27493,,,,,,,,,,,,,,,104,291194,4249,295547,509526,0.5800
5,COAHUILA,36,VIESCA,22,30,3163,,4502,750,,80,,173,55,440,619,33,359,,,,,,,,,,,,,,,0,10174,205,10379,15628,0.6641
5,COAHUILA,37,VILLA UNION,7,10,1129,1383,,518,,,,,,,,,57,,,,,,,,,,,,,,,2,3087,90,3179,5317,0.5979
5,COAHUILA,38,ZARAGOZA,13,20,1816,,2401,1628,,,,74,50,23,,,271,,,,,,,,,,,,,,,3,6263,142,6408,10695,0.5992
