id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,seccion,id_casilla,tipo_casilla,descripcion,ext_contigua,id_municipio,nombre_municipio,lista_nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,descripcion,seccion,PAN,PRI,PRD,PT,PVEM,PSN,PC,PAS,PRI-PVEM,Nulos,Total
13,10/11/2002,12,Ayuntamientos,13,0,659,1,B,Basica,0,35,LOLOTLA,706,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,659,7,0,227,138,0,0,0,0,154,17,543
13,10/11/2002,12,Ayuntamientos,13,0,666,1,B,Basica,0,36,METEPEC,173,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,666,27,87,0,0,6,0,0,0,0,53,173
13,10/11/2002,12,Ayuntamientos,13,0,667,1,C,Contigua,0,36,METEPEC,483,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,667,216,73,0,0,4,0,0,0,0,9,302
13,10/11/2002,12,Ayuntamientos,13,0,671,1,B,Basica,0,36,METEPEC,384,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,671,49,168,0,0,0,0,0,0,0,7,224
13,10/11/2002,12,Ayuntamientos,13,0,671,1,C,Contigua,0,36,METEPEC,384,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,671,44,183,0,0,3,0,0,0,0,6,236
13,10/11/2002,12,Ayuntamientos,13,0,690,1,B,Basica,0,37,METZTITLAN,248,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,690,0,0,0,0,0,0,0,0,137,4,141
13,10/11/2002,12,Ayuntamientos,13,0,692,1,B,Basica,0,37,METZTITLAN,250,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,692,0,0,0,0,0,0,0,0,143,18,161
13,10/11/2002,12,Ayuntamientos,13,0,701,1,B,Basica,0,38,MINERAL DEL CHICO,84,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,701,2,26,22,0,0,0,0,0,0,5,55
13,10/11/2002,12,Ayuntamientos,13,0,310,1,B,Basica,0,17,CHAPULHUACAN,611,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,310,7,220,164,3,0,0,0,0,0,7,401
13,10/11/2002,12,Ayuntamientos,13,0,323,1,C,Contigua,0,18,CHILCUAUTLA,507,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,323,0,83,166,6,0,0,0,0,0,9,264
