MUNICIPIO,SECCION,CASILLA,TIPO,PAN,PRI,PPS,PRD,PFCRN,PDM,PRT,PTC,NO REG.,NULOS,TOTAL
ARMERIA,170,170,B,76,339,0,104,21,0,0,2,0,18,560
ARMERIA,171,171,B,34,173,0,67,16,0,0,4,0,9,303
ARMERIA,171,171,C,23,150,0,79,15,0,0,0,0,14,281
ARMERIA,172,172,B,92,297,0,52,25,0,0,1,0,11,478
ARMERIA,173,173,B,50,258,0,53,29,0,0,3,0,14,407
ARMERIA,173,173,C,54,236,0,82,24,0,0,3,0,14,413
ARMERIA,174,174,B,41,189,0,33,15,0,0,2,0,14,294
ARMERIA,174,174,C,45,168,0,44,17,0,0,5,0,13,292
ARMERIA,175,175,B,88,306,0,63,19,0,0,0,0,7,483
ARMERIA,176,176,B,56,177,0,77,17,0,0,1,0,8,336
ARMERIA,176,176,C,38,200,0,74,14,0,0,2,0,10,338
ARMERIA,177,177,B,33,207,0,43,14,0,0,6,0,12,315
ARMERIA,177,177,C,46,193,0,48,20,0,0,5,0,16,328
ARMERIA,178,178,B,105,285,0,94,28,0,0,4,0,23,539
ARMERIA,179,179,B,95,234,0,89,26,0,0,3,0,24,471
ARMERIA,180,180,B,56,349,0,52,29,0,0,1,0,22,509
ARMERIA,181,181,B,75,305,0,87,8,0,0,0,0,40,515
ARMERIA,182,182,B,63,218,0,141,8,0,3,0,0,25,458
ARMERIA,183,183,B,27,200,0,111,15,0,0,0,2,28,383
ARMERIA,184,184,B,21,134,0,40,35,0,0,0,0,14,244
ARMERIA,185,185,B,34,202,0,104,10,0,0,1,0,12,363
ARMERIA,186,186,B,22,217,0,48,5,0,0,0,0,5,297
ARMERIA,186,186,C,26,245,0,31,3,0,0,2,0,4,311
ARMERIA,187,187,B,55,275,0,92,11,0,0,3,0,17,453
ARMERIA,188,188,B,39,180,0,41,11,0,0,1,9,13,294
ARMERIA,188,188,C,25,209,0,56,4,0,0,0,0,6,300
ARMERIA,189,189,B,33,141,0,15,6,0,0,2,0,12,209
ARMERIA,190,190,B,22,183,0,10,4,0,0,4,0,8,231
,,,,,,,,,,,,,,
COLIMA,1,1,B,131,164,1,75,4,3,0,4,0,18,400
COLIMA,1,1,C1,120,162,0,92,6,3,0,9,0,4,396
COLIMA,2,2,B,94,98,1,48,2,1,0,2,0,5,251
COLIMA,3,3,B,209,246,0,31,7,15,0,9,0,17,534
COLIMA,3,3,C1,174,226,2,59,6,7,0,11,1,23,509
COLIMA,4,4,B,160,227,1,67,7,14,0,7,0,23,506
COLIMA,5,5,B,122,186,5,63,6,3,0,0,0,15,400
COLIMA,6,6,B,243,201,2,101,4,12,0,6,1,11,581
COLIMA,7,7,B,105,185,1,24,5,7,0,4,0,24,355
COLIMA,7,7,C,86,209,1,30,3,9,0,3,0,0,341
COLIMA,8,8,B,129,247,3,60,5,3,0,10,0,9,466
COLIMA,8,8,C,131,224,6,79,6,6,0,10,3,10,475
COLIMA,9,9,B,114,174,3,48,2,5,0,3,0,12,361
COLIMA,9,9,C,84,188,0,46,0,0,0,16,0,21,355
COLIMA,10,10,B,114,226,3,31,6,2,0,5,0,13,400
COLIMA,10,10,C,110,222,0,40,2,7,0,5,0,5,391
COLIMA,11,11,B,175,199,3,80,1,5,0,11,0,9,483
COLIMA,12,12,B,108,148,0,54,3,1,0,6,0,2,322
COLIMA,13,13,B,181,175,0,71,7,2,0,0,0,21,457
COLIMA,14,14,B,193,249,8,79,4,5,0,8,0,28,574
COLIMA,15,15,B,165,234,3,44,5,12,0,11,0,0,474
COLIMA,16,16,B,159,239,5,50,4,7,0,12,0,35,511
COLIMA,17,17,B,248,250,4,46,5,7,0,12,0,14,586
COLIMA,18,18,B,167,158,2,51,4,5,0,9,0,16,412
COLIMA,18,18,C,131,215,0,55,2,6,0,4,0,13,426
COLIMA,19,19,B,159,175,3,70,4,2,0,11,0,10,434
