state,mun,uniqueid,section,year,incumbent_party_magar,incumbent_candidate_magar,incumbent_party_JL,incumbent_candidate_JL,runnerup_party_magar,runnerup_candidate_magar,margin,PAN,PRI,PRD,PartCardenista,PT,PVEM,PPS,PD,total,valid,listanominal,PT_PC_PAS_PSN,PDS,PCD,PARM,DSPPN,PC,PSN,PAS,FUERZACIUDADANA,MEXICOPOSIBLE,PLM,nulos,PRD_PT_PC,PANAL,PRI_PANAL,PSD,PRI_PVEM,PT_PC,MC,MORENA,PH,PES,PAN_MC,PRI_PVEM_PANAL,PLC,CI_1,CI_2,RSP,FXM,PAN_PRI_PRD,CL,EDC,MLC,PRI_PRD,PT_PVEM_MORENA
CAMPECHE,Calakmul,4010,356,1997,NA,NA,CM,JUAN GONZALEZ CHAN,NA,NA,NA,2,387,193,9,79,5,0,1,676,676,973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calakmul,4010,357,1997,NA,NA,CM,JUAN GONZALEZ CHAN,NA,NA,NA,0,231,19,0,0,0,0,0,250,250,340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calakmul,4010,358,1997,NA,NA,CM,JUAN GONZALEZ CHAN,NA,NA,NA,0,81,37,0,4,2,0,0,124,124,244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calakmul,4010,359,1997,NA,NA,CM,JUAN GONZALEZ CHAN,NA,NA,NA,0,215,134,0,37,0,0,0,386,386,511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calakmul,4010,360,1997,NA,NA,CM,JUAN GONZALEZ CHAN,NA,NA,NA,2,326,211,0,15,0,0,0,554,554,751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calakmul,4010,361,1997,NA,NA,CM,JUAN GONZALEZ CHAN,NA,NA,NA,3,311,234,0,2,0,0,0,550,550,876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calakmul,4010,362,1997,NA,NA,CM,JUAN GONZALEZ CHAN,NA,NA,NA,1,119,74,0,2,0,0,0,196,196,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calakmul,4010,413,1997,NA,NA,CM,JUAN GONZALEZ CHAN,NA,NA,NA,1,38,20,0,0,0,0,0,59,59,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calakmul,4010,414,1997,NA,NA,CM,JUAN GONZALEZ CHAN,NA,NA,NA,2,96,32,0,0,0,0,0,130,130,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calakmul,4010,415,1997,NA,NA,CM,JUAN GONZALEZ CHAN,NA,NA,NA,38,378,223,1,4,2,0,0,646,646,944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
