uniqueid,year,state,mun,section,incumbent_party_magar,incumbent_candidate_magar,final_incumbent,incumbent_vote,party_component,mutually_exclusive,researched_incumbent,source_researched_incumbent,incumbent_party_JL,incumbent_candidate_JL,incumbent_party_Horacio,incumbent_party_inafed,incumbent_candidate_inafed,state_incumbent_party,state_incumbent_vote,state_incumbent_vote_party_component,PRI_vote,PRI_vote_party_component,PRD_vote,PRD_vote_party_component,PAN_vote,PAN_vote_party_component,MORENA_vote,MORENA_vote_party_component,runnerup_party_magar,runnerup_candidate_magar,runnerup_vote,runnerup_party_component,margin,listanominal,valid,total,turnout,PAN,PRI,PRD,PartCardenista,PT,PVEM,PPS,PD,PT_PC_PAS_PSN,PDS,PCD,PARM,DSPPN,PC,PSN,PAS,FUERZACIUDADANA,MEXICOPOSIBLE,PLM,nulos,PRD_PT_PC,PANAL,PRI_PANAL,PSD,PRI_PVEM,PT_PC,MC,MORENA,PH,PES,PAN_MC,PRI_PVEM_PANAL,PLC,CI_1,CI_2
4010,1997,CAMPECHE,Calakmul,416,NA,NA,NA,NA,NA,TRUE,NA,NA,CM,JUAN GONZALEZ CHAN,NA,CM,C. JUAN GONZALEZ CHAN,PRI,19,PRI,19,PRI,31,PRD,1,PAN,NA,NA,NA,NA,NA,NA,NA,78,56,56,0.717948717948718,1,19,31,1,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4010,1997,CAMPECHE,Calakmul,417,NA,NA,NA,NA,NA,TRUE,NA,NA,CM,JUAN GONZALEZ CHAN,NA,CM,C. JUAN GONZALEZ CHAN,PRI,299,PRI,299,PRI,113,PRD,89,PAN,NA,NA,NA,NA,NA,NA,NA,855,515,515,0.6023391812865497,89,299,113,1,12,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4010,1997,CAMPECHE,Calakmul,418,NA,NA,NA,NA,NA,TRUE,NA,NA,CM,JUAN GONZALEZ CHAN,NA,CM,C. JUAN GONZALEZ CHAN,PRI,26,PRI,26,PRI,35,PRD,6,PAN,NA,NA,NA,NA,NA,NA,NA,120,67,67,0.5583333333333333,6,26,35,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4010,1997,CAMPECHE,Calakmul,419,NA,NA,NA,NA,NA,TRUE,NA,NA,CM,JUAN GONZALEZ CHAN,NA,CM,C. JUAN GONZALEZ CHAN,PRI,103,PRI,103,PRI,32,PRD,6,PAN,NA,NA,NA,NA,NA,NA,NA,232,145,145,0.625,6,103,32,1,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4010,1997,CAMPECHE,Calakmul,420,NA,NA,NA,NA,NA,TRUE,NA,NA,CM,JUAN GONZALEZ CHAN,NA,CM,C. JUAN GONZALEZ CHAN,PRI,51,PRI,51,PRI,10,PRD,14,PAN,NA,NA,NA,NA,NA,NA,NA,102,75,75,0.7352941176470589,14,51,10,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4010,1997,CAMPECHE,Calakmul,421,NA,NA,NA,NA,NA,TRUE,NA,NA,CM,JUAN GONZALEZ CHAN,NA,CM,C. JUAN GONZALEZ CHAN,PRI,156,PRI,156,PRI,246,PRD,30,PAN,NA,NA,NA,NA,NA,NA,NA,838,464,464,0.5536992840095465,30,156,246,0,32,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4010,1997,CAMPECHE,Calakmul,422,NA,NA,NA,NA,NA,TRUE,NA,NA,CM,JUAN GONZALEZ CHAN,NA,CM,C. JUAN GONZALEZ CHAN,PRI,133,PRI,133,PRI,118,PRD,8,PAN,NA,NA,NA,NA,NA,NA,NA,513,269,269,0.5243664717348928,8,133,118,1,9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4010,1997,CAMPECHE,Calakmul,423,NA,NA,NA,NA,NA,TRUE,NA,NA,CM,JUAN GONZALEZ CHAN,NA,CM,C. JUAN GONZALEZ CHAN,PRI,18,PRI,18,PRI,75,PRD,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,93,93,0.7045454545454546,0,18,75,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4010,1997,CAMPECHE,Calakmul,424,NA,NA,NA,NA,NA,TRUE,NA,NA,CM,JUAN GONZALEZ CHAN,NA,CM,C. JUAN GONZALEZ CHAN,PRI,109,PRI,109,PRI,79,PRD,3,PAN,NA,NA,NA,NA,NA,NA,NA,301,191,191,0.6345514950166113,3,109,79,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4010,1997,CAMPECHE,Calakmul,425,NA,NA,NA,NA,NA,TRUE,NA,NA,CM,JUAN GONZALEZ CHAN,NA,CM,C. JUAN GONZALEZ CHAN,PRI,50,PRI,50,PRI,104,PRD,1,PAN,NA,NA,NA,NA,NA,NA,NA,228,161,161,0.706140350877193,1,50,104,2,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
