state,mun,section,uniqueid,year,incumbent_party_magar,incumbent_candidate_magar,final_incumbent,incumbent_vote,party_component,mutually_exclusive,incumbent_party_JL,incumbent_candidate_JL,runnerup_party_magar,runnerup_candidate_magar,runnerup_vote,runnerup_party_component,margin,listanominal,valid,total,PAN,PRI,PRD,PartCardenista,PT,PVEM,PPS,PD,PT_PC_PAS_PSN,PDS,PCD,PARM,DSPPN,PC,PSN,PAS,FUERZACIUDADANA,MEXICOPOSIBLE,PLM,nulos,PRD_PT_PC,PANAL,PRI_PANAL,PSD,PRI_PVEM,PT_PC,MC,MORENA,PH,PES,PAN_MC,PRI_PVEM_PANAL,PLC,CI_1,CI_2
CAMPECHE,Calakmul,356,4010,1997,NA,NA,NA,NA,NA,TRUE,CM,JUAN GONZALEZ CHAN,NA,NA,NA,NA,NA,973,676,676,2,387,193,9,79,5,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calakmul,357,4010,1997,NA,NA,NA,NA,NA,TRUE,CM,JUAN GONZALEZ CHAN,NA,NA,NA,NA,NA,340,250,250,0,231,19,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calakmul,358,4010,1997,NA,NA,NA,NA,NA,TRUE,CM,JUAN GONZALEZ CHAN,NA,NA,NA,NA,NA,244,124,124,0,81,37,0,4,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calakmul,359,4010,1997,NA,NA,NA,NA,NA,TRUE,CM,JUAN GONZALEZ CHAN,NA,NA,NA,NA,NA,511,386,386,0,215,134,0,37,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calakmul,360,4010,1997,NA,NA,NA,NA,NA,TRUE,CM,JUAN GONZALEZ CHAN,NA,NA,NA,NA,NA,751,554,554,2,326,211,0,15,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calakmul,361,4010,1997,NA,NA,NA,NA,NA,TRUE,CM,JUAN GONZALEZ CHAN,NA,NA,NA,NA,NA,876,550,550,3,311,234,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calakmul,362,4010,1997,NA,NA,NA,NA,NA,TRUE,CM,JUAN GONZALEZ CHAN,NA,NA,NA,NA,NA,305,196,196,1,119,74,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calakmul,413,4010,1997,NA,NA,NA,NA,NA,TRUE,CM,JUAN GONZALEZ CHAN,NA,NA,NA,NA,NA,165,59,59,1,38,20,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calakmul,414,4010,1997,NA,NA,NA,NA,NA,TRUE,CM,JUAN GONZALEZ CHAN,NA,NA,NA,NA,NA,158,130,130,2,96,32,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calakmul,415,4010,1997,NA,NA,NA,NA,NA,TRUE,CM,JUAN GONZALEZ CHAN,NA,NA,NA,NA,NA,944,646,646,38,378,223,1,4,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calakmul,416,4010,1997,NA,NA,NA,NA,NA,TRUE,CM,JUAN GONZALEZ CHAN,NA,NA,NA,NA,NA,78,56,56,1,19,31,1,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calakmul,417,4010,1997,NA,NA,NA,NA,NA,TRUE,CM,JUAN GONZALEZ CHAN,NA,NA,NA,NA,NA,855,515,515,89,299,113,1,12,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calakmul,418,4010,1997,NA,NA,NA,NA,NA,TRUE,CM,JUAN GONZALEZ CHAN,NA,NA,NA,NA,NA,120,67,67,6,26,35,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calakmul,419,4010,1997,NA,NA,NA,NA,NA,TRUE,CM,JUAN GONZALEZ CHAN,NA,NA,NA,NA,NA,232,145,145,6,103,32,1,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calakmul,420,4010,1997,NA,NA,NA,NA,NA,TRUE,CM,JUAN GONZALEZ CHAN,NA,NA,NA,NA,NA,102,75,75,14,51,10,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calakmul,421,4010,1997,NA,NA,NA,NA,NA,TRUE,CM,JUAN GONZALEZ CHAN,NA,NA,NA,NA,NA,838,464,464,30,156,246,0,32,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calakmul,422,4010,1997,NA,NA,NA,NA,NA,TRUE,CM,JUAN GONZALEZ CHAN,NA,NA,NA,NA,NA,513,269,269,8,133,118,1,9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calakmul,423,4010,1997,NA,NA,NA,NA,NA,TRUE,CM,JUAN GONZALEZ CHAN,NA,NA,NA,NA,NA,132,93,93,0,18,75,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calakmul,424,4010,1997,NA,NA,NA,NA,NA,TRUE,CM,JUAN GONZALEZ CHAN,NA,NA,NA,NA,NA,301,191,191,3,109,79,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calakmul,425,4010,1997,NA,NA,NA,NA,NA,TRUE,CM,JUAN GONZALEZ CHAN,NA,NA,NA,NA,NA,228,161,161,1,50,104,2,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
