ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
27,TABASCO,1,BALANCAN,44,81,843,3531,1728,4608,319,668,301,10186,4369,118,17,4,21,,26713,28,1432,28173,40024,
27,TABASCO,2,CARDENAS,122,302,824,6782,17693,9569,1619,1552,917,68331,1175,487,124,18,157,459,109707,85,4585,114377,172275,
27,TABASCO,3,CENTLA,64,135,1221,4586,7195,7505,1020,1186,716,23698,3520,144,47,10,49,158,51055,20,2420,53495,72426,
27,TABASCO,4,CENTRO,278,824,7409,30278,16487,12416,6976,7501,3511,234216,6837,862,226,124,239,374,327456,304,13945,341705,505368,
27,TABASCO,5,COMALCALCO,97,259,1274,14324,22506,2566,1362,1151,602,61473,764,615,157,17,123,,106934,56,3754,110744,148837,
27,TABASCO,6,CUNDUACAN,59,154,1186,8427,7704,1863,1586,1476,680,32302,610,289,63,19,68,238,56511,50,3077,59638,91994,
27,TABASCO,7,EMILIANO ZAPATA,16,41,1362,3676,348,2621,616,503,259,6729,78,22,30,13,5,,16262,4,791,17057,22973,
27,TABASCO,8,HUIMANGUILLO,97,238,606,12022,21614,1765,1422,982,607,43544,1728,397,194,28,192,,85101,75,4708,89884,128545,
27,TABASCO,9,JALAPA,28,54,222,4026,3621,2518,270,381,1118,8435,155,57,19,5,47,,20874,53,1068,21995,27884,
27,TABASCO,10,JALPA DE MENDEZ,37,100,638,4489,6248,5886,861,825,904,26373,,115,35,9,34,,46417,18,1734,48169,62418,
27,TABASCO,11,JONUTA,26,47,175,1332,5897,480,138,195,2208,7962,117,42,14,1,19,,18580,10,919,19509,22847,
27,TABASCO,12,MACUSPANA,82,202,1505,6043,4803,7287,1447,1039,745,44880,2531,463,120,45,119,,71027,154,4078,75259,116099,
27,TABASCO,13,NACAJUCA,37,144,2254,4794,3511,6116,1264,1110,727,44471,538,203,61,29,48,,65126,10,3128,68264,92145,
27,TABASCO,14,PARAISO,45,117,820,4715,9910,1992,1141,926,768,28428,332,95,33,7,38,,49205,39,2013,51257,68267,
27,TABASCO,15,TACOTALPA,27,64,450,2560,2050,2932,1147,1950,466,10128,461,194,18,10,46,,22412,13,1533,23958,33033,
27,TABASCO,16,TEAPA,26,68,445,4194,2437,3470,1038,741,1663,10871,350,56,14,0,18,,25297,6,1552,26855,39754,
27,TABASCO,17,TENOSIQUE,44,82,393,8445,1855,1338,279,592,203,15406,420,42,13,4,13,,29003,10,1019,30032,42729,
