ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
28,TAMAULIPAS,1,ABASOLO,11,17,2797,2782,187,12,15,7,21,212,24,,,,,,,,,,,,,,,,,,,,,,,,0,6057,87,6144,8251,0.7446
28,TAMAULIPAS,2,ALDAMA,21,44,4884,5900,78,77,42,4958,228,239,139,,,,,,,,,,,,,,,,,,,,,,,,1,16546,398,16945,23115,0.7331
28,TAMAULIPAS,3,ALTAMIRA,84,253,41544,34744,1745,1017,1147,3456,975,1805,1009,418,,,,,,,,,,,,,,,,,,,,,,,39,87899,1404,89342,155168,0.5758
28,TAMAULIPAS,4,ANTIGUO MORELOS,7,12,3664,1694,15,10,24,0,10,50,2,,,,,,,,,,,,,,,,,,,,,,,,0,5469,53,5522,7201,0.7668
28,TAMAULIPAS,5,BURGOS,8,12,1792,1689,1,10,2,0,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,3510,21,3531,4373,0.8075
28,TAMAULIPAS,6,BUSTAMANTE,9,15,1208,2741,10,15,3,2,21,11,18,,208,,,,,,,,,,,,,,,,,,,,,,0,4237,88,4325,5521,0.7834
28,TAMAULIPAS,7,CAMARGO,16,26,2108,2507,33,35,14,15,93,138,1537,,,422,,,,,,,,,,,,,,,,,,,,,2,6904,219,7125,12788,0.5572
28,TAMAULIPAS,8,CASAS,8,12,1839,1498,24,2,10,3,8,0,22,,,,,,,,,,,,,,,,,,,,,,,,0,3406,49,3455,4109,0.8408
28,TAMAULIPAS,9,CIUDAD MADERO,107,277,44485,31205,2245,1264,741,4276,1047,4944,1607,,,,,,,,,,,,,,,,,,,,,,,,85,91899,1948,93932,164436,0.5712
28,TAMAULIPAS,10,CRUILLAS,5,7,207,1204,2,1,0,0,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,0,1423,23,1446,2039,0.7092
28,TAMAULIPAS,11,GOMEZ FARIAS,7,17,3307,1913,9,16,34,4,54,48,21,,,,22,26,,,,,,,,,,,,,,,,,,,0,5454,73,5527,7004,0.7891
28,TAMAULIPAS,12,GONZALEZ,37,67,11484,7503,78,97,27,122,116,154,50,,,,,,,,,,,,,,,,,,,,,,,,6,19637,308,19951,30954,0.6445
28,TAMAULIPAS,13,GÜEMEZ,15,27,4655,4595,52,30,7,17,26,40,14,,,,,,,,,,,,,,,,,,,,,,,,0,9436,122,9558,12465,0.7668
28,TAMAULIPAS,14,GUERRERO,3,6,791,693,2,2,32,1,21,20,0,,,,,,,,,,,,,,,,,,,,,,,,0,1562,26,1588,2742,0.5791
28,TAMAULIPAS,15,GUSTAVO DIAZ ORDAZ,14,26,1883,2426,11,33,20,10,132,68,3474,,,,,,,,,,,,,,,,,,,,,,,,0,8057,139,8196,13362,0.6134
28,TAMAULIPAS,16,HIDALGO,21,34,7738,121,58,6,61,8,8,503,122,,,,,,,,,,,,,,,,,,,,,,,,3,8628,1044,9675,15574,0.6212
28,TAMAULIPAS,17,JAUMAVE,12,24,348,3132,30,26,31,52,90,66,1105,,,,,,3417,,,,,,,,,,,,,,,,,,0,8297,418,8715,11085,0.7862
28,TAMAULIPAS,18,JIMENEZ,8,13,2195,2171,27,59,1,4,64,1,20,,,,,,,,,,,,,,,,,,,,,,,,0,4542,38,4580,6094,0.7516
28,TAMAULIPAS,19,LLERA,18,30,2127,2413,43,51,12,67,296,78,83,,,,,,,3797,,,,,,,,,,,,,,,,,2,8969,443,9414,12872,0.7314
28,TAMAULIPAS,20,MAINERO,4,6,1324,0,23,0,0,0,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,0,1360,105,1465,2308,0.6347
28,TAMAULIPAS,21,EL MANTE,86,164,25610,21861,724,666,530,701,396,2171,484,,,,,,,,332,,,,,,,,,,,,,,,,11,53486,804,54301,87221,0.6226
28,TAMAULIPAS,22,MATAMOROS,224,639,65043,66371,1389,1738,1072,5205,1333,3238,1762,,,,,,,,,1185,811,37115,,,,,,,,,,,,,123,186385,3885,190393,385211,0.4943
28,TAMAULIPAS,23,MENDEZ,6,10,1573,1447,4,6,0,1,3,19,18,,,,,,,,,,,,,,,,,,,,,,,,0,3071,55,3126,3968,0.7878
28,TAMAULIPAS,24,MIER,6,8,1302,661,5,5,12,702,19,12,24,,,,,,,,,,,,,,,,,,,,,,,,0,2742,44,2786,4405,0.6325
28,TAMAULIPAS,25,MIGUEL ALEMAN,22,39,5950,3704,13,41,33,18,117,48,84,,,,,,,,,,,,2060,,,,,,,,,,,,2,12070,183,12255,20156,0.6080
28,TAMAULIPAS,26,MIQUIHUANA,4,6,1054,1190,1,2,0,12,9,107,0,,,,,,,,,,,,,,,,,,,,,,,,0,2375,54,2429,2817,0.8623
28,TAMAULIPAS,27,NUEVO LAREDO,206,508,78119,46338,1533,1484,514,2271,1566,1533,1273,,,,,,,,,,,,,5999,1696,744,,,,,,,,,82,143152,2340,145574,299617,0.4859
28,TAMAULIPAS,28,NUEVO MORELOS,3,5,1234,1273,0,2,0,0,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,2525,25,2550,2995,0.8514
28,TAMAULIPAS,29,OCAMPO,14,22,4003,3966,17,23,6,1,38,22,25,,,,,,,,,,,,,,,,38,,,,,,,,0,8139,76,8215,10466,0.7849
28,TAMAULIPAS,30,PADILLA,9,21,3961,3781,40,20,32,92,72,48,444,,,,,,,,,,,,,,,,,,,,,,,,0,8490,114,8604,11449,0.7515
28,TAMAULIPAS,31,PALMILLAS,4,5,499,684,8,1,0,2,6,0,9,,,,,,,,,,,,,,,,,,,,,,,,0,1209,12,1221,1612,0.7574
