ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,PRI_PVEM_NVA_ALIANZA,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
28,TAMAULIPAS,32,REYNOSA,400,855,82502,,2036,,1395,4409,,6859,2485,70041,,,,,,,,,,,,,,,,,3822,55795,,,,,,196,229344,4540,234080,488143,0.4795
28,TAMAULIPAS,33,RIO BRAVO,72,170,13146,,469,,326,559,,1717,2117,19168,,,,,,,,,,,,,,,,,,,10571,558,617,,,19,49248,1189,50456,99017,0.5096
28,TAMAULIPAS,34,SAN CARLOS,12,19,3065,2569,47,0,2,7,5,11,40,,,,,,,,,,,,,,,,,,,,,,,,,0,5746,65,5811,7537,0.7710
28,TAMAULIPAS,35,SAN FERNANDO,52,82,13148,,2037,,61,97,,335,260,9660,,,,,,,,,,,,,,,,,,,,,,,,1,25598,406,26005,38302,0.6789
28,TAMAULIPAS,36,SAN NICOLAS,2,3,22,789,8,0,0,1,1,1,63,,,,,,,,,,,,,,,,,,,,,,,,,0,885,10,895,1108,0.8078
28,TAMAULIPAS,37,SOTO LA MARINA,24,44,6319,,799,,82,4,,41,38,6003,,,,,,,,,,,,,,,,,,,,,,,,1,13286,124,13411,18264,0.7343
28,TAMAULIPAS,38,TAMPICO,192,430,59102,,4587,,967,4163,,4371,1201,67304,,,,,,,,,,,,,,,,,,,,,,,,183,141695,2317,144195,245533,0.5873
28,TAMAULIPAS,39,TULA,19,41,7584,,70,,62,3,,21,21,6503,,,,,,,,,,,,,,,,,,,,,,,,0,14264,222,14486,20898,0.6932
28,TAMAULIPAS,40,VALLE HERMOSO,45,86,6311,,150,,213,158,,312,1388,12742,,,,,,,,,,,,,,,,,,,,,,4499,,11,25773,573,26357,46525,0.5665
28,TAMAULIPAS,41,VICTORIA,149,396,45372,,1904,,1133,25836,,1491,804,49561,,,,,,,,,,,,,,,,,,,,,,,28110,268,154211,1848,156327,237628,0.6579
28,TAMAULIPAS,42,VILLAGRAN,7,13,3043,,12,,12,2,,26,1,55,,,,,,,,,,,,,,,,,,,,,,,,4,3151,214,3369,4897,0.6880
28,TAMAULIPAS,43,XICOTENCATL,21,36,8246,,68,,16,7,,66,69,5631,,,,,,,,,,,,,,,,,,,,,,,,0,14103,207,14310,17998,0.7951
