MUNICIPIO,SECCION,TIPO CASILLA,Lista Nominal,PAN,PRI,PRD-PT-PC,PVEM,PNA,Alternativa,CC,NoRegistrados,Nulos
AMACUZAC,1,BASICA,626,42,58,194,25,49,2,0,0,16
AMACUZAC,1,CONTIGUA 1,627,38,65,171,20,35,0,0,0,19
AMACUZAC,2,BASICA,405,7,27,103,23,46,1,0,0,7
AMACUZAC,2,CONTIGUA 1,405,16,41,105,18,39,1,0,0,7
AMACUZAC,3,BASICA,566,27,98,131,48,74,0,0,0,10
AMACUZAC,3,CONTIGUA 1,567,38,87,127,24,109,0,0,0,11
AMACUZAC,4,BASICA,536,35,46,210,15,55,1,0,0,11
AMACUZAC,4,CONTIGUA 1,537,24,39,194,7,66,0,0,0,8
AMACUZAC,4,GEOGRAFICA 1,327,17,32,137,9,12,0,0,0,12
AMACUZAC,5,BASICA,591,46,75,159,6,32,0,0,1,20
AMACUZAC,6,BASICA,567,48,68,81,12,67,2,0,2,13
AMACUZAC,6,CONTIGUA 1,567,40,64,77,23,91,1,0,0,26
AMACUZAC,6,CONTIGUA 2,567,27,80,80,23,83,1,0,1,14
AMACUZAC,7,BASICA,461,26,56,76,27,92,3,0,0,10
AMACUZAC,7,CONTIGUA 1,461,26,87,66,26,68,1,0,0,11
AMACUZAC,8,BASICA,537,41,82,108,35,67,0,0,0,6
AMACUZAC,8,CONTIGUA 1,538,36,73,94,20,85,0,0,0,7
AMACUZAC,9,BASICA,535,88,25,146,7,21,2,0,0,9
AMACUZAC,9,CONTIGUA 1,535,86,32,131,5,17,3,0,0,6
AMACUZAC,9,GEOGRAFICA 1,388,42,22,114,13,3,0,0,0,12
AMACUZAC,10,BASICA,578,30,35,127,5,78,1,0,0,15
AMACUZAC,10,CONTIGUA 1,578,31,24,118,5,88,1,0,1,14
AMACUZAC,11,BASICA,662,47,55,134,12,32,1,0,2,13
ATLATLAHUCAN,12,BASICA,610,64,87,91,8,51,85,0,0,12
ATLATLAHUCAN,12,CONTIGUA 1,610,96,61,85,13,47,67,0,0,9
ATLATLAHUCAN,12,CONTIGUA 2,610,85,48,85,10,40,99,0,0,11
ATLATLAHUCAN,13,BASICA,525,50,55,70,8,55,104,0,0,9
ATLATLAHUCAN,13,CONTIGUA 1,526,75,56,63,18,46,72,0,1,7
ATLATLAHUCAN,13,CONTIGUA 2,526,90,57,62,10,37,68,0,1,10
ATLATLAHUCAN,14,BASICA,668,112,87,63,8,52,83,0,0,13
ATLATLAHUCAN,14,CONTIGUA 1,669,104,72,71,11,72,69,0,0,5
ATLATLAHUCAN,15,BASICA,624,112,84,80,5,30,67,0,1,14
ATLATLAHUCAN,15,CONTIGUA 1,624,115,61,62,10,37,66,0,2,16
ATLATLAHUCAN,16,BASICA,633,68,75,38,45,61,36,0,7,25
ATLATLAHUCAN,17,BASICA,476,78,68,39,15,61,50,0,0,17
ATLATLAHUCAN,17,CONTIGUA 1,477,54,87,38,24,58,39,0,0,18
ATLATLAHUCAN,18,BASICA,691,159,87,49,21,47,116,0,0,17
ATLATLAHUCAN,19,BASICA,532,82,75,62,29,26,40,0,0,20
ATLATLAHUCAN,19,CONTIGUA 1,532,91,75,50,32,32,36,0,0,14
ATLATLAHUCAN,19,CONTIGUA 2,533,112,84,37,33,27,37,0,2,9
ATLATLAHUCAN,20,BASICA,334,98,23,30,6,12,49,0,0,0
ATLATLAHUCAN,21,BASICA,331,105,32,36,7,13,50,0,0,2
ATLATLAHUCAN,22,BASICA,384,113,25,31,13,15,56,0,0,4
ATLATLAHUCAN,23,BASICA,276,73,12,32,10,14,49,0,1,4
AXOCHIAPAN,24,BASICA,664,48,63,35,85,6,64,0,0,19
AXOCHIAPAN,24,CONTIGUA 1,664,54,105,49,77,0,55,0,3,20
AXOCHIAPAN,25,BASICA,529,63,92,18,112,0,25,0,1,13
AXOCHIAPAN,25,CONTIGUA 1,529,51,85,37,91,0,15,0,1,14
AXOCHIAPAN,26,BASICA,695,56,82,28,151,1,40,0,1,14
AXOCHIAPAN,26,CONTIGUA 1,696,59,90,29,118,1,40,0,0,24
AXOCHIAPAN,26,CONTIGUA 2,696,52,100,35,111,0,40,0,0,17
AXOCHIAPAN,27,BASICA,610,56,90,33,108,1,34,0,0,25
AXOCHIAPAN,27,CONTIGUA 1,610,53,89,32,116,4,45,0,0,23
AXOCHIAPAN,28,BASICA,568,53,74,29,110,1,29,0,0,13
AXOCHIAPAN,28,CONTIGUA 1,568,35,77,38,116,4,29,0,0,16
AXOCHIAPAN,29,BASICA,555,34,85,45,105,1,25,0,0,8
AXOCHIAPAN,29,CONTIGUA 1,556,51,82,26,90,0,27,0,0,24
AXOCHIAPAN,29,CONTIGUA 2,556,38,83,33,99,0,16,0,0,18
AXOCHIAPAN,30,BASICA,732,65,122,30,132,3,42,0,0,12
AXOCHIAPAN,30,CONTIGUA 1,732,59,97,27,170,2,20,0,0,19
AXOCHIAPAN,31,BASICA,584,43,62,30,114,4,52,0,0,25
AXOCHIAPAN,31,CONTIGUA 1,584,26,74,30,126,0,44,0,0,16
AXOCHIAPAN,31,CONTIGUA 2,584,35,66,37,110,6,50,0,2,17
AXOCHIAPAN,32,BASICA,484,29,83,39,58,0,26,0,0,22
AXOCHIAPAN,32,CONTIGUA 1,484,24,58,22,95,4,12,0,0,23
AXOCHIAPAN,33,BASICA,727,78,116,31,132,6,37,0,2,24
AXOCHIAPAN,33,CONTIGUA 1,727,73,124,39,108,4,40,0,0,30
AXOCHIAPAN,34,BASICA,215,42,21,7,33,0,8,0,0,9
AXOCHIAPAN,35,BASICA,462,17,67,51,86,3,59,0,0,24
AXOCHIAPAN,35,CONTIGUA 1,463,22,47,70,65,1,59,0,0,26
AXOCHIAPAN,36,BASICA,409,25,28,69,60,1,65,0,0,15
AXOCHIAPAN,36,CONTIGUA 1,409,13,45,48,56,0,31,0,0,21
AXOCHIAPAN,37,BASICA,732,39,76,86,79,1,127,0,1,41
AXOCHIAPAN,38,BASICA,676,66,78,72,44,3,70,0,0,24
AXOCHIAPAN,38,CONTIGUA 1,676,46,94,62,28,2,79,0,0,20
AXOCHIAPAN,39,BASICA,455,38,52,52,37,3,21,0,0,14
AXOCHIAPAN,39,CONTIGUA 1,456,49,57,56,22,0,22,0,0,13
AXOCHIAPAN,40,BASICA,468,104,96,24,49,1,7,0,0,8
AXOCHIAPAN,40,CONTIGUA 1,468,94,66,42,74,0,4,0,0,3
AXOCHIAPAN,41,BASICA,415,132,49,36,33,2,5,0,2,8
AXOCHIAPAN,41,CONTIGUA 1,416,122,52,36,42,1,3,0,0,5
AXOCHIAPAN,42,BASICA,340,28,82,6,49,2,5,0,2,6
AXOCHIAPAN,43,BASICA,384,27,67,18,12,0,11,0,0,12
AXOCHIAPAN,43,CONTIGUA 1,384,25,67,26,21,0,17,0,0,10
AYALA,44,BASICA,677,179,76,56,3,35,2,0,0,18
AYALA,44,CONTIGUA 1,677,173,65,60,1,21,3,0,1,20
AYALA,45,BASICA,610,158,115,39,1,49,2,0,0,12
AYALA,45,CONTIGUA 1,610,151,107,29,0,61,0,0,0,13
AYALA,45,CONTIGUA 2,611,166,89,41,0,53,5,0,0,18
AYALA,46,BASICA,523,159,60,42,0,25,3,0,0,18
AYALA,46,CONTIGUA 1,523,172,54,39,0,27,2,0,1,14
AYALA,47,BASICA,681,197,43,42,1,24,4,0,3,22
AYALA,47,CONTIGUA 1,681,186,43,60,2,21,7,0,0,19
AYALA,48,BASICA,701,117,101,37,0,28,1,0,0,28
AYALA,48,CONTIGUA 1,702,125,79,35,2,27,3,0,0,25
AYALA,49,BASICA,693,173,212,44,0,26,1,0,0,18
AYALA,49,CONTIGUA 1,693,208,152,53,0,50,5,0,0,9
AYALA,50,BASICA,515,113,153,21,0,13,4,0,0,17
AYALA,50,CONTIGUA 1,515,120,107,34,2,26,0,0,1,14
AYALA,51,BASICA,456,137,97,37,0,20,1,0,0,7
AYALA,51,CONTIGUA 1,456,137,102,45,0,23,1,0,0,10
AYALA,52,BASICA,691,188,132,41,0,24,1,0,1,17
AYALA,52,CONTIGUA 1,691,166,118,36,4,32,2,0,0,18
AYALA,53,BASICA,284,52,77,20,0,12,0,0,0,11
AYALA,54,BASICA,693,148,59,93,3,23,4,0,3,13
