CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,PRS,MC,NVA_ALIANZA,MORENA,ES,PAN_PRD_PT_PRS,PAN_PRD_PT,PAN_PRD_PRS,PAN_PT_PRS,PRD_PT_PRS,PAN_PRD,PAN_PT,PAN_PRS,PRD_PT,PRD_PRS,PT_PRS,CAND_IND38,CAND_IND39,CAND_IND40,CAND_IND41,CAND_IND42,CAND_IND43,CAND_IND44,CAND_IND45,CAND_IND46,CAND_IND47,CAND_IND48,CAND_IND49,CAND_IND50,CAND_IND51,CAND_IND52,CAND_IND53,CAND_IND54,CAND_IND55,CAND_IND56,CAND_IND57,CAND_IND58,CAND_IND59,CAND_IND60,CAND_IND61,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,1,1,4,121,25,13,11,1,6,2,116,9,0,0,0,0,0,0,0,0,0,0,0,16,,,,,,,,,,,,,,,,,,,,,,,,0,324,21,345,486
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,2,2,20,208,47,3,24,1,9,7,211,12,3,1,0,0,0,4,0,0,1,0,0,19,,,,,,,,,,,,,,,,,,,,,,,,0,570,36,606,951
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,3,3,44,317,179,3,34,4,27,22,368,14,9,2,0,0,1,3,0,0,2,0,0,34,,,,,,,,,,,,,,,,,,,,,,,,0,1063,41,1104,1953
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,4,1,10,101,57,4,14,1,21,6,182,2,2,1,0,0,0,0,0,0,1,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,0,412,8,420,672
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,5,2,22,132,107,3,33,4,7,8,203,17,2,1,0,1,1,1,0,0,0,0,0,17,,,,,,,,,,,,,,,,,,,,,,,,0,559,34,593,912
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,6,1,3,71,53,2,18,1,5,3,104,4,0,0,0,0,0,0,0,0,0,0,0,24,,,,,,,,,,,,,,,,,,,,,,,,0,288,12,300,418
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,7,1,16,71,61,3,6,1,10,3,132,9,1,0,0,0,0,1,0,0,0,0,0,24,,,,,,,,,,,,,,,,,,,,,,,,1,338,7,346,474
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,8,2,26,144,67,6,25,2,7,3,254,13,1,0,0,0,0,1,0,0,3,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,0,563,17,580,817
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,9,2,20,199,78,10,63,2,21,10,412,30,1,0,0,1,0,1,0,0,1,0,0,29,,,,,,,,,,,,,,,,,,,,,,,,1,878,17,896,1330
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,10,2,20,159,63,6,18,1,12,8,316,39,1,0,0,0,0,1,0,0,0,0,0,25,,,,,,,,,,,,,,,,,,,,,,,,0,669,22,691,965
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,11,1,5,56,25,0,9,6,6,3,95,3,0,1,0,0,0,1,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,0,217,3,220,330
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,12,1,10,122,45,0,11,3,11,4,215,12,0,0,0,0,0,2,0,0,2,0,0,14,,,,,,,,,,,,,,,,,,,,,,,,0,451,12,463,632
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,13,2,13,120,74,0,22,1,5,6,253,3,3,0,0,0,0,5,0,0,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,0,516,21,537,567
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,14,1,10,39,19,3,15,2,2,2,68,2,1,1,0,0,0,1,0,0,1,0,0,20,,,,,,,,,,,,,,,,,,,,,,,,0,186,3,189,245
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,15,1,6,76,46,3,11,1,7,1,140,2,0,0,0,0,0,3,0,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,0,304,14,318,426
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,16,2,24,147,88,6,7,1,10,14,246,31,2,1,0,0,0,2,0,0,2,0,0,41,,,,,,,,,,,,,,,,,,,,,,,,0,622,14,636,943
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,17,2,17,123,56,3,16,0,11,9,245,7,0,0,0,0,0,0,0,0,0,0,0,13,,,,,,,,,,,,,,,,,,,,,,,,0,500,13,513,791
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,18,2,11,157,66,3,10,1,2,8,210,15,1,0,0,0,0,0,0,0,0,1,0,25,,,,,,,,,,,,,,,,,,,,,,,,0,510,27,537,793
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,19,1,0,45,1,0,2,0,2,0,9,1,0,0,0,0,0,0,0,0,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,0,72,10,82,119
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,20,1,10,66,7,2,3,0,12,1,30,0,0,0,0,0,0,0,0,0,0,0,0,14,,,,,,,,,,,,,,,,,,,,,,,,0,145,22,167,250
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,21,1,19,82,8,2,5,1,6,5,129,4,0,0,0,0,0,1,0,0,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,0,277,19,296,415
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,22,1,18,13,3,0,1,1,2,0,115,1,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,0,156,16,172,212
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,23,2,28,85,12,4,20,2,4,2,166,14,2,0,0,0,0,0,0,0,0,0,0,31,,,,,,,,,,,,,,,,,,,,,,,,0,370,27,397,571
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,24,1,7,189,40,3,15,1,8,2,271,8,0,0,0,0,0,8,0,0,0,0,2,3,,,,,,,,,,,,,,,,,,,,,,,,0,557,23,580,732
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,25,1,2,15,5,0,3,2,0,2,33,0,0,0,0,0,0,0,0,0,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,0,73,7,80,109
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,26,1,15,28,14,0,4,1,3,0,44,1,2,0,0,0,0,2,0,1,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,0,122,9,131,191
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,27,1,14,52,37,0,10,5,2,4,95,1,1,0,0,0,0,0,0,0,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,0,230,11,241,492
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,28,1,8,117,21,0,1,0,4,0,67,0,0,0,0,0,0,5,0,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,0,231,9,240,350
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,29,1,2,45,9,1,2,0,2,2,34,1,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,0,100,10,110,149
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,30,1,9,38,6,0,5,1,3,0,93,0,0,0,0,0,0,0,0,0,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,0,167,8,175,232
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,31,1,2,32,7,0,7,0,3,2,180,2,0,0,0,0,0,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,0,238,8,246,289
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,32,1,2,219,4,0,1,0,1,0,63,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,0,292,3,295,351
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,33,1,79,70,72,4,19,2,5,5,186,8,4,1,0,1,0,2,1,0,1,0,1,8,,,,,,,,,,,,,,,,,,,,,,,,0,469,34,503,739
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,34,1,26,57,18,0,0,1,6,2,60,0,0,0,0,0,0,0,0,0,0,0,0,13,,,,,,,,,,,,,,,,,,,,,,,,0,183,4,187,281
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,35,1,14,12,5,0,4,0,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,0,71,8,79,106
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,36,2,23,78,52,2,60,0,27,6,164,2,4,2,1,0,0,3,0,0,0,0,0,40,,,,,,,,,,,,,,,,,,,,,,,,0,464,62,526,757
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,37,1,18,41,18,1,4,0,5,6,61,1,1,0,0,0,0,1,0,0,0,0,0,40,,,,,,,,,,,,,,,,,,,,,,,,0,197,17,214,267
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,38,2,19,233,97,3,6,1,13,2,217,13,0,0,0,0,0,1,0,0,0,0,0,50,,,,,,,,,,,,,,,,,,,,,,,,0,655,35,690,931
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,39,2,11,161,71,2,6,1,23,2,168,12,3,0,0,0,0,2,0,0,1,0,0,24,,,,,,,,,,,,,,,,,,,,,,,,0,487,28,515,778
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,40,1,16,117,55,0,0,0,5,0,291,0,1,0,0,0,0,2,0,0,0,0,0,18,,,,,,,,,,,,,,,,,,,,,,,,0,505,14,519,692
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,41,1,10,76,22,1,2,0,11,0,113,0,0,0,0,0,0,0,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,0,241,7,248,321
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,43,1,30,177,51,6,7,1,6,4,137,3,1,3,0,0,1,3,0,0,1,0,0,34,,,,,,,,,,,,,,,,,,,,,,,,0,465,21,486,721
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,44,1,5,31,19,0,3,0,1,1,40,0,0,0,0,0,0,1,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,0,104,5,109,139
