,Municipio,Seccion,Casilla,PAN,PRI,PRD,PT,PVEM,PC,PCD,PSN,PARM,PAS,PDS,Validos,Nulos,Lista Nominal
1,ACONCHI,1,0001 Básica,567,391,10,37,0,0,0,0,0,0,0,1005,11,1201
,ACONCHI,2,0002 Básica,204,228,5,2,0,0,0,0,0,0,0,439,17,546
,,,,,,,,,,,,,,,,,
2,AGUA PRIETA,3,0003 Básica,214,438,6,32,0,0,0,0,0,4,0,694,12,1244
,AGUA PRIETA,4,0004 Básica,94,161,12,17,0,0,0,0,0,3,0,287,5,563
,AGUA PRIETA,5,0005 Básica,164,285,6,13,2,0,0,2,0,2,0,474,3,766
,AGUA PRIETA,6,0006 Básica,260,556,17,32,0,0,0,0,0,4,0,869,11,1568
,AGUA PRIETA,7,0007 Básica,260,496,23,58,0,0,0,1,0,5,0,843,5,1449
,AGUA PRIETA,8,0008 Básica,330,567,18,66,2,0,0,4,0,3,0,990,16,1654
,AGUA PRIETA,9,0009 Básica,260,736,19,40,0,0,0,5,0,2,0,1062,17,1769
,AGUA PRIETA,10,0010 Básica,317,686,29,49,1,0,0,0,0,0,0,1082,26,2064
,AGUA PRIETA,11,0011 Básica,202,574,15,28,1,0,0,1,0,3,0,824,13,1398
,AGUA PRIETA,12,0012 Básica,216,467,19,24,2,0,0,1,0,0,0,729,6,1426
,AGUA PRIETA,13,0013 Básica,198,530,15,20,0,0,0,1,0,0,0,764,20,1450
,AGUA PRIETA,14,0014 Básica,175,552,12,37,1,0,0,0,0,3,0,780,21,1626
,AGUA PRIETA,15,0015 Básica,178,441,7,23,0,0,0,2,0,2,0,653,23,1100
,AGUA PRIETA,16,0016 Básica,103,301,4,10,2,0,0,0,0,1,0,421,7,673
,AGUA PRIETA,17,0017 Básica,65,149,8,4,1,0,0,0,0,0,0,227,6,378
,AGUA PRIETA,18,0018 Básica,214,512,14,24,0,0,0,0,0,0,0,764,27,1499
,AGUA PRIETA,19,0019 Básica,85,350,16,21,0,0,0,1,0,0,0,473,7,732
,AGUA PRIETA,20,0020 Básica,295,824,24,20,0,0,0,0,0,2,0,1165,16,2186
,AGUA PRIETA,21,0021 Básica,198,573,15,16,4,0,0,0,0,1,0,807,18,1431
,AGUA PRIETA,22,0022 Básica,359,1020,24,28,2,0,0,2,0,1,0,1436,28,2511
,AGUA PRIETA,23,0023 Básica,139,529,13,19,0,0,0,0,0,1,0,701,7,1333
,AGUA PRIETA,24,0024 Básica,209,688,23,24,1,0,0,3,0,0,0,948,22,1729
,AGUA PRIETA,25,0025 Básica,302,785,18,33,1,0,0,0,0,1,0,1140,42,2239
,AGUA PRIETA,26,0026 Básica,88,225,13,9,0,0,0,0,0,0,0,335,7,527
,AGUA PRIETA,27,0027 Básica,11,54,1,0,0,0,0,0,0,0,0,66,1,92
,AGUA PRIETA,28,0028 Básica,35,67,0,1,0,0,0,0,0,0,0,103,3,142
,AGUA PRIETA,29,0029 Básica,16,45,1,0,0,0,0,0,0,0,0,62,0,89
,AGUA PRIETA,30,0030 Básica,60,83,0,2,0,0,0,0,0,0,0,145,3,240
,AGUA PRIETA,31,0031 Básica,160,772,15,27,0,0,0,2,0,2,0,978,20,1612
,AGUA PRIETA,32,0032 Básica,42,96,3,1,0,0,0,0,0,0,0,142,3,226
,,,,,,,,,,,,,,,,,
3,ALAMOS,1109,1109 Básica,127,629,166,0,0,0,0,0,0,260,0,1182,47,2049
,ALAMOS,1110,1110 Básica,79,377,112,0,0,0,0,0,0,141,0,709,20,1232
,ALAMOS,1111,1111 Básica,53,390,49,0,0,0,0,0,0,170,0,662,27,1040
,ALAMOS,1112,1112 Básica,61,382,70,0,0,0,0,0,0,136,0,649,23,1015
,ALAMOS,1113,1.113 Básica,1,257,16,0,0,0,0,0,0,1,0,275,12,631
,ALAMOS,1114,1114 Básica,3,36,9,0,0,0,0,0,0,0,0,48,7,193
,ALAMOS,1115,1115 Básica,31,196,60,0,0,0,0,0,0,35,0,322,16,723
,ALAMOS,1116,1116 Básica,7,52,32,0,0,0,0,0,0,5,0,96,4,241
,ALAMOS,1117,1117 Básica,11,79,27,0,0,0,0,0,0,5,0,122,12,275
,ALAMOS,1118,1118 Básica,5,91,75,0,0,0,0,0,0,2,0,173,8,422
,ALAMOS,1119,1119 Básica,13,29,17,0,0,0,0,0,0,0,0,59,3,89
,ALAMOS,1120,1120 Básica,7,51,38,0,0,0,0,0,0,5,0,101,2,220
,ALAMOS,1121,1121 Básica,14,117,49,0,0,0,0,0,0,4,0,184,10,304
,ALAMOS,1122,1122 Básica,131,131,12,0,0,0,0,0,0,12,0,286,12,460
,ALAMOS,1123,1123 Básica,27,187,44,0,0,0,0,0,0,12,0,270,32,510
,ALAMOS,1124,1124 Básica,31,278,142,0,0,0,0,0,0,15,0,466,21,956
,ALAMOS,1125,1125 Básica,24,162,57,0,0,0,0,0,0,8,0,251,15,514
,ALAMOS,1126,1126 Básica,23,39,17,0,0,0,0,0,0,2,0,81,2,118
,ALAMOS,1127,1127 Básica,2,34,15,0,0,0,0,0,0,2,0,53,3,126
,ALAMOS,1128,1128 Básica,13,42,41,0,0,0,0,0,0,4,0,100,11,248
,ALAMOS,1129,1129 Básica,3,17,55,0,0,0,0,0,0,2,0,77,2,111
,ALAMOS,1130,1130 Básica,23,259,223,0,0,0,0,0,0,4,0,509,15,900
,ALAMOS,1131,1131 Básica,5,164,67,0,0,0,0,0,0,1,0,237,23,463
,ALAMOS,1131,1131 Extraordinaria,1,31,87,0,0,0,0,0,0,1,0,120,6,167
,ALAMOS,1132,1132 Básica,12,93,71,0,0,0,0,0,0,0,0,176,7,316
,ALAMOS,1133,1133 Básica,3,169,119,0,0,0,0,0,0,13,0,304,24,572
,ALAMOS,1134,1134 Básica,18,163,78,0,0,0,0,0,0,4,0,263,46,503
,ALAMOS,1135,1135 Básica,23,171,48,0,0,0,0,0,0,2,0,244,0,462
,ALAMOS,1136,1136 Básica,12,181,4,0,0,0,0,0,0,1,0,198,10,311
,ALAMOS,1137,1137 Básica,12,183,126,0,0,0,0,0,0,11,0,332,7,577
,,,,,,,,,,,,,,,,,
4,ALTAR,33,0033 Básica,89,311,115,70,0,0,0,0,0,187,0,772,34,1269
,ALTAR,34,0034 Básica,158,251,61,65,0,0,0,0,0,251,0,786,16,1094
,ALTAR,35,0035 Básica,94,557,147,72,0,0,0,0,0,291,0,1161,29,1605
,ALTAR,37,0037 Básica,38,109,6,15,0,0,0,0,0,16,0,184,13,284
,,,,,,,,,,,,,,,,,
5,ARIVECHI,38,0038 Básica,12,280,154,0,0,0,0,0,0,0,0,446,12,576
,ARIVECHI,39,0039 Básica,5,86,66,0,0,0,0,0,0,0,0,157,3,222
,ARIVECHI,40,0040 Básica,15,40,48,0,0,0,0,0,0,0,0,103,2,137
,,,,,,,,,,,,,,,,,
6,ARIZPE,41,0041 Básica,229,198,3,4,0,0,0,0,0,0,0,434,9,572
,ARIZPE,42,0042 Básica,265,405,5,4,0,0,0,0,0,4,0,683,8,841
,ARIZPE,43,0043 Básica,112,121,4,2,0,0,0,0,0,9,0,248,3,323
,ARIZPE,44,0044 Básica,104,130,10,2,0,0,0,0,0,1,0,247,4,321
,ARIZPE,45,0045 Básica,73,107,2,0,0,0,0,0,0,0,0,182,2,288
,,,,,,,,,,,,,,,,,
7,ATIL,46,0046 Básica,132,228,62,7,0,0,0,0,0,0,0,429,43,545
,,,,,,,,,,,,,,,,,
8,BACADEHUACHI,47,0047 Básica,214,382,4,0,0,0,0,0,0,0,0,600,4,803
,,,,,,,,,,,,,,,,,
9,BACANORA,48,0048 Básica,0,225,90,0,0,0,0,0,0,0,0,315,20,492
,BACANORA,49,0049 Básica,0,60,34,0,0,0,0,0,0,0,0,94,12,132
,BACANORA,50,0050 Básica,0,38,4,0,0,0,0,0,0,0,0,42,7,76
,BACANORA,51,0051 Básica,0,27,24,0,0,0,0,0,0,0,0,51,18,105
,,,,,,,,,,,,,,,,,
10,BACERAC,52,0052 Básica,300,322,0,0,0,0,0,0,0,0,0,622,2,836
,BACERAC,53,0053 Básica,22,33,0,0,0,0,0,0,0,0,0,55,4,91
,,,,,,,,,,,,,,,,,
11,BACOACHI,54,0054 Básica,47,256,297,0,0,0,0,0,0,0,0,600,16,792
,BACOACHI,55,0055 Básica,8,116,78,0,0,0,0,0,0,0,0,202,6,262
,,,,,,,,,,,,,,,,,
12,BÁCUM,760,0760 Básica,131,200,514,0,0,0,0,0,0,11,0,856,17,1388
,BÁCUM,761,0761 Básica,82,267,420,0,0,0,0,0,0,0,0,769,16,1228
,BÁCUM,762,0762 Básica,136,183,241,0,0,0,0,0,0,11,0,571,16,1147
,BÁCUM,763,0763 Básica,30,88,101,0,0,0,0,0,0,1,0,220,8,354
,BÁCUM,764,0764 Básica,126,162,117,0,0,0,0,0,0,1,0,406,6,628
,BÁCUM,765,0765 Básica,502,249,142,0,0,0,0,0,0,1,0,894,23,1414
,BÁCUM,766,0766 Básica,522,290,143,0,0,0,0,0,0,1,0,956,15,1425
,BÁCUM,767,0767 Básica,149,302,319,0,0,0,0,0,0,3,0,773,29,1328
,BÁCUM,768,0768 Básica,132,197,380,0,0,0,0,0,0,0,0,709,25,1258
,BÁCUM,769,0769 Básica,114,162,329,0,0,0,0,0,0,0,0,605,10,1055
,BÁCUM,770,0770 Básica ,74,93,108,0,0,0,0,0,0,0,0,275,11,427
,BÁCUM,770,0770 Extraordinaria,8,68,123,0,0,0,0,0,0,1,0,200,5,314
,BÁCUM,771,0771 Básica,158,313,358,0,0,0,0,0,0,0,0,829,14,1212
,BÁCUM,772,0772 Básica,47,179,61,0,0,0,0,0,0,1,0,288,14,482
,BÁCUM,772,0772 Extraordinaria,22,84,58,0,0,0,0,0,0,0,0,164,2,297
,,,,,,,,,,,,,,,,,
13,BANÁMICHI,56,0056 Básica,176,359,0,0,0,0,0,0,0,38,0,573,24,753
,BANÁMICHI,57,0057 Básica,138,147,0,0,0,0,0,0,0,2,0,287,9,371
,,,,,,,,,,,,,,,,,
14,BAVIÁCORA,58,0058 Básica,354,303,0,0,0,0,0,0,0,13,0,670,10,860
,BAVIÁCORA,59,0059 Básica,213,294,3,2,0,0,0,0,0,7,0,519,2,636
,BAVIÁCORA,60,0060 Básica ,126,83,0,2,0,0,0,0,0,1,0,212,8,270
,BAVIÁCORA,61,0061 Básica,49,65,2,0,0,0,0,0,0,1,0,117,1,135
,BAVIÁCORA,62,0062 Básica ,87,100,1,0,0,0,0,0,0,1,0,189,2,214
,BAVIÁCORA,63,0063 Básica,255,221,1,0,0,1,0,0,0,0,0,478,0,562
,,,,,,,,,,,,,,,,,
15,BAVISPE,64,0064 Básica,182,250,0,0,0,0,0,0,0,0,0,432,9,544
,BAVISPE,65,0065 Básica,112,120,0,0,0,0,0,0,0,0,0,232,8,322
,,,,,,,,,,,,,,,,,
16,BENITO JUÁREZ,1142,1142 Básica,46,342,179,0,0,0,0,0,0,14,0,581,18,866
,BENITO JUÁREZ,1146,1146 Básica,29,253,272,0,2,0,0,0,0,1,0,557,17,903
,BENITO JUÁREZ,1147,1147 Básica,27,308,513,0,0,0,0,0,0,10,0,858,45,1338
,BENITO JUÁREZ,1148,1148 Básica,46,365,440,0,0,0,0,0,0,3,0,854,28,1356
,BENITO JUÁREZ,1149,1149 Básica,109,451,194,0,0,0,0,0,0,5,0,759,53,1167
,BENITO JUÁREZ,1150,1150 Básica,141,636,277,0,3,0,0,0,0,7,0,1064,31,1639
,BENITO JUÁREZ,1151,1151 Básica,79,407,330,0,0,0,0,0,0,6,0,822,31,1314
,BENITO JUÁREZ,1152,1152 Básica,26,341,366,0,1,0,0,0,0,7,0,741,31,1188
,BENITO JUÁREZ,1155,1155 Básica,76,283,219,0,0,0,0,0,0,9,0,587,159,1087
,BENITO JUÁREZ,1156,1156 Básica,75,656,402,0,0,0,0,0,0,8,0,1141,26,1563
,BENITO JUÁREZ,1157,1157 Básica,10,107,117,0,0,0,0,0,0,13,0,247,4,370
,BENITO JUÁREZ,1331,1331 Básica,20,156,203,0,1,0,0,0,0,1,0,381,3,568
,,,,,,,,,,,,,,,,,
17,BENJAMÍN HILL,66,0066 Básica,154,400,87,18,0,0,0,0,5,4,0,668,22,1075
,BENJAMÍN HILL,67,0067 Básica,117,370,75,12,0,0,0,0,3,1,0,578,15,931
,BENJAMÍN HILL,68,0068 Básica,180,404,65,5,0,0,0,0,7,2,0,663,14,1016
,BENJAMÍN HILL,69,0069 Básica,121,279,119,42,0,0,0,0,8,0,0,569,21,950
,,,,,,,,,,,,,,,,,
18,CABORCA,292,0292 Básica,541,211,25,12,0,0,0,0,1,0,0,790,26,1316
