Numero,Municipio,Casilla,Tipo,PAN,PRI,PRI-PANAL,PRD-PT,PVEM,Convergencia,Alternativa,Nulos,Total Votos,Lista Nominal
1,ACONCHI,1,Básica,452,0,544,36,0,0,0,22,1054,1323
1,ACONCHI,2,Básica,278,0,188,5,0,0,0,8,479,599
2,AGUA PRIETA,3,Básica,314,0,339,37,0,0,0,16,706,1380
2,AGUA PRIETA,4,Básica,103,0,122,27,0,0,0,7,259,560
2,AGUA PRIETA,5,Básica,178,0,204,37,0,0,0,9,428,781
2,AGUA PRIETA,6,Básica,117,0,139,16,0,0,0,5,277,537
2,AGUA PRIETA,6,Contigua 1,217,0,273,20,0,0,0,19,529,1076
2,AGUA PRIETA,7,Básica,104,0,136,26,0,0,0,5,271,521
2,AGUA PRIETA,7,Contigua 1,217,0,270,47,0,0,0,4,538,1044
2,AGUA PRIETA,8,Básica,129,0,154,31,0,0,0,7,321,566
2,AGUA PRIETA,8,Contigua 1,130,0,143,33,0,0,0,3,309,566
2,AGUA PRIETA,8,Contigua 2,263,0,307,47,0,0,0,6,623,1133
2,AGUA PRIETA,9,Básica,128,0,156,22,0,0,0,8,314,605
2,AGUA PRIETA,9,Contigua 1,125,0,154,25,0,0,0,5,309,606
2,AGUA PRIETA,9,Contigua 2,271,0,316,59,0,0,0,14,660,1212
2,AGUA PRIETA,10,Básica,131,0,139,43,0,0,0,8,321,632
2,AGUA PRIETA,10,Contigua 1,127,0,158,45,0,0,0,4,334,632
2,AGUA PRIETA,10,Contigua 2,294,0,303,72,0,0,0,9,678,1265
2,AGUA PRIETA,11,Básica,101,0,140,25,0,0,0,13,279,550
2,AGUA PRIETA,11,Contigua 1,200,0,289,37,0,0,0,10,536,1100
2,AGUA PRIETA,12,Básica,80,0,152,2,0,0,0,7,241,532
2,AGUA PRIETA,12,Contigua 1,218,0,215,58,0,0,0,10,501,1066
2,AGUA PRIETA,13,Básica,242,0,328,50,0,0,0,21,641,1468
2,AGUA PRIETA,14,Básica,106,0,161,28,0,0,0,7,302,615
2,AGUA PRIETA,14,Contigua 1,234,0,282,55,0,0,0,10,581,1231
2,AGUA PRIETA,15,Básica,256,0,349,36,0,0,0,22,663,1227
2,AGUA PRIETA,16,Básica,182,0,221,18,0,0,0,15,436,755
2,AGUA PRIETA,17,Básica,98,0,145,33,0,0,0,11,287,538
2,AGUA PRIETA,18,Básica,118,0,135,22,0,0,0,7,282,568
2,AGUA PRIETA,18,Contigua 1,212,0,286,48,0,0,0,29,575,1137
2,AGUA PRIETA,19,Básica,130,0,157,39,0,0,0,7,333,573
2,AGUA PRIETA,19,Contigua 1,244,0,338,47,0,0,0,17,646,1146
2,AGUA PRIETA,20,Básica,156,0,197,36,0,0,0,11,400,741
2,AGUA PRIETA,20,Contigua 1,169,0,176,41,0,0,0,9,395,741
2,AGUA PRIETA,20,Contigua 2,140,0,238,37,0,0,0,18,433,741
2,AGUA PRIETA,20,Contigua 3,292,0,362,63,0,0,0,25,742,1482
2,AGUA PRIETA,21,Básica,139,0,160,35,0,0,0,5,339,621
2,AGUA PRIETA,21,Contigua 1,256,0,349,66,0,0,0,20,691,1243
2,AGUA PRIETA,22,Básica,125,0,191,56,0,0,0,3,375,748
2,AGUA PRIETA,22,Contigua 1,132,0,193,43,0,0,0,10,378,748
2,AGUA PRIETA,22,Contigua 2,154,0,184,42,0,0,0,9,389,749
2,AGUA PRIETA,22,Contigua 3,173,0,177,52,0,0,0,10,412,749
2,AGUA PRIETA,22,Contigua 4,322,0,368,83,0,0,0,27,800,1498
2,AGUA PRIETA,23,Básica,124,0,131,32,0,0,0,8,295,568
2,AGUA PRIETA,23,Contigua 1,125,0,162,32,0,0,0,0,319,568
2,AGUA PRIETA,23,Contigua 2,192,0,314,54,0,0,0,17,577,1136
2,AGUA PRIETA,24,Básica,117,0,154,34,0,0,0,6,311,677
2,AGUA PRIETA,24,Contigua 1,133,0,191,30,0,0,0,9,363,677
2,AGUA PRIETA,24,Contigua 2,115,0,169,45,0,0,0,5,334,677
2,AGUA PRIETA,24,Contigua 3,147,0,184,38,0,0,0,6,375,678
2,AGUA PRIETA,24,Contigua 4,253,0,306,65,0,0,0,9,633,1356
2,AGUA PRIETA,25,Básica,127,0,132,35,0,0,0,11,305,637
2,AGUA PRIETA,25,Contigua 1,125,0,157,28,0,0,0,13,323,638
2,AGUA PRIETA,25,Contigua 2,254,0,337,45,0,0,0,20,656,1276
2,AGUA PRIETA,26,Básica,107,0,192,44,0,0,0,18,361,612
2,AGUA PRIETA,26,Contigua 1,244,0,380,75,0,0,0,17,716,1224
2,AGUA PRIETA,27,Básica,26,0,63,3,0,0,0,1,93,132
2,AGUA PRIETA,28,Básica,53,0,51,4,0,0,0,4,112,173
2,AGUA PRIETA,29,Básica,27,0,31,2,0,0,0,6,66,114
2,AGUA PRIETA,30,Básica,89,0,63,13,0,0,0,6,171,283
2,AGUA PRIETA,31,Básica,135,0,165,30,0,0,0,6,336,651
2,AGUA PRIETA,31,Contigua 1,151,0,173,34,0,0,0,6,364,652
2,AGUA PRIETA,31,Contigua 2,133,0,173,32,0,0,0,5,343,652
2,AGUA PRIETA,31,Contigua 3,298,0,370,65,0,0,0,10,743,1304
2,AGUA PRIETA,32,Básica,46,0,115,18,0,0,0,3,182,315
3,ÁLAMOS,1109,Básica,157,0,187,28,0,4,0,10,386,641
3,ÁLAMOS,1109,Contigua 1,164,0,168,28,0,4,0,13,377,641
3,ÁLAMOS,1109,Contigua 2,344,0,308,73,0,6,0,23,754,1282
3,ÁLAMOS,1110,Básica,449,0,284,102,0,4,0,27,866,1417
3,ÁLAMOS,1111,Básica,376,0,270,39,0,2,0,15,702,1103
3,ÁLAMOS,1112,Básica,319,0,261,43,0,11,0,26,660,1076
3,ÁLAMOS,1113,Básica,67,0,176,12,0,6,0,31,292,657
3,ÁLAMOS,1114,Básica,59,0,29,10,0,2,0,7,107,227
3,ÁLAMOS,1115,Básica,161,0,163,21,0,7,0,27,379,866
3,ÁLAMOS,1116,Básica,61,0,39,4,0,0,0,5,109,237
3,ÁLAMOS,1117,Básica,36,0,63,33,0,1,0,4,137,252
3,ÁLAMOS,1118,Básica,0,0,0,0,0,0,0,0,0,0
3,ÁLAMOS,1119,Básica,13,0,19,25,0,0,0,0,57,73
3,ÁLAMOS,1120,Básica,66,0,42,5,0,2,0,4,119,214
3,ÁLAMOS,1121,Básica,68,0,85,13,0,1,0,13,180,291
3,ÁLAMOS,1122,Básica,147,0,104,8,0,6,0,9,274,475
3,ÁLAMOS,1123,Básica,65,0,155,43,0,5,0,23,291,555
3,ÁLAMOS,1124,Básica,162,0,180,157,0,10,0,22,531,1025
3,ÁLAMOS,1125,Básica,98,0,99,48,0,2,0,13,260,528
3,ÁLAMOS,1126,Básica,36,0,13,2,0,0,0,6,57,106
3,ÁLAMOS,1127,Básica,28,0,28,5,0,1,0,2,64,139
3,ÁLAMOS,1128,Básica,52,0,52,21,0,0,0,7,132,262
3,ÁLAMOS,1129,Básica,10,0,14,65,0,0,0,8,97,127
3,ÁLAMOS,1130,Básica,128,0,179,116,0,10,0,18,451,815
3,ÁLAMOS,1131,Extraordinaria 1,44,0,46,11,0,0,0,3,104,161
3,ÁLAMOS,1131,Básica,48,0,85,53,0,1,0,24,211,521
3,ÁLAMOS,1132,Básica,30,0,75,65,0,1,0,7,178,313
3,ÁLAMOS,1133,Básica,66,0,111,43,0,3,0,34,257,529
3,ÁLAMOS,1134,Básica,60,0,66,60,0,3,0,13,202,476
3,ÁLAMOS,1135,Básica,57,0,88,129,0,3,0,15,292,507
3,ÁLAMOS,1136,Básica,16,0,89,36,0,1,0,10,152,313
