ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PD,CC,MORENA,PH,ES,CAND_IND1,PRI_PVEM_NVA_ALIANZA_PD,PRI_PVEM_NVA_ALIANZA,PRI_PVEM_PD,PRI_NVA_ALIANZA_PD,PVEM_NVA_ALIANZA_PD,PRI_PVEM,PRI_NVA_ALIANZA,PRI_PD,PVEM_NVA_ALIANZA,PVEM_PD,NVA_ALIANZA_PD,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
19,NUEVO LEON,1, ABASOLO,2,4,207,571,203,7,31,82,12,1,0,10,3,1,597,0,0,0,0,0,1,0,1,1,0,0,,1728,29,1757,2210,0.795
19,NUEVO LEON,2, AGUALEGUAS,9,10,1117,741,0,2,529,2,4,3,2,0,1,1,287,0,0,0,0,0,16,3,0,9,0,0,,2717,38,2755,3792,0.727
19,NUEVO LEON,3, LOS ALDAMAS,7,5,547,689,1,3,148,2,4,0,0,1,1,0,90,0,1,0,0,0,0,0,0,1,0,0,,1488,19,1507,2214,0.681
19,NUEVO LEON,4, ALLENDE,19,42,4253,3961,15,67,78,32,31,7,7,48,17,6,5721,0,8,1,1,0,17,1,0,0,0,0,,14271,491,14762,24878,0.593
19,NUEVO LEON,5, ANAHUAC,20,25,3321,2895,8,118,40,15,42,6,4,34,903,2,1903,0,2,0,0,0,1,0,1,0,0,0,,9295,233,9528,14047,0.678
19,NUEVO LEON,6, APODACA,288,628,38041,40402,755,937,1241,1094,815,74,158,642,506,335,106918,24,39,8,1,5,148,26,11,5,1,2,,192188,3086,195274,360935,0.541
19,NUEVO LEON,7, ARAMBERRI,17,26,2081,4978,9,19,5,6,12,5,9,0,8,26,1836,6,28,1,2,0,43,23,6,1,2,0,,9106,452,9558,11719,0.816
19,NUEVO LEON,8, BUSTAMANTE,4,5,986,770,3,1,7,2,199,1,0,14,4,1,627,0,1,0,0,0,2,2,0,1,0,0,,2621,32,2653,3238,0.819
19,NUEVO LEON,9, CADEREYTA JIMENEZ,46,116,7579,9741,68,201,2463,185,147,42,29,141,273,200,14669,2,6,0,0,3,125,8,6,14,1,7,,35910,869,36779,66345,0.554
19,NUEVO LEON,10, EL CARMEN,4,20,1674,1986,25,376,43,115,29,10,4,17,11,11,3127,4,8,0,2,0,16,3,1,2,0,1,,7465,185,7650,13425,0.57
19,NUEVO LEON,11, CERRALVO,10,12,2150,1333,2,0,2,3,8,0,0,2,0,1,674,0,1,0,0,0,5,3,1,0,0,0,,4185,81,4266,6323,0.675
19,NUEVO LEON,12, CIENEGA DE FLORES,5,38,2106,3061,911,115,339,58,199,19,11,21,65,16,4644,0,4,0,0,0,31,10,1,1,0,0,,11612,360,11972,22577,0.53
19,NUEVO LEON,13, CHINA,14,18,1832,1311,4,10,31,7,639,8,7,2,231,142,1623,12,24,2,2,0,29,117,0,2,0,0,,6035,333,6368,9425,0.676
19,NUEVO LEON,14, DR. ARROYO,37,54,7093,10643,56,97,38,9,32,6,4,16,23,10,2038,15,22,0,0,0,56,9,2,2,0,0,,20171,564,20735,26658,0.778
19,NUEVO LEON,15, DR. COSS,10,6,620,826,1,48,2,1,23,0,2,1,4,0,200,0,0,0,0,0,0,0,0,0,0,0,,1728,35,1763,2713,0.65
19,NUEVO LEON,16, DR. GONZALEZ,4,6,532,587,1,174,24,7,3,1,1,1,4,1,588,1,1,0,0,0,2,1,0,0,0,0,,1929,84,2013,3023,0.666
19,NUEVO LEON,17, GALEANA,37,64,3347,7601,51,146,69,15,705,13,17,20,50,55,6700,4,25,1,2,0,35,31,2,4,0,0,,18893,1314,20207,29781,0.679
19,NUEVO LEON,18, GARCIA,114,208,6691,14170,887,304,191,146,183,41,31,133,149,78,37207,8,4,1,2,0,54,6,5,1,5,0,,60297,995,61292,110470,0.555
19,NUEVO LEON,19, SAN PEDRO GARZA GARCIA,62,165,15094,7031,106,167,186,403,152,36,38,113,355,78,40534,8,2,0,1,0,32,9,3,0,0,0,,64348,976,65324,100475,0.65
19,NUEVO LEON,20, GRAL. BRAVO,9,9,1537,1514,3,5,6,4,10,0,2,9,2,1,760,2,1,0,0,0,5,3,1,0,0,0,,3865,69,3934,5558,0.708
19,NUEVO LEON,21, GRAL. ESCOBEDO,124,403,21046,30585,649,1017,815,710,423,43,82,413,350,191,69203,36,45,5,3,3,281,32,6,9,0,3,,125950,2335,128285,251429,0.51
19,NUEVO LEON,22, GRAL. TERAN,19,24,2234,2905,5,17,23,14,39,7,3,6,343,4,1952,8,3,1,0,0,15,11,1,1,0,0,,7592,324,7916,12585,0.629
19,NUEVO LEON,23, GRAL. TREVIÑO,3,4,694,428,1,0,0,3,7,0,2,1,0,0,148,0,0,0,0,0,0,0,0,0,0,0,,1284,19,1303,1786,0.73
19,NUEVO LEON,24, GRAL. ZARAGOZA,5,10,589,1661,4,996,4,3,4,1,0,2,10,3,671,2,0,0,0,0,13,1,0,0,0,0,,3964,182,4146,4897,0.847
19,NUEVO LEON,25, GRAL. ZUAZUA,44,53,3529,3873,112,86,74,30,42,13,3,72,32,58,6582,47,3,1,0,0,14,2,0,0,0,0,,14573,257,14830,29271,0.507
19,NUEVO LEON,26, GUADALUPE,293,858,65509,67458,986,1273,1592,1566,1326,168,256,1323,1036,629,158514,216,205,22,27,5,494,145,22,35,4,15,,302826,6037,308863,523886,0.59
19,NUEVO LEON,27, LOS HERRERAS,6,6,830,781,1,0,4,0,16,2,1,0,2,0,330,1,6,0,0,1,0,7,0,0,0,0,,1982,28,2010,2722,0.738
19,NUEVO LEON,28, HIDALGO,9,21,1712,1928,166,30,81,409,45,12,8,66,33,148,3372,7,9,1,0,0,155,5,1,0,0,15,,8203,224,8427,12237,0.689
19,NUEVO LEON,29, HIGUERAS,2,3,387,406,2,3,0,2,5,0,0,0,20,0,263,0,1,0,0,0,3,0,0,0,0,0,,1092,19,1111,1341,0.829
