ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
26,SONORA,1,SAN LUIS RIO COLORADO,73,143,14608,12111,595,812,339,441,1700,413,869,201,225,83,13,30,32410,847,33287,76350,0.4360
26,SONORA,2,PUERTO PEÑASCO,44,178,22611,18818,1736,992,524,701,1824,447,1097,215,273,41,7,35,49286,1140,50461,115092,0.4384
26,SONORA,3,CABORCA,77,169,19503,23420,1614,585,1084,827,2014,232,461,180,203,62,2,15,50187,1042,51244,92111,0.5563
26,SONORA,4,NOGALES NORTE,49,114,11714,11680,754,370,667,351,824,360,359,209,228,121,10,52,27647,722,28421,65158,0.4362
26,SONORA,5,NOGALES SUR,94,200,22328,21015,1699,745,1440,743,1708,834,909,179,217,56,8,72,51881,1242,53195,120732,0.4406
26,SONORA,6,CANANEA,88,165,22320,24446,2025,285,684,1463,588,167,253,1001,318,551,38,27,54139,1279,55445,88954,0.6233
26,SONORA,7,AGUA PRIETA,66,159,25793,15262,1458,577,1049,3387,622,176,147,1299,198,593,20,18,50581,870,51469,90616,0.5680
26,SONORA,8,HERMOSILLO NOROESTE,70,200,24566,23387,1660,658,932,692,1441,513,742,443,581,67,10,40,55692,1464,57196,122540,0.4668
26,SONORA,9,HERMOSILLO CENTRO,79,176,26233,25522,1911,636,718,561,1545,439,668,406,460,65,10,74,59174,1542,60790,102651,0.5922
26,SONORA,10,HERMOSILLO NORESTE,45,157,22962,22622,1428,584,724,575,1248,481,592,455,540,64,5,54,52280,1342,53676,101542,0.5286
26,SONORA,11,HERMOSILLO COSTA,141,235,24910,25855,1473,660,872,655,1182,437,649,424,626,71,20,50,57834,1486,59370,122526,0.4846
26,SONORA,12,HERMOSILLO SUR,82,183,22024,20713,1312,487,867,527,1122,323,595,479,485,74,4,42,49012,1249,50303,103412,0.4864
26,SONORA,13,GUAYMAS,81,168,22516,17072,1123,265,1270,527,2260,293,343,151,155,35,7,37,46017,1042,47096,93901,0.5015
26,SONORA,14,EMPALME,61,145,14554,20524,4382,1568,687,670,1026,327,445,100,183,69,19,9,44554,1187,45750,81071,0.5643
26,SONORA,15,OBREGON SUR,57,143,12529,17965,967,372,561,680,1783,390,474,334,279,79,8,35,36421,827,37283,83241,0.4479
26,SONORA,16,OBREGON SURESTE,73,152,11160,20060,1127,385,588,471,2005,419,552,380,253,49,3,36,37452,902,38390,82866,0.4633
26,SONORA,17,OBREGON CENTRO,62,148,12653,24432,1478,399,654,811,2697,559,641,262,336,53,13,34,44988,1069,46091,88341,0.5217
26,SONORA,18,OBREGON NORTE,90,164,19806,25768,1077,862,354,587,1103,283,269,321,327,90,1,15,50848,1003,51866,86875,0.5970
26,SONORA,19,NAVOJOA NORTE,59,137,19718,20256,865,378,365,430,803,129,195,137,291,50,9,20,43626,885,44531,79476,0.5603
26,SONORA,20,ETCHOJOA,72,166,21440,26918,3812,342,592,849,741,103,274,338,363,120,17,18,55909,1306,57233,94409,0.6062
26,SONORA,21,HUATABAMPO,70,140,21797,22661,2095,271,277,480,458,67,47,443,560,81,20,9,49257,925,50191,75746,0.6626
